486	486	973	4:3:4:2:	4:3:4:2:	4:4:	C[3]-4:C[6a]-3:C[3]-4:O-2:	C[3]-4:C[5]-3:C[3]-4:O-2:	C[3]-4:C-4:	C[3](C[3]C[3]C[5]O)(C[6a]C[6a]2)(C[3]C[3]CH)(OC)	C[3](C[3]C[6a]C[3]O)(C[5]C[5]S[5])(C[3]C[3]CH)(OC)	O(C[3]C[6a]C[3]2)(CH3)	C[3](C[3]C[3]C[5]O)(C[6a]C[6a]2)(C[3]C[3]CH)(OC){1|S<2>,2|H<1>,3|C<3>}	C[3](C[3]C[6a]C[3]O)(C[5]C[5]S[5])(C[3]C[3]CH)(OC){1|H<1>,4|C<3>}	O(C[3]C[6a]C[3]2)(CH3)	111.7090	0.000	1	111.7090	0.000	1     111.7090       0.000      1      113.9990     3.239     2
486	486	973	4:3:4:2:	4:4:4:1:	4:4:	C[3]-4:C[5]-3:C[3]-4:O-2:	C[3]-4:C[3]-4:C-4:H-1:	C[3]-4:C-4:	C[3](C[3]C[6a]C[3]O)(C[5]C[5]S[5])(C[3]C[3]CH)(OC)	C[3](C[3]C[6a]C[3]O)(C[3]C[3]C[5]O)(CH3)(H)	O(C[3]C[3]2C[5])(CH3)	C[3](C[3]C[6a]C[3]O)(C[5]C[5]S[5])(C[3]C[3]CH)(OC){1|H<1>,4|C<3>}	C[3](C[3]C[6a]C[3]O)(C[3]C[3]C[5]O)(CH3)(H){1|S<2>,3|C<3>}	O(C[3]C[3]2C[5])(CH3)	113.9890	0.000	1	113.9890	0.000	1     113.9890       0.000      1      115.2105     1.727     2
486	486	973	4:3:4:2:	4:4:4:1:	4:4:	C[3]-4:C[6a]-3:C[3]-4:O-2:	C[3]-4:C[3]-4:C-4:H-1:	C[3]-4:C-4:	C[3](C[3]C[3]C[5]O)(C[6a]C[6a]2)(C[3]C[3]CH)(OC)	C[3](C[3]C[6a]C[3]O)(C[3]C[3]C[5]O)(CH3)(H)	O(C[3]C[6a]C[3]2)(CH3)	C[3](C[3]C[3]C[5]O)(C[6a]C[6a]2)(C[3]C[3]CH)(OC){1|S<2>,2|H<1>,3|C<3>}	C[3](C[3]C[6a]C[3]O)(C[3]C[3]C[5]O)(CH3)(H){1|S<2>,3|C<3>}	O(C[3]C[6a]C[3]2)(CH3)	116.4320	0.000	1	116.4320	0.000	1     116.4320       0.000      1      115.2105     1.727     2
486	486	973	4:4:2:1:	3:4:4:1:	4:4:	C[3]-4:C[3]-4:O-2:H-1:	C[6a]-3:C[3]-4:C[3]-4:H-1:	C[3]-4:C-4:	C[3](C[3]C[6a]C[3]H)(C[3]C[3]CC)(OC)(H)	C[3](C[6a]C[6a]2)(C[3]C[3]CC)(C[3]C[3]HO)(H)	O(C[3]C[3]2H)(CH3)	C[3](C[3]C[6a]C[3]H)(C[3]C[3]CC)(OC)(H){2|C<3>}	C[3](C[6a]C[6a]2)(C[3]C[3]CC)(C[3]C[3]HO)(H){2|C<3>,2|H<1>}	O(C[3]C[3]2H)(CH3)	118.4540	0.000	1	118.4540	0.000	1     118.4540       0.000      1      118.4540     0.000     1
486	486	973	4:4:2:1:	4:4:1:1:	4:3:	C[3,6]-4:C[3]-4:O-2:H-1:	C[3,6]-4:C[3]-4:H-1:H-1:	C[3]-4:C-3:	C[3](C[3,6]C[3]C[6]O[6])(C[3]C[3,6]HH)(OC)(H)	C[3](C[3,6]C[3]C[6]O[6])(C[3]C[3,6]HO)(H)2	O(C[3]C[3,6]C[3]H)(CC[5,5,6]O)	C[3](C[3,6]C[3]C[6]O[6])(C[3]C[3,6]HH)(OC)(H){1|H<1>,1|O<2>,2|C<4>}	C[3](C[3,6]C[3]C[6]O[6])(C[3]C[3,6]HO)(H)2{1|H<1>,1|O<2>,2|C<4>}	O(C[3]C[3,6]C[3]H)(CC[5,5,6]O)	112.8060	0.000	1	112.8060	0.000	1     112.8060       0.000      1      112.8060     0.000     1
486	486	973	4:4:2:1:	4:4:1:1:	4:4:	C[3]-4:C[3]-4:O-2:H-1:	C[3]-4:C[3]-4:H-1:H-1:	C[3]-4:C-4:	C[3](C[3]C[3]CC)(C[3]C[3]HH)(OC)(H)	C[3](C[3]C[3]CC)(C[3]C[3]HO)(H)2	O(C[3]C[3]2H)(CCHH)	C[3](C[3]C[3]CC)(C[3]C[3]HH)(OC)(H){}	C[3](C[3]C[3]CC)(C[3]C[3]HO)(H)2{}	O(C[3]C[3]2H)(CCHH)	114.3010	0.000	1	114.3010	0.000	1     116.2765       2.794      2      116.2765     2.794     2
486	486	973	4:4:2:1:	4:4:1:1:	4:4:	C[3]-4:C[3]-4:O-2:H-1:	C[3]-4:C[3]-4:H-1:H-1:	C[3]-4:C-4:	C[3](C[3]C[3]CH)(C[3]C[3]HH)(OC)(H)	C[3](C[3]C[3]CH)(C[3]C[3]HO)(H)2	O(C[3]C[3]2H)(CHHO)	C[3](C[3]C[3]CH)(C[3]C[3]HH)(OC)(H){}	C[3](C[3]C[3]CH)(C[3]C[3]HO)(H)2{}	O(C[3]C[3]2H)(CHHO)	118.2520	0.000	1	118.2520	0.000	1     116.2765       2.794      2      116.2765     2.794     2
486	486	973	4:4:2:1:	4:4:3:1:	4:4:	C[3]-4:C[3]-4:O-2:H-1:	C[3]-4:C[3]-4:C-3:H-1:	C[3]-4:C-4:	C[3](C[3]C[3]CH)(C[3]C[3]HH)(OC)(H)	C[3](C[3]C[3]HH)(C[3]C[3]HO)(CCH)(H)	O(C[3]C[3]2H)(CHHO)	C[3](C[3]C[3]CH)(C[3]C[3]HH)(OC)(H){}	C[3](C[3]C[3]HH)(C[3]C[3]HO)(CCH)(H){}	O(C[3]C[3]2H)(CHHO)	116.1390	0.000	1	116.1390	0.000	1     116.1390       0.000      1      116.1390     0.000     1
486	486	973	4:4:2:1:	4:4:4:1:	4:4:	C[3,5,6]-4:C[3,5,6]-4:O-2:H-1:	C[5,5,6]-4:C[3,5,6]-4:C[3]-4:Cl-1:	C[3]-4:C-4:	C[3](C[3,5,6]C[3,5,6]C[5,5,6]Cl)(C[3,5,6]C[3,5,6]C[5,5,6]H)(OC)(H)	C[3,5,6](C[5,5,6]C[5,6,6a]O[5,5]C[6a])(C[3,5,6]C[5,5,6]C[3]H)(C[3]C[3,5,6]HO)(Cl)	O(C[3]C[3,5,6]2H)(CH3)	C[3](C[3,5,6]C[3,5,6]C[5,5,6]Cl)(C[3,5,6]C[3,5,6]C[5,5,6]H)(OC)(H){1|O<2>,4|C<3>}	C[3,5,6](C[5,5,6]C[5,6,6a]O[5,5]C[6a])(C[3,5,6]C[5,5,6]C[3]H)(C[3]C[3,5,6]HO)(Cl){5|C<3>}	O(C[3]C[3,5,6]2H)(CH3)	118.2540	0.000	1	118.2540	0.000	1     118.2540       0.000      1      116.7955     2.063     2
486	486	973	4:4:2:1:	4:4:4:1:	4:4:	C[3,5,6]-4:C[3,5,6]-4:O-2:H-1:	C[5,5,6]-4:C[3,5,6]-4:C[3]-4:H-1:	C[3]-4:C-4:	C[3](C[3,5,6]C[3,5,6]C[5,5,6]Cl)(C[3,5,6]C[3,5,6]C[5,5,6]H)(OC)(H)	C[3,5,6](C[5,5,6]C[5,6,6a]O[5,5]C[6a])(C[3,5,6]C[5,5,6]C[3]Cl)(C[3]C[3,5,6]HO)(H)	O(C[3]C[3,5,6]2H)(CH3)	C[3](C[3,5,6]C[3,5,6]C[5,5,6]Cl)(C[3,5,6]C[3,5,6]C[5,5,6]H)(OC)(H){1|O<2>,4|C<3>}	C[3,5,6](C[5,5,6]C[5,6,6a]O[5,5]C[6a])(C[3,5,6]C[5,5,6]C[3]Cl)(C[3]C[3,5,6]HO)(H){5|C<3>}	O(C[3]C[3,5,6]2H)(CH3)	115.3370	0.000	1	115.3370	0.000	1     115.3370       0.000      1      116.7955     2.063     2
