490	490	502	4:4:4:4:	4:1:1:1:	4:3:4:1:	P[6]-4:C-4:C-4:C-4:	C-4:H-1:H-1:H-1:	C[6]-4:P[6]-3:C-4:S-1:	C(P[6]C[6]P[6]S)(CH3)3	C(CP[6]CC)(H)3	P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(S)	C(P[6]C[6]P[6]S)(CH3)3	C(CP[6]CC)(H)3	P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(S){1|C<4>,1|P<4>,2|H<1>}	109.4725	1.932	6	109.4725	1.932	6     109.4725       1.932      6      109.4309     1.717     12
490	490	502	4:4:4:4:	4:1:1:1:	4:3:4:1:	P[6]-4:C-4:C-4:C-4:	C-4:H-1:H-1:H-1:	C[6]-4:P[6]-3:C-4:Se-1:	C(P[6]C[6]P[6]Se)(CH3)3	C(CP[6]CC)(H)3	P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(Se)	C(P[6]C[6]P[6]Se)(CH3)3	C(CP[6]CC)(H)3	P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(Se){1|C<4>,1|P<4>,2|H<1>}	109.3893	1.657	6	109.3893	1.657	6     109.3893       1.657      6      109.4309     1.717     12
490	490	502	4:4:4:4:	4:1:1:1:	4:4:4:4:	P[6]-4:C-4:C-4:C-4:	C-4:H-1:H-1:H-1:	B[6]-4:C[6]-4:C-4:C-4:	C(P[6]B[6]C[6]C)(CH3)3	C(CP[6]CC)(H)3	P[6](B[6]C[6a]2C[6])(C[6]C[6]HH)(CC3)2	C(P[6]B[6]C[6]C)(CH3)3	C(CP[6]CC)(H)3	P[6](B[6]C[6a]2C[6])(C[6]C[6]HH)(CC3)2{1|C<4>,2|H<1>,5|C<3>}	110.9583	1.806	6	110.9583	1.806	6     110.9583       1.806      6      110.9583     1.806     6
490	490	542	3:2:4:1:	4:4:2:1:	3:2:4:	N[5a]-3:O-2:C-4:H-1:	C-4:C-4:O-2:H-1:	C[5a]-3:N[5a]-2:C-4:	C(N[5a]C[5a]N[5a])(OC[6a])(CCHO)(H)	C(CN[5a]HO)(CC3)(OC)(H)	N[5a](C[5a]N[5a]H)(N[5a]C[5a])(CCHO)	C(N[5a]C[5a]N[5a])(OC[6a])(CCHO)(H)	C(CN[5a]HO)(CC3)(OC)(H)	N[5a](C[5a]N[5a]H)(N[5a]C[5a])(CCHO){1|H<1>}	111.0020	0.000	1	111.0020	0.000	1     111.0020       0.000      1      111.0020     0.000     1
490	490	542	3:3:3:4:	4:1:1:1:	3:3:4:	N[5]-3:N[5]-3:N[5]-3:C-4:	C-4:H-1:H-1:H-1:	N[5]-3:C[5]-3:C-4:	C(N[5]C[5]N[5])3(CH3)	C(CN[5]3)(H)3	N[5](N[5]C[5]Re)(C[5]C[5]H)(CN[5]2C)	C(N[5]C[5]N[5])3(CH3)	C(CN[5]3)(H)3	N[5](N[5]C[5]Re)(C[5]C[5]H)(CN[5]2C){2|H<1>}	110.1430	0.497	3	110.1430	0.497	3     110.1430       0.497      3      110.3160     0.447     6
490	490	542	3:3:3:4:	4:1:1:1:	3:3:4:	N[5]-3:N[5]-3:N[5]-3:C-4:	C-4:H-1:H-1:O-1:	N[5]-3:C[5]-3:C-4:	C(N[5]C[5]N[5])3(CHHO)	C(CN[5]3)(H)2(O)	N[5](N[5]C[5]Fe)(C[5]C[5]H)(CN[5]2C)	C(N[5]C[5]N[5])3(CHHO)	C(CN[5]3)(H)2(O)	N[5](N[5]C[5]Fe)(C[5]C[5]H)(CN[5]2C){2|H<1>}	110.4890	0.404	3	110.4890	0.404	3     110.4890       0.404      3      110.3160     0.447     6
490	490	542	3:3:3:4:	4:1:1:1:	4:3:2:	N[5a]-3:N[5a]-3:C[6]-3:C-4:	C-4:H-1:H-1:H-1:	C-4:C[5a]-3:N[5a]-2:	C(N[5a]C[5a]N[5a])2(C[6]C[6]2)(CH3)	C(CN[5a]2C[6])(H)3	N[5a](CN[5a]C[6]C)(C[5a]C[5a]C)(N[5a]C[5a])	C(N[5a]C[5a]N[5a])2(C[6]C[6]2)(CH3)	C(CN[5a]2C[6])(H)3	N[5a](CN[5a]C[6]C)(C[5a]C[5a]C)(N[5a]C[5a]){1|C<4>,1|H<1>}	110.2420	3.182	2	110.2420	3.182	2     110.3271       1.564      6      110.0756     1.360     10
490	490	542	3:3:3:4:	4:1:1:1:	4:3:2:	N[5a]-3:N[5a]-3:C[6]-3:C-4:	C-4:H-1:H-1:H-1:	C-4:C[5a]-3:N[5a]-2:	C(N[5a]C[5a]N[5a])2(C[6]C[6]2)(CH3)	C(CN[5a]2C[6])(H)3	N[5a](CN[5a]C[6]C)(C[5a]C[5a]H)(N[5a]C[5a])	C(N[5a]C[5a]N[5a])2(C[6]C[6]2)(CH3)	C(CN[5a]2C[6])(H)3	N[5a](CN[5a]C[6]C)(C[5a]C[5a]H)(N[5a]C[5a]){1|C<3>,1|H<1>}	110.0990	0.419	2	110.3697	0.832	4     110.3271       1.564      6      110.0756     1.360     10
490	490	542	3:3:3:4:	4:1:1:1:	4:3:2:	N[5a]-3:N[5a]-3:C[6]-3:C-4:	C-4:H-1:H-1:H-1:	C-4:C[5a]-3:N[5a]-2:	C(N[5a]C[5a]N[5a])2(C[6]C[6]2)(CH3)	C(CN[5a]2C[6])(H)3	N[5a](CN[5a]C[6]C)(C[5a]C[5a]H)(N[5a]C[5a])	C(N[5a]C[5a]N[5a])2(C[6]C[6]2)(CH3)	C(CN[5a]2C[6])(H)3	N[5a](CN[5a]C[6]C)(C[5a]C[5a]H)(N[5a]C[5a]){2|H<1>}	110.6405	1.268	2	110.3697	0.832	4     110.3271       1.564      6      110.0756     1.360     10
490	490	542	3:3:3:4:	4:1:1:1:	4:3:2:	N[5a]-3:N[5a]-3:C[6a]-3:C-4:	C-4:H-1:H-1:H-1:	C-4:C[5a]-3:N[5a]-2:	C(N[5a]C[5a]N[5a])2(C[6a]C[6a]2)(CH3)	C(CC[6a]N[5a]2)(H)3	N[5a](CC[6a]N[5a]C)(C[5a]C[5a]C)(N[5a]C[5a])	C(N[5a]C[5a]N[5a])2(C[6a]C[6a]2)(CH3)	C(CC[6a]N[5a]2)(H)3	N[5a](CC[6a]N[5a]C)(C[5a]C[5a]C)(N[5a]C[5a]){1|C<4>,1|H<1>}	109.6185	1.831	2	109.6185	1.831	2     109.6983       1.075      4      110.0756     1.360     10
