474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6]-3:C[5]-4:F-1:F-1:	C[5,6]-3:C[5,6]-3:C[5]-4:	C[5]-4:	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2	C[5,6](C[5,6]C[5,6]C[5])2(C[5]C[5]FF)	F(C[5]C[5,6]C[5]F)	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2{1|C<4>,2|C<3>,2|F<1>}	C[5,6](C[5,6]C[5,6]C[5])2(C[5]C[5]FF){1|H<1>,1|S<2>,2|C<3>,2|C<4>,4|F<1>}	F(C[5]C[5,6]C[5]F)	113.4769	1.049	20	113.4769	1.049	20     113.3962       1.104      28      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6]-3:C[5]-4:F-1:F-1:	C[5,6]-3:C[5,6]-3:C[5]-4:	C[5]-4:	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2	C[5,6](C[5,6]C[5,6a]C[5,6])(C[5,6]C[5,6]C[5])(C[5]C[5]FF)	F(C[5]C[5,6]C[5]F)	C[5](C[5,6]C[5,6]2)(C[5]C[5]FF)(F)2{1|C<4>,2|C<3>,2|F<1>}	C[5,6](C[5,6]C[5,6a]C[5,6])(C[5,6]C[5,6]C[5])(C[5]C[5]FF){1|S<2>,2|C<4>,3|C<3>,4|F<1>}	F(C[5]C[5,6]C[5]F)	113.1945	1.283	8	113.1945	1.283	8     113.3962       1.104      28      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-4:F-1:F-1:	C[5,6a]-3:C[5,6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]2)(C[5]C[5]FF)(F)2	C[5,6a](C[5,6a]C[5,6a]C[5])(C[5,6a]C[6a]C[5])(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]2)(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5,6a](C[5,6a]C[5,6a]C[5])(C[5,6a]C[6a]C[5])(C[5]C[5]FF){1|C<4>,1|S<2>,3|C<3>,4|F<1>}	F(C[5]C[5,6a]C[5]F)	113.4305	1.445	2	113.3692	0.784	6     113.3692       0.784      6      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-4:F-1:F-1:	C[5,6a]-3:C[5,6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]2)(C[5]C[5]FF)(F)2	C[5,6a](C[5,6a]C[5,6a]C[5])(C[5,6a]C[6a]C[5])(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]2)(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5,6a](C[5,6a]C[5,6a]C[5])(C[5,6a]C[6a]C[5])(C[5]C[5]FF){1|H<1>,1|S<2>,3|C<3>,4|F<1>}	F(C[5]C[5,6a]C[5]F)	113.3385	0.570	4	113.3692	0.784	6     113.3692       0.784      6      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-4:F-1:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]C[6]H)(F)2	C[5,6a](C[5,6a]C[6a]C[5])(C[6a]C[6a]F)(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]C[6]H)(F)2{1|F<1>,2|C<3>,2|C<4>,3|H<1>}	C[5,6a](C[5,6a]C[6a]C[5])(C[6a]C[6a]F)(C[5]C[5]FF){1|C<3>,1|C<4>,1|F<1>,4|H<1>}	F(C[5]C[5,6a]C[5]F)	111.2530	1.352	2	111.2530	1.352	2     112.9390       1.568      10      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-4:F-1:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]FF)(F)2	C[5,6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]C)(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5,6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a]C)(C[5]C[5]FF){1|C<4>,2|C<3>,4|F<1>}	F(C[5]C[5,6a]C[5]F)	113.4587	1.397	6	113.4587	1.397	6     112.9390       1.568      10      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-4:F-1:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[6a]N[5]O)(F)2	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[6a]N[5]O)(F)2{1|C<4>,1|H<1>,4|C<3>}	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]FF){1|C<4>,1|O<2>,2|C<3>,2|H<1>}	F(C[5]C[5,6a]C[5]F)	113.0660	1.793	2	113.0660	1.793	2     112.9390       1.568      10      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5]-3:C[5]-4:F-1:F-1:	C[5]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5]C[6a]C[5])(C[5]C[5]FF)(F)2	C[5](C[5]C[5a]C[5])(C[6a]C[6a]2)(C[5]C[5]FF)	F(C[5]C[5]2F)	C[5](C[5]C[6a]C[5])(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5](C[5]C[5a]C[5])(C[6a]C[6a]2)(C[5]C[5]FF){1|H<1>,1|O<2>,4|C<3>,4|F<1>}	F(C[5]C[5]2F)	112.5820	0.662	2	112.5820	0.662	2     112.5820       0.662      2      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5]-3:C[5]-4:F-1:F-1:	C[5a]-3:C[5]-3:C[5]-4:	C[5]-4:	C[5](C[5]C[5a]C[5])(C[5]C[5]FF)(F)2	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[5a]C[5])(C[5]C[5]FF)	F(C[5]C[5]2F)	C[5](C[5]C[5a]C[5])(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[5a]C[5])(C[5]C[5]FF){1|C<4>,1|N<3>,4|C<3>,4|F<1>}	F(C[5]C[5]2F)	113.1925	1.308	4	113.1925	1.308	4     113.1567       1.544      6      113.2462     1.197     52
474	818	830	3:4:1:1:	3:3:4:	4:	C[5]-3:C[5]-4:F-1:F-1:	C[5a]-3:C[5]-3:C[5]-4:	C[5]-4:	C[5](C[5]C[5a]C[5])(C[5]C[5]FF)(F)2	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[6a]C[5])(C[5]C[5]FF)	F(C[5]C[5]2F)	C[5](C[5]C[5a]C[5])(C[5]C[5]FF)(F)2{2|F<1>,3|C<3>}	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[6a]C[5])(C[5]C[5]FF){1|C<4>,1|N<3>,4|C<3>,4|F<1>}	F(C[5]C[5]2F)	113.0850	2.602	2	113.0850	2.602	2     113.1567       1.544      6      113.2462     1.197     52
