818	474	622	0:SP2_SP2_SP3	C[5,6a]	C[5]	O[6a]	3:4:2:	3:3:3:3:	3:3:	C[5,6a]-3:C[5]-4:O[6a]-2:	C[5,6a]-3:C[5]-3:C[6a]-3:C[6a]-3:	C[6a,6a]-3:C[5,6a]-3:	C[5,6a](C[5,6a]C[6a]C[5])(C[5]C[6a]2C[5])(O[6a]C[6a,6a])	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[6a]C[5])(C[6a]C[6a]2)2	O[6a](C[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[5,6a]C[5])	C[5,6a](C[5,6a]C[6a]C[5])(C[5]C[6a]2C[5])(O[6a]C[6a,6a]){1|O<1>,8|C<3>}	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[6a]C[5])(C[6a]C[6a]2)2{4|H<1>,9|C<3>}	O[6a](C[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[5,6a]C[5]){1|H<1>,7|C<3>}	119.4490	0.000	1	119.4490	0.000	1	119.4490	0.000	1	119.4490	0.000	1	120.3365	1.228	4	118.6698	2.544	14
818	474	622	6:SP2_SP2_SP3	C[5,6,6]	C[5,3x6]	O[6,6]	4:2:3:	3:4:4:2:	3:4:	C[5,3x6]-4:O[6,6]-2:C[5]-3:	C[5,6,6]-3:C[6,6]-4:C[6,6]-4:O[5]-2:	C[5,6,6]-3:C[3x6]-4:	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]2)	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5])	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H)	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]2){1|C<3>,1|O<1>,2|S<2>,3|C<4>,4|H<1>}	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5]){1|O<1>,1|O<2>,2|H<1>,3|C<4>}	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H){1|C<3>,2|H<1>,2|O<2>,4|C<4>}	115.2750	0.000	1	115.2750	0.000	1	115.8270	0.781	2	115.8270	0.781	2	115.8270	0.781	2	118.1497	4.061	3
818	474	622	6:SP2_SP2_SP3	C[5,6,6]	C[5,3x6]	O[6,6]	4:2:3:	3:4:4:2:	3:4:	C[5,3x6]-4:O[6,6]-2:C[5]-3:	C[5,6,6]-3:C[6,6]-4:C[6,6]-4:O[5]-2:	C[5,6,6]-3:C[3x6]-4:	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]C)	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5])	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H)	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]C){1|C<3>,1|O<1>,2|C<4>,4|H<1>}	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5]){1|C<3>,1|O<1>,1|O<2>,2|C<4>,2|H<1>}	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H){2|C<3>,2|H<1>,2|O<2>,3|C<4>}	116.3790	0.000	1	116.3790	0.000	1	115.8270	0.781	2	115.8270	0.781	2	115.8270	0.781	2	118.1497	4.061	3
818	474	622	6:SP2_SP2_SP3	C[5,6]	C[5,6]	O[6]	4:2:3:	4:3:3:3:	3:3:	C[5,6]-4:O[6]-2:C[5]-3:	C[5,6]-4:C[5,6]-3:C[5]-3:C-3:	C[6,6a]-3:C[5,6]-3:	C[5,6](C[5,6]C[5,6]C[5]C)(O[6]C[6,6a])(C[5]C[5]C)	C[5,6](C[5,6]C[6,6a]C[5]O[5])(C[5,6]C[5]O[6])(C[5]C[5]C)(COO)	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5])	C[5,6](C[5,6]C[5,6]C[5]C)(O[6]C[6,6a])(C[5]C[5]C){1|N<2>,1|O<2>,4|C<3>}	C[5,6](C[5,6]C[6,6a]C[5]O[5])(C[5,6]C[5]O[6])(C[5]C[5]C)(COO){1|C<2>,1|N<2>,5|C<3>}	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]){1|C<2>,1|C<4>,1|H<1>,5|C<3>}	122.7950	0.000	1	122.7950	0.000	1	122.7950	0.000	1	122.7950	0.000	1	122.7950	0.000	1	118.1497	4.061	3
818	474	654	0:SP2_SP3_SP3	C[5,3x6]	C[5]	B[3,3x6]	4:4:4:	3:4:1:1:	6:6:3:1:	C[3,5,3x6]-4:B[3,3x6]-4:C[5]-4:	C[5,3x6]-3:C[5]-4:H-1:H-1:	B[4x3,5,5,6x6]-6:B[4x3,5,4x6]-6:C[5,3x6]-3:H-1:	C[5,3x6](C[3,5,3x6]B[4x3,5,5,6x6]B[3x3,5,4x6]C[5])(B[3,3x6]B[4x3,5,5,6x6]B[4x3,5,4x6]H)(C[5]C[5]HH)	C[5](C[5,3x6]C[3,5,3x6]B[3,3x6])(C[5]C[5]HH)(H)2	B[3,3x6](B[4x3,5,5,6x6]B[5x3,5,5,6,6]B[3,3,5,4x6]B[4x3,5,4x6]B[5x3,5,5,6]Br)(B[4x3,5,4x6]B[4x3,5,5,5x6]B[4x3,5,5,6x6]B[5x3,5,5,6]B[3]Br)(C[5,3x6]C[3,5,3x6]C[5])(H)	C[5,3x6](C[3,5,3x6]B[4x3,5,5,6x6]B[3x3,5,4x6]C[5])(B[3,3x6]B[4x3,5,5,6x6]B[4x3,5,4x6]H)(C[5]C[5]HH){2|Br<1>,1|B<3>,1|B<4>,4|B<6>,6|H<1>}	C[5](C[5,3x6]C[3,5,3x6]B[3,3x6])(C[5]C[5]HH)(H)2{1|B<5>,3|B<6>,3|H<1>}	B[3,3x6](B[4x3,5,5,6x6]B[5x3,5,5,6,6]B[3,3,5,4x6]B[4x3,5,4x6]B[5x3,5,5,6]Br)(B[4x3,5,4x6]B[4x3,5,5,5x6]B[4x3,5,5,6x6]B[5x3,5,5,6]B[3]Br)(C[5,3x6]C[3,5,3x6]C[5])(H){3|Br<1>,1|B<5>,2|B<6>,2|C<4>,4|H<1>}	125.6290	0.000	1	125.6290	0.000	1	125.6290	0.000	1	125.6290	0.000	1	125.6290	0.000	1	125.6290	0.000	1
818	474	670	0:SP2_SP2_SP3	C[5]	C[5,5,6]	N	4:2:3:	4:3:4:3:	3:1:1:	C[5,5,6]-4:N[5]-2:N-3:	C[5,5,6]-4:C[5,6a]-3:C[5,6]-4:C[5]-3:	C[5]-3:H-1:H-1:	C[5](C[5,5,6]C[5,5,6]C[5,6a]C[5,6])(N[5]C[5,6a])(NHH)	C[5,5,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6a]C[5,6a]C[6a])(C[5,6]C[5,5,6]HH)(C[5]N[5]N)	N(C[5]C[5,5,6]N[5])(H)2	C[5](C[5,5,6]C[5,5,6]C[5,6a]C[5,6])(N[5]C[5,6a])(NHH){2|C<3>,3|C<4>,3|H<1>}	C[5,5,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6a]C[5,6a]C[6a])(C[5,6]C[5,5,6]HH)(C[5]N[5]N){1|C<4>,2|C<3>,6|H<1>}	N(C[5]C[5,5,6]N[5])(H)2	123.0140	0.000	1	123.0140	0.000	1	123.0140	0.000	1	123.0140	0.000	1	123.0140	0.000	1	121.3356	2.003	77
818	474	670	0:SP2_SP2_SP3	C[5]	C[5,5]	N	4:3:3:	4:3:3:2:	3:1:1:	C[5,5]-4:C[5]-3:N-3:	C[5,5]-4:C[5]-3:C[5]-3:O-2:	C[5]-3:O-1:O-1:	C[5](C[5,5]C[5,5]C[5]O)(C[5]N[5]S)(NOO)	C[5,5](C[5,5]C[5,6a]N[5]O)(C[5]C[5,6a]O)(C[5]C[5]N)(OH)	N(C[5]C[5,5]C[5])(O)2	C[5](C[5,5]C[5,5]C[5]O)(C[5]N[5]S)(NOO){1|O<1>,1|O<2>,3|C<3>}	C[5,5](C[5,5]C[5,6a]N[5]O)(C[5]C[5,6a]O)(C[5]C[5]N)(OH){1|S<2>,3|C<3>}	N(C[5]C[5,5]C[5])(O)2	122.7353	0.793	4	122.7353	0.793	4	122.7353	0.793	4	122.7353	0.793	4	122.7353	0.793	4	121.3356	2.003	77
818	474	670	0:SP2_SP2_SP3	C[5]	C[5,6]	N	4:3:3:	3:3:3:3:	3:3:4:	C[5,6]-4:C[5]-3:N-3:	C[5,6a]-3:C[5]-3:C[6]-3:C[6]-3:	C[5]-3:C[6a]-3:S-4:	C[5](C[5,6]C[5,6a]C[6]2)(C[5]C[5,6a]H)(NC[6a]S)	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5]C[5]N)(C[6]C[6]H)2	N(C[5]C[5,6]C[5])(C[6a]C[6a]2)(SC[6a]OO)	C[5](C[5,6]C[5,6a]C[6]2)(C[5]C[5,6a]H)(NC[6a]S){2|H<1>,4|C<3>}	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5]C[5]N)(C[6]C[6]H)2{3|C<3>,4|H<1>}	N(C[5]C[5,6]C[5])(C[6a]C[6a]2)(SC[6a]OO)	118.7715	0.806	4	118.7715	0.806	4	118.7715	0.806	4	118.7715	0.806	4	120.0914	3.033	5	121.3356	2.003	77
818	474	670	0:SP2_SP2_SP3	C[5]	C[5,6]	N	4:3:3:	4:4:3:2:	3:1:1:	C[5,6]-4:C[5]-3:N-3:	C[6]-4:C[6]-4:C[5]-3:O[5]-2:	C[5]-3:O-1:O-1:	C[5](C[5,6]C[6]2O[5])(C[5]N[5]C)(NOO)	C[5,6](C[6]C[6]HH)2(C[5]C[5]N)(O[5]N[5])	N(C[5]C[5,6]C[5])(O)2	C[5](C[5,6]C[6]2O[5])(C[5]N[5]C)(NOO){1|C<3>,1|C<4>,4|H<1>}	C[5,6](C[6]C[6]HH)2(C[5]C[5]N)(O[5]N[5]){1|C<3>,1|H<1>,1|O<1>,2|C<4>}	N(C[5]C[5,6]C[5])(O)2	125.3710	0.000	1	125.3710	0.000	1	125.3710	0.000	1	125.3710	0.000	1	120.0914	3.033	5	121.3356	2.003	77
818	474	670	0:SP2_SP2_SP3	C[5]	C[5]	N	3:4:3:	3:2:1:1:	3:3:1:	C[5]-3:C[5]-4:N-3:	C[5]-3:O[5]-2:H-1:H-1:	C[6a]-3:C[5]-3:H-1:	C[5](C[5]C[6a]C[5])(C[5]O[5]HH)(NC[6a]H)	C[5](C[5]C[5]N)(O[5]C[5])(H)2	N(C[6a]C[6a]2)(C[5]C[5]2)(H)	C[5](C[5]C[6a]C[5])(C[5]O[5]HH)(NC[6a]H){1|O<1>,2|C<3>}	C[5](C[5]C[5]N)(O[5]C[5])(H)2{1|C<3>,1|O<1>}	N(C[6a]C[6a]2)(C[5]C[5]2)(H)	123.0328	2.162	5	123.0328	2.162	5	123.0328	2.162	5	123.0328	2.162	5	121.3199	1.937	67	121.3356	2.003	77
