762	490	972	2:3:4:	3:3:3:1:	3:3:3:	N[6a]-2:N[6a]-3:C-4:	C[6a]-3:C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-3:	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CC[6a]2H)	C(C[6a]C[6a]2)2(C[6a]N[6a]2)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCC)	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CC[6a]2H){1|O<1>,2|C<3>}	C(C[6a]C[6a]2)2(C[6a]N[6a]2)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCC){2|C<3>}	116.5360	0.771	2	116.5360	0.771	2     116.5360       0.771      2      116.5360     0.771     2
762	490	972	2:3:4:	3:3:4:1:	3:3:4:	N[6a]-2:N[6a]-3:C-4:	C[6a]-3:N-3:C-4:H-1:	C[6a]-3:C[6a]-3:C-4:	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]C)(CCHN)	C(C[6a]N[6a]2)(NC[6a]H)(CH3)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(CC[6a]HH)	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]C)(CCHN){1|O<1>,2|C<3>}	C(C[6a]N[6a]2)(NC[6a]H)(CH3)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(CC[6a]HH){2|C<3>}	118.4530	0.000	1	118.4530	0.000	1     118.4530       0.000      1      118.4530     0.000     1
762	490	972	2:3:4:	3:4:1:1:	3:3:1:	N[6]-2:N[6]-3:C-4:	C[6]-3:C-4:H-1:H-1:	C[6]-3:C[6]-3:H-1:	C[6](N[6]C[6,6a])(N[6]C[6]H)(CCHH)	C(C[6]N[6]2)(CH3)(H)2	N[6](C[6]C[6,6a]S)(C[6]N[6]C)(H)	C[6](N[6]C[6,6a])(N[6]C[6]H)(CCHH){1|S<1>,2|C<3>}	C(C[6]N[6]2)(CH3)(H)2	N[6](C[6]C[6,6a]S)(C[6]N[6]C)(H){2|C<3>}	114.9350	0.000	1	114.9350	0.000	1     114.9350       0.000      1      114.9350     0.000     1
762	490	972	2:3:4:	3:4:1:1:	3:3:4:	N[6a]-2:N[6a]-3:C-4:	C[6a]-3:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:C-4:	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]C)(CCHH)	C(C[6a]N[6a]2)(CCHO)(H)2	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(CH3)	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]C)(CCHH){1|O<1>,2|C<3>}	C(C[6a]N[6a]2)(CCHO)(H)2	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(CH3){2|C<3>}	116.3450	0.000	1	116.3450	0.000	1     116.3450       0.000      1      116.3450     0.000     1
762	490	972	2:3:4:	3:4:2:1:	3:3:2:	N[6a]-2:N[6a]-3:C-4:	C[6a]-3:C-4:O-2:H-1:	C[6a]-3:C[6a]-3:N-2:	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CCHO)	C(C[6a]N[6a]2)(CH3)(OH)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NS)	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CCHO){1|O<1>,2|C<3>}	C(C[6a]N[6a]2)(CH3)(OH)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NS){2|C<3>}	118.7020	0.888	2	118.7020	0.888	2     118.7020       0.888      2      118.7020     0.888     2
762	490	972	2:3:4:	3:4:2:1:	3:3:3:	N[6a]-2:N[6a]-3:C-4:	C[6a]-3:C-4:O-2:H-1:	C[6a]-3:C[6a]-3:N-3:	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CCHO)	C(C[6a]N[6a]2)(CCCH)(OSi)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCC)	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CCHO){1|O<1>,2|C<3>}	C(C[6a]N[6a]2)(CCCH)(OSi)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCC){2|C<3>}	119.2500	1.445	4	119.2500	1.445	4     118.7446       1.686      5      118.7446     1.686     5
762	490	972	2:3:4:	3:4:2:1:	3:3:3:	N[6a]-2:N[6a]-3:C-4:	C[6a]-3:C-4:O-2:H-1:	C[6a]-3:C[6a]-3:N-3:	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CCHO)	C(C[6a]N[6a]2)(CH3)(OSi)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCH)	C[6a](N[6a]C[6a,6a])(N[6a]C[6a]N)(CCHO){1|O<1>,2|C<3>}	C(C[6a]N[6a]2)(CH3)(OSi)(H)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]C)(NCH){2|C<3>}	116.7230	0.000	1	116.7230	0.000	1     118.7446       1.686      5      118.7446     1.686     5
762	490	972	3:2:4:	3:1:1:1:	3:2:1:	N[6]-3:N[6]-2:C-4:	C[6]-3:H-1:H-1:H-1:	C[6]-3:N[6]-2:H-1:	C[6](N[6]N[6]H)(N[6]N[6])(CH3)	C(C[6]N[6]2)(H)3	N[6](C[6]N[6]C)(N[6]C[6])(H)	C[6](N[6]N[6]H)(N[6]N[6])(CH3){1|C<3>,1|V<6>}	C(C[6]N[6]2)(H)3	N[6](C[6]N[6]C)(N[6]C[6])(H){1|C<3>,1|N<3>}	117.6210	0.000	1	117.6210	0.000	1     117.6210       0.000      1      117.6210     0.000     1
762	490	972	3:2:4:	3:1:1:1:	3:2:3:	N[6]-3:N[6]-2:C-4:	C[6]-3:H-1:H-1:H-1:	C[6]-3:N[6]-2:C-3:	C[6](N[6]N[6]C)(N[6]N[6])(CH3)	C(C[6]N[6]2)(H)3	N[6](C[6]N[6]C)(N[6]C[6])(CNO)	C[6](N[6]N[6]C)(N[6]N[6])(CH3){1|C<3>}	C(C[6]N[6]2)(H)3	N[6](C[6]N[6]C)(N[6]C[6])(CNO){1|C<3>,1|N<2>}	112.8980	0.000	2	120.7407	3.686	12     120.4525       3.470      14      120.4525     3.470     14
762	490	972	3:2:4:	3:1:1:1:	3:2:3:	N[6]-3:N[6]-2:C-4:	C[6]-3:H-1:H-1:H-1:	C[6]-3:N[6]-2:C-3:	C[6](N[6]N[6]C)(N[6]N[6])(CH3)	C(C[6]N[6]2)(H)3	N[6](C[6]N[6]C)(N[6]C[6])(CNO)	C[6](N[6]N[6]C)(N[6]N[6])(CH3){2|C<3>}	C(C[6]N[6]2)(H)3	N[6](C[6]N[6]C)(N[6]C[6])(CNO){1|C<4>,1|N<3>}	122.3092	0.455	10	120.7407	3.686	12     120.4525       3.470      14      120.4525     3.470     14
