478	478	486	4:4:3:2:	4:4:3:3:	4:4:4:4:	C[4,5,6]-4:C[3,4]-4:C[6]-3:O[5]-2:	C[4,5,6]-4:C[3,4]-4:C[6]-3:C[5]-3:	C[4,5,6]-4:C[3,4]-4:C[3]-4:C[3]-4:	C[4,5,6](C[4,5,6]C[3,4]C[5]C[6])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(O[5]C[5])	C[4,5,6](C[4,5,6]C[3,4]C[6]O[5])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(C[5]C[5]C)	C[3,4](C[4,5,6]C[4,5,6]C[6]O[5])(C[3,4]C[4,5,6]C[3]2)(C[3]C[3]HH)2	C[4,5,6](C[4,5,6]C[3,4]C[5]C[6])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(O[5]C[5]){1|O<1>,3|C<3>,3|C<4>,4|H<1>}	C[4,5,6](C[4,5,6]C[3,4]C[6]O[5])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(C[5]C[5]C){1|O<1>,2|C<3>,3|C<4>,4|H<1>}	C[3,4](C[4,5,6]C[4,5,6]C[6]O[5])(C[3,4]C[4,5,6]C[3]2)(C[3]C[3]HH)2{1|O<1>,4|C<3>,4|H<1>}	89.3957	0.000	1	89.3957	0.000	1     89.3957       0.000      1      89.3957     0.000     1
478	478	486	4:4:3:3:	4:4:3:2:	4:4:4:4:	C[4,5,6]-4:C[3,4]-4:C[6]-3:C[5]-3:	C[4,5,6]-4:C[3,4]-4:C[6]-3:O[5]-2:	C[4,5,6]-4:C[3,4]-4:C[3]-4:C[3]-4:	C[4,5,6](C[4,5,6]C[3,4]C[6]O[5])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(C[5]C[5]C)	C[4,5,6](C[4,5,6]C[3,4]C[5]C[6])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(O[5]C[5])	C[3,4](C[4,5,6]C[4,5,6]C[5]C[6])(C[3,4]C[4,5,6]C[3]2)(C[3]C[3]HH)2	C[4,5,6](C[4,5,6]C[3,4]C[6]O[5])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(C[5]C[5]C){1|O<1>,2|C<3>,3|C<4>,4|H<1>}	C[4,5,6](C[4,5,6]C[3,4]C[5]C[6])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(O[5]C[5]){1|O<1>,3|C<3>,3|C<4>,4|H<1>}	C[3,4](C[4,5,6]C[4,5,6]C[5]C[6])(C[3,4]C[4,5,6]C[3]2)(C[3]C[3]HH)2{1|O<1>,1|O<2>,4|C<3>,4|H<1>}	88.3351	0.000	1	88.3351	0.000	1     88.3351       0.000      1      88.3351     0.000     1
478	478	486	4:4:4:1:	4:4:1:1:	4:3:4:4:	C[3,3x6]-4:C[4,6]-4:C[4,6]-4:H-1:	C[4,6,6]-4:C[4,6,6]-4:H-1:H-1:	C[3,6,6]-4:N[3,6]-3:C[4,6,6]-4:C[6]-4:	C[4,6,6](C[3,3x6]C[3,6,6]N[3,6]C[6])(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H)	C[4,6](C[4,6,6]C[3,3x6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(H)2	C[3,3x6](C[3,6,6]C[6,6]N[3,6]H)(N[3,6]C[3,6,6]C[6])(C[4,6,6]C[4,6]2H)(C[6]C[6]HH)	C[4,6,6](C[3,3x6]C[3,6,6]N[3,6]C[6])(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H){1|C<3>,2|C<4>,4|H<1>}	C[4,6](C[4,6,6]C[3,3x6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(H)2{1|N<3>,2|H<1>,4|C<4>}	C[3,3x6](C[3,6,6]C[6,6]N[3,6]H)(N[3,6]C[3,6,6]C[6])(C[4,6,6]C[4,6]2H)(C[6]C[6]HH){1|O<1>,1|O<2>,3|C<4>,6|H<1>}	110.2740	0.000	1	110.2740	0.000	1     110.2740       0.000      1      110.2740     0.000     1
478	478	486	4:4:4:1:	4:4:1:1:	4:4:4:4:	C[3,6,6]-4:C[4,6]-4:C[4,6]-4:H-1:	C[4,6,6]-4:C[4,6,6]-4:H-1:H-1:	C[3,6,6]-4:C[4,6,6]-4:C[3]-4:C-4:	C[4,6,6](C[3,6,6]C[3,6,6]C[3]C)(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H)	C[4,6](C[4,6,6]C[3,6,6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(H)2	C[3,6,6](C[3,6,6]C[6,6]C[3]H)(C[4,6,6]C[4,6]2H)(C[3]C[3,6,6]CH)(CH3)	C[4,6,6](C[3,6,6]C[3,6,6]C[3]C)(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H){1|C<3>,1|C<4>,3|H<1>}	C[4,6](C[4,6,6]C[3,6,6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(H)2{2|H<1>,5|C<4>}	C[3,6,6](C[3,6,6]C[6,6]C[3]H)(C[4,6,6]C[4,6]2H)(C[3]C[3,6,6]CH)(CH3){3|C<4>,4|H<1>}	113.5835	0.404	4	113.5835	0.404	4     113.5835       0.404      4      112.5256     2.391     5
478	478	486	4:4:4:1:	4:4:1:1:	4:4:4:4:	C[3,6,6]-4:C[4,6]-4:C[4,6]-4:H-1:	C[4,6,6]-4:C[4,6,6]-4:H-1:H-1:	C[4,6,6]-4:C[6,6]-4:C[3]-4:C[3]-4:	C[4,6,6](C[3,6,6]C[6,6]C[3]2)(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H)	C[4,6](C[4,6,6]C[3,6,6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(H)2	C[3,6,6](C[4,6,6]C[4,6]2H)(C[6,6]C[6,6]HH)(C[3]C[3]HH)(C[3]C[3]HN)	C[4,6,6](C[3,6,6]C[6,6]C[3]2)(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H){1|C<4>,1|N<3>,6|H<1>}	C[4,6](C[4,6,6]C[3,6,6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(H)2{2|H<1>,5|C<4>}	C[3,6,6](C[4,6,6]C[4,6]2H)(C[6,6]C[6,6]HH)(C[3]C[3]HH)(C[3]C[3]HN){3|C<4>,4|H<1>}	108.2940	0.000	1	108.2940	0.000	1     108.2940       0.000      1      112.5256     2.391     5
478	478	486	4:4:4:1:	4:4:3:1:	4:4:2:1:	C[4,4,5]-4:C[3,4]-4:C[4]-4:H-1:	C[4,4]-4:C[4,5]-4:C-3:H-1:	C[3,4]-4:C[4,4]-4:O[3]-2:H-1:	C[4,4](C[4,4,5]C[3,4]C[4,5]C[5])(C[3,4]C[3,4]O[3]H)(C[4]C[4,5]CH)(H)	C[4](C[4,4]C[4,4,5]C[3,4]H)(C[4,5]C[4,4,5]C[5]H)(COO)(H)	C[3,4](C[3,4]C[4,4,5]O[3]H)(C[4,4]C[4,4,5]C[4]H)(O[3]C[3,4])(H)	C[4,4](C[4,4,5]C[3,4]C[4,5]C[5])(C[3,4]C[3,4]O[3]H)(C[4]C[4,5]CH)(H){1|C<4>,1|O<2>,4|H<1>}	C[4](C[4,4]C[4,4,5]C[3,4]H)(C[4,5]C[4,4,5]C[5]H)(COO)(H){2|C<4>,2|O<2>,3|H<1>}	C[3,4](C[3,4]C[4,4,5]O[3]H)(C[4,4]C[4,4,5]C[4]H)(O[3]C[3,4])(H){1|C<3>,1|H<1>,2|C<4>}	117.1550	0.000	1	117.1550	0.000	1     117.1550       0.000      1      117.1550     0.000     1
478	478	486	4:4:4:1:	4:4:4:1:	4:4:4:1:	C[4,6,6]-4:C[4]-4:C[3]-4:H-1:	C[4,6,6]-4:C[4]-4:C-4:H-1:	C[4]-4:C[3]-4:C[3]-4:H-1:	C[4](C[4,6,6]C[4,6,6]C[5,3x6]H)(C[4]C[4,6,6]CH)(C[3]C[3]2H)(H)	C[4](C[4,6,6]C[5,5,3x6]C[4,6,6]H)(C[4]C[4,6,6]C[3]H)(CCCH)(H)	C[3](C[4]C[4,6,6]C[4]H)(C[3]C[3]CH)2(H)	C[4](C[4,6,6]C[4,6,6]C[5,3x6]H)(C[4]C[4,6,6]CH)(C[3]C[3]2H)(H){2|C<3>,3|C<4>,4|H<1>}	C[4](C[4,6,6]C[5,5,3x6]C[4,6,6]H)(C[4]C[4,6,6]C[3]H)(CCCH)(H){3|H<1>,5|C<4>}	C[3](C[4]C[4,6,6]C[4]H)(C[3]C[3]CH)2(H){2|H<1>,3|C<4>}	122.2400	0.000	1	122.2400	0.000	1     122.2400       0.000      1      120.0210     3.138     2
478	478	486	4:4:4:1:	4:4:4:1:	4:4:4:1:	C[4,6,6]-4:C[4]-4:C[3]-4:H-1:	C[5,3x6]-4:C[4,6,6]-4:C[4]-4:H-1:	C[4]-4:C[3]-4:C[3]-4:H-1:	C[4](C[4,6,6]C[4,6,6]C[5,3x6]H)(C[4]C[4,6,6]CH)(C[3]C[3]2H)(H)	C[4,6,6](C[5,3x6]C[4,5,5,6,6]C[5,6,6]H)(C[4,6,6]C[5,5,3x6]C[4]H)(C[4]C[3]C[4]H)(H)	C[3](C[4]C[4,6,6]C[4]H)(C[3]C[3]CH)2(H)	C[4](C[4,6,6]C[4,6,6]C[5,3x6]H)(C[4]C[4,6,6]CH)(C[3]C[3]2H)(H){2|C<3>,3|C<4>,4|H<1>}	C[4,6,6](C[5,3x6]C[4,5,5,6,6]C[5,6,6]H)(C[4,6,6]C[5,5,3x6]C[4]H)(C[4]C[3]C[4]H)(H){1|C<3>,5|H<1>,6|C<4>}	C[3](C[4]C[4,6,6]C[4]H)(C[3]C[3]CH)2(H){2|H<1>,3|C<4>}	117.8020	0.000	1	117.8020	0.000	1     117.8020       0.000      1      120.0210     3.138     2
478	478	486	4:4:4:1:	4:4:4:3:	4:4:4:3:	C[3,4,6]-4:C[4,6,6]-4:C[6,6]-4:H-1:	C[3,4,6]-4:C[4,6,6]-4:C[6]-4:N[6]-3:	C[3,4,6]-4:C[4,6,6]-4:C[3,6]-4:N[6]-3:	C[4,6,6](C[3,4,6]C[3,4,6]C[3,6]N[6])(C[4,6,6]C[3,4,6]C[6]N[6])(C[6,6]C[6,6]HH)(H)	C[4,6,6](C[3,4,6]C[3,4,6]C[3,6]H)(C[4,6,6]C[3,4,6]C[6,6]H)(C[6]C[6]HH)(N[6]C[6]C)	C[3,4,6](C[3,4,6]C[4,6,6]C[3,6]H)(C[4,6,6]C[4,6,6]C[6,6]H)(C[3,6]C[3,4,6]C[6]O)(N[6]C[6]C)	C[4,6,6](C[3,4,6]C[3,4,6]C[3,6]N[6])(C[4,6,6]C[3,4,6]C[6]N[6])(C[6,6]C[6,6]HH)(H){1|O<2>,2|C<3>,4|C<4>,4|H<1>}	C[4,6,6](C[3,4,6]C[3,4,6]C[3,6]H)(C[4,6,6]C[3,4,6]C[6,6]H)(C[6]C[6]HH)(N[6]C[6]C){1|N<3>,1|O<2>,3|C<4>,5|H<1>}	C[3,4,6](C[3,4,6]C[4,6,6]C[3,6]H)(C[4,6,6]C[4,6,6]C[6,6]H)(C[3,6]C[3,4,6]C[6]O)(N[6]C[6]C){1|N<3>,3|C<4>,6|H<1>}	87.7314	0.000	1	87.7314	0.000	1     87.7314       0.000      1      87.7314     0.000     1
478	478	486	4:4:4:1:	4:4:4:4:	4:3:4:4:	C[3,3x6]-4:C[4,6]-4:C[4,6]-4:H-1:	C[4,6,6]-4:C[4,6,6]-4:C-4:C-4:	C[3,6,6]-4:N[3,6]-3:C[4,6,6]-4:C[6]-4:	C[4,6,6](C[3,3x6]C[3,6,6]N[3,6]C[6])(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H)	C[4,6](C[4,6,6]C[3,3x6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(CH3)2	C[3,3x6](C[3,6,6]C[6,6]N[3,6]H)(N[3,6]C[3,6,6]C[6])(C[4,6,6]C[4,6]2H)(C[6]C[6]HH)	C[4,6,6](C[3,3x6]C[3,6,6]N[3,6]C[6])(C[4,6]C[4,6,6]CC)(C[4,6]C[4,6,6]HH)(H){1|C<3>,2|C<4>,4|H<1>}	C[4,6](C[4,6,6]C[3,3x6]C[4,6]H)(C[4,6,6]C[4,6]C[6,6]H)(CH3)2{1|N<3>,2|C<4>,4|H<1>}	C[3,3x6](C[3,6,6]C[6,6]N[3,6]H)(N[3,6]C[3,6,6]C[6])(C[4,6,6]C[4,6]2H)(C[6]C[6]HH){1|O<1>,1|O<2>,3|C<4>,6|H<1>}	108.1590	0.000	1	108.1590	0.000	1     108.1590       0.000      1      108.1590     0.000     1
