818	474	654	4:4:4:	3:4:1:1:	6:6:3:1:	C[3,5,3x6]-4:B[3,3x6]-4:C[5]-4:	C[5,3x6]-3:C[5]-4:H-1:H-1:	B[4x3,5,5,6x6]-6:B[4x3,5,4x6]-6:C[5,3x6]-3:H-1:	C[5,3x6](C[3,5,3x6]B[4x3,5,5,6x6]B[3x3,5,4x6]C[5])(B[3,3x6]B[4x3,5,5,6x6]B[4x3,5,4x6]H)(C[5]C[5]HH)	C[5](C[5,3x6]C[3,5,3x6]B[3,3x6])(C[5]C[5]HH)(H)2	B[3,3x6](B[4x3,5,5,6x6]B[5x3,5,5,6,6]B[3,3,5,4x6]B[4x3,5,4x6]B[5x3,5,5,6]Br)(B[4x3,5,4x6]B[4x3,5,5,5x6]B[4x3,5,5,6x6]B[5x3,5,5,6]B[3]Br)(C[5,3x6]C[3,5,3x6]C[5])(H)	C[5,3x6](C[3,5,3x6]B[4x3,5,5,6x6]B[3x3,5,4x6]C[5])(B[3,3x6]B[4x3,5,5,6x6]B[4x3,5,4x6]H)(C[5]C[5]HH){2|Br<1>,1|B<3>,1|B<4>,4|B<6>,6|H<1>}	C[5](C[5,3x6]C[3,5,3x6]B[3,3x6])(C[5]C[5]HH)(H)2{1|B<5>,3|B<6>,3|H<1>}	B[3,3x6](B[4x3,5,5,6x6]B[5x3,5,5,6,6]B[3,3,5,4x6]B[4x3,5,4x6]B[5x3,5,5,6]Br)(B[4x3,5,4x6]B[4x3,5,5,5x6]B[4x3,5,5,6x6]B[5x3,5,5,6]B[3]Br)(C[5,3x6]C[3,5,3x6]C[5])(H){3|Br<1>,1|B<5>,2|B<6>,2|C<4>,4|H<1>}	125.6290	0.000	1	125.6290	0.000	1     125.6290       0.000      1      125.6290     0.000     1
818	474	670	3:4:3:	3:2:1:1:	3:3:1:	C[5]-3:C[5]-4:N-3:	C[5]-3:O[5]-2:H-1:H-1:	C[6a]-3:C[5]-3:H-1:	C[5](C[5]C[6a]C[5])(C[5]O[5]HH)(NC[6a]H)	C[5](C[5]C[5]N)(O[5]C[5])(H)2	N(C[6a]C[6a]2)(C[5]C[5]2)(H)	C[5](C[5]C[6a]C[5])(C[5]O[5]HH)(NC[6a]H){1|O<1>,2|C<3>}	C[5](C[5]C[5]N)(O[5]C[5])(H)2{1|C<3>,1|O<1>}	N(C[6a]C[6a]2)(C[5]C[5]2)(H)	123.0328	2.162	5	123.0328	2.162	5     123.0328       2.162      5      123.0328     2.162     5
818	474	670	3:4:3:	3:3:1:1:	3:4:4:	N[5]-3:C[5]-4:N-3:	C[5]-3:C[5]-3:H-1:H-1:	C[5]-3:C-4:C-4:	C[5](N[5]C[6a]N[5])(C[5]C[5]HH)(NCC)	C[5](C[5]N[5]N)2(H)2	N(C[5]C[5]N[5])(CH3)2	C[5](N[5]C[6a]N[5])(C[5]C[5]HH)(NCC){1|N<3>,3|C<3>}	C[5](C[5]N[5]N)2(H)2{2|C<3>}	N(C[5]C[5]N[5])(CH3)2	123.3060	0.392	2	123.3060	0.392	2     123.3060       0.392      2      123.3060     0.392     2
818	474	670	3:4:3:	4:3:1:1:	3:4:4:	C[5,5]-3:C[5]-4:N-3:	C[5]-4:C[5]-3:H-1:H-1:	C[5]-3:C-4:C-4:	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC)	C[5](C[5]C[5,5]CC)(C[5]C[5,5]N)(H)2	N(C[5]C[5,5]C[5])(CH3)2	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC){1|B<4>,1|H<1>,2|C<3>,2|C<4>}	C[5](C[5]C[5,5]CC)(C[5]C[5,5]N)(H)2{1|C<3>,1|C<4>}	N(C[5]C[5,5]C[5])(CH3)2	122.2330	0.000	1	122.7867	0.652	3     122.0786       1.188      5      122.0786     1.188     5
818	474	670	3:4:3:	4:3:1:1:	3:4:4:	C[5,5]-3:C[5]-4:N-3:	C[5]-4:C[5]-3:H-1:H-1:	C[5]-3:C-4:C-4:	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC)	C[5](C[5]C[5,5]CC)(C[5]C[5,5]N)(H)2	N(C[5]C[5,5]C[5])(CH3)2	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC){1|H<1>,2|C<3>,2|C<4>}	C[5](C[5]C[5,5]CC)(C[5]C[5,5]N)(H)2{2|C<3>}	N(C[5]C[5,5]C[5])(CH3)2	123.5050	0.000	1	122.7867	0.652	3     122.0786       1.188      5      122.0786     1.188     5
818	474	670	3:4:3:	4:3:1:1:	3:4:4:	C[5,5]-3:C[5]-4:N-3:	C[5]-4:C[5]-3:H-1:H-1:	C[5]-3:C-4:C-4:	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC)	C[5](C[5]C[5,5]CC)(C[5]C[5,5]N)(H)2	N(C[5]C[5,5]C[5])(CH3)2	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC){2|H<1>,4|C<4>}	C[5](C[5]C[5,5]CC)(C[5]C[5,5]N)(H)2{2|C<4>}	N(C[5]C[5,5]C[5])(CH3)2	122.6220	0.000	1	122.7867	0.652	3     122.0786       1.188      5      122.0786     1.188     5
818	474	670	3:4:3:	4:3:1:1:	3:4:4:	C[5,5]-3:C[5]-4:N-3:	C[5]-4:C[5]-3:H-1:H-1:	C[5]-3:C-4:C-4:	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC)	C[5](C[5]C[5,5]CH)(C[5]C[5,5]N)(H)2	N(C[5]C[5,5]C[5])(CH3)2	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]HH)(NCC){1|C<4>,2|C<3>,2|H<1>}	C[5](C[5]C[5,5]CH)(C[5]C[5,5]N)(H)2{2|C<3>}	N(C[5]C[5,5]C[5])(CH3)2	121.0165	1.019	2	121.0165	1.019	2     122.0786       1.188      5      122.0786     1.188     5
818	474	670	3:4:3:	4:3:2:1:	3:1:1:	C[5,5]-3:C[5]-4:N-3:	C[5]-4:C[5]-3:O-2:H-1:	C[5]-3:O-1:O-1:	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HO)(NOO)	C[5](C[5]N[5,5]CO)(C[5]C[5,5]N)(OC)(H)	N(C[5]C[5,5]C[5])(O)2	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HO)(NOO){1|O<2>,4|C<4>}	C[5](C[5]N[5,5]CO)(C[5]C[5,5]N)(OC)(H){1|C<4>,1|N<3>}	N(C[5]C[5,5]C[5])(O)2	121.8815	0.006	2	121.8815	0.006	2     121.8815       0.006      2      121.8815     0.006     2
818	474	670	3:4:3:	4:3:3:1:	3:1:1:	C[5,6]-3:C[5]-4:N-3:	C[5]-4:C[6a]-3:C[5]-3:H-1:	C[5]-3:O-1:O-1:	C[5](C[5,6]N[5,6]C[6])(C[5]C[6a]C[5]H)(NOO)	C[5](C[5]N[5,6]C[6a]H)(C[6a]C[6a]N[6a])(C[5]C[5,6]N)(H)	N(C[5]C[5,6]C[5])(O)2	C[5](C[5,6]N[5,6]C[6])(C[5]C[6a]C[5]H)(NOO){1|N<2>,2|H<1>,4|C<3>}	C[5](C[5]N[5,6]C[6a]H)(C[6a]C[6a]N[6a])(C[5]C[5,6]N)(H){1|H<1>,1|N<2>,5|C<3>}	N(C[5]C[5,6]C[5])(O)2	123.4280	0.000	1	123.4280	0.000	1     123.4280       0.000      1      123.4280     0.000     1
818	474	670	4:2:3:	2:3:4:1:	3:1:1:	C[5]-4:O[5]-2:N-3:	O[5]-2:C[5]-3:C-4:H-1:	C[5]-3:H-1:H-1:	C[5](C[5]O[5]CH)(O[5]B[5,5])(NHH)	C[5](O[5]B[5,5])(C[5]O[5]N)(CH3)(H)	N(C[5]C[5]O[5])(H)2	C[5](C[5]O[5]CH)(O[5]B[5,5])(NHH){2|O<2>}	C[5](O[5]B[5,5])(C[5]O[5]N)(CH3)(H){2|O<2>}	N(C[5]C[5]O[5])(H)2	124.7940	0.129	2	124.7940	0.129	2     124.7940       0.129      2      124.7940     0.129     2
818	474	670	4:2:3:	3:3:3:1:	3:1:1:	C[5]-4:N[5]-2:N-3:	C[6a]-3:C[5]-3:N[5]-3:H-1:	C[5]-3:H-1:H-1:	C[5](C[5]C[6a]N[5]H)(N[5]S[5])(NHH)	C[5](C[6a]C[6a]2)(C[5]N[5]N)(N[5]S[5]H)(H)	N(C[5]C[5]N[5])(H)2	C[5](C[5]C[6a]N[5]H)(N[5]S[5])(NHH){1|H<1>,2|C<3>,2|O<1>}	C[5](C[6a]C[6a]2)(C[5]N[5]N)(N[5]S[5]H)(H){2|C<3>,2|H<1>,2|O<1>}	N(C[5]C[5]N[5])(H)2	119.3760	0.000	1	119.3760	0.000	1     119.3760       0.000      1      119.3760     0.000     1
818	474	670	4:2:3:	3:3:3:2:	3:1:1:	C[5]-4:N[5]-2:N-3:	C[5,6a]-3:C[6a]-3:C[5]-3:O-2:	C[5]-3:H-1:H-1:	C[5](C[5]C[5,6a]C[6a]O)(N[5]C[5,6a])(NHH)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]N)(OH)	N(C[5]C[5]N[5])(H)2	C[5](C[5]C[5,6a]C[6a]O)(N[5]C[5,6a])(NHH){4|C<3>}	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]N)(OH){3|H<1>,4|C<3>}	N(C[5]C[5]N[5])(H)2	120.2310	0.000	1	120.2310	0.000	1     120.2310       0.000      1      120.2310     0.000     1
818	474	670	4:2:3:	3:3:3:4:	3:1:1:	C[5]-4:N[5]-2:N-3:	C[6a]-3:C[5]-3:C[5]-3:C-4:	C[5]-3:H-1:H-1:	C[5](C[5]C[6a]C[5]C)(N[5]C[5])(NHH)	C[5](C[6a]C[6a]2)(C[5]C[5]C)(C[5]N[5]N)(CC[6a]HH)	N(C[5]C[5]N[5])(H)2	C[5](C[5]C[6a]C[5]C)(N[5]C[5])(NHH){1|C<2>,1|S<2>,2|C<3>}	C[5](C[6a]C[6a]2)(C[5]C[5]C)(C[5]N[5]N)(CC[6a]HH){1|S<2>,2|C<3>,2|H<1>}	N(C[5]C[5]N[5])(H)2	122.6130	0.000	1	122.6130	0.000	1     122.6310       0.025      2      122.6310     0.025     2
818	474	670	4:2:3:	3:3:3:4:	3:1:1:	C[5]-4:N[5]-2:N-3:	C[6a]-3:C[5]-3:C[5]-3:C-4:	C[5]-3:H-1:H-1:	C[5](C[5]C[6a]C[5]C)(N[5]C[5])(NHH)	C[5](C[6a]C[6a]2)(C[5]C[5]C)(C[5]N[5]N)(CH3)	N(C[5]C[5]N[5])(H)2	C[5](C[5]C[6a]C[5]C)(N[5]C[5])(NHH){1|C<2>,1|S<2>,2|C<3>}	C[5](C[6a]C[6a]2)(C[5]C[5]C)(C[5]N[5]N)(CH3){1|S<2>,2|C<3>,2|H<1>}	N(C[5]C[5]N[5])(H)2	122.6490	0.000	1	122.6490	0.000	1     122.6310       0.025      2      122.6310     0.025     2
