930	610	992	0:SP2_SP3_SP3	C	B	P	4:4:3:	3:3:3:1:	3:3:1:1:	B-4:P-4:C-3:	C[6a]-3:C[6a]-3:C-3:H-1:	C[6a]-3:C-3:H-1:H-1:	C(BC[6a]2H)(PC[6a]HH)(CCH)	B(C[6a]C[6a]2)2(CCP)(H)	P(C[6a]C[6a]2)(CBC)(H)2	C(BC[6a]2H)(PC[6a]HH)(CCH)	B(C[6a]C[6a]2)2(CCP)(H)	P(C[6a]C[6a]2)(CBC)(H)2	102.0950	0.000	1	102.0950	0.000	1	102.0950	0.000	1	103.0625	1.872	2	113.0470	300.007	3	113.0470	300.007	3
930	618	818	0:SP2_SP2_SP2	C	B[6,6]	C[5]	3:4:3:	4:4:3:	3:3:3:	B[6,6]-3:C[5]-4:C[5]-3:	C[6,6]-4:C[6,6]-4:C-3:	N[5]-3:N[5]-3:C-3:	C(B[6,6]C[6,6]2)(C[5]N[5]2H)(C[5]N[5]2)	B[6,6](C[6,6]C[6]2H)2(CC[5]2)	C[5](N[5]C[5,6a]C)2(CB[6,6]C[5])	C(B[6,6]C[6,6]2)(C[5]N[5]2H)(C[5]N[5]2)	B[6,6](C[6,6]C[6]2H)2(CC[5]2){2|C<4>,8|H<1>}	C[5](N[5]C[5,6a]C)2(CB[6,6]C[5]){2|C<3>}	120.8430	0.000	1	120.8430	0.000	1	120.8430	0.000	1	120.8430	0.000	1	120.8430	0.000	1	120.8430	0.000	1
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:2:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(C[6a]N[6a]2)(O)	C[6a](N[6a]C[6a,6a])(N[6a]N[6a])(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]2)(C[6a]N[6a]2)(O)	C[6a](N[6a]C[6a,6a])(N[6a]N[6a])(CC[6a]O){2|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	120.4460	0.000	1	120.4460	0.000	1	120.4460	0.000	1	120.4460	0.000	1	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	2:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	N[6a]-2:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])2(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O)	C(C[6a]C[6a]N[6a])2(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O){1|C<4>,2|C<3>}	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O){1|C<4>,2|C<3>}	119.8960	0.000	1	119.8960	0.000	1	119.8960	0.000	1	119.8960	0.000	1	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[5a,6a])(C[6a]C[6a]2)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[5a,6a])(C[6a]C[6a]2)(CC[6a]O){1|H<1>,1|N<3>,3|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	119.3950	0.000	1	119.3950	0.000	1	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[5a,6a])(C[6a]C[6a]H)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[5a,6a])(C[6a]C[6a]H)(CC[6a]O){1|C<3>,1|N<2>,1|N<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	123.7180	0.000	1	123.7180	0.000	1	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]C)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]C)(CC[6a]O){1|C<3>,1|N<3>,1|O<1>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	118.6320	0.000	2	119.1390	0.771	3	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]C)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]C)(CC[6a]O){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	120.1530	0.000	1	119.1390	0.771	3	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	121.7960	0.000	1	121.7810	0.122	4	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|N<3>}	121.8395	0.583	2	121.7810	0.122	4	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O){3|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	121.6490	0.000	1	121.7810	0.122	4	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
930	643	643	0:SP2_SP2_SP2	C	C[6a]	C[6a]	3:3:1:	2:3:3:	3:3:3:	C[6a]-3:C[6a]-3:O-1:	N[6a]-2:C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CC[6a]O)	C[6a](C[6a]C[6a]H)2(CC[6a]O)	C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)	C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CC[6a]O){2|C<3>}	C[6a](C[6a]C[6a]H)2(CC[6a]O){1|C<3>,2|H<1>}	120.9090	0.000	1	120.9090	0.000	1	121.0416	3.414	14	120.7788	3.180	17	117.9629	9.091	3105	117.9629	9.091	3105
