762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:2:3:	3:3:	3:3:3:	O[6]-2:N[6]-2:C-3:	C[6]-3:C[6]-3:	C[6]-3:C[6a]-3:N-3:	C[6](O[6]C[6,6a])(N[6]C[6])(CC[6a]N)	N[6](C[6]C[6,6a]H)(C[6]O[6]C)	C(C[6]N[6]O[6])(C[6a]C[6a]2)(NCS)	C[6](O[6]C[6,6a])(N[6]C[6])(CC[6a]N){1|H<1>,2|C<3>}	N[6](C[6]C[6,6a]H)(C[6]O[6]C){2|C<3>}	C(C[6]N[6]O[6])(C[6a]C[6a]2)(NCS)	122.2725	1.422	2	122.2725	2.022	2	122.7593	2.028	6	122.3365	2.086	8	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:3:2:	3:3:	3:4:3:	O[6]-2:C-3:N[6]-2:	C[6]-3:C[6]-3:	C[6]-3:C[3]-4:N[5]-3:	C[6](O[6]C[6,6a])(CC[3]N[5])(N[6]C[6])	N[6](C[6]C[6,6a]H)(C[6]O[6]C)	C(C[6]N[6]O[6])(C[3]C[3]2H)(N[5]C[5]2)	C[6](O[6]C[6,6a])(CC[3]N[5])(N[6]C[6]){1|H<1>,2|C<3>}	N[6](C[6]C[6,6a]H)(C[6]O[6]C){2|C<3>}	C(C[6]N[6]O[6])(C[3]C[3]2H)(N[5]C[5]2)	121.3060	0.000	1	121.3060	0.000	1	121.3060	0.000	1	121.3060	0.000	1	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:3:3:	3:3:	3:2:1:	N[6]-2:C[6]-3:C-3:	C[5,6]-3:C[6]-3:	C[6]-3:O-2:O-1:	C[6](N[6]C[5,6])(C[6]C[6]H)(COO)	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]C)	C(C[6]C[6]N[6])(OC)(O)	C[6](N[6]C[5,6])(C[6]C[6]H)(COO){1|C<3>,1|H<1>,2|N<3>}	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]C){1|C<4>,2|C<3>,2|H<1>}	C(C[6]C[6]N[6])(OC)(O)	114.2120	0.000	1	114.2120	0.000	1	114.2120	0.000	1	114.2120	0.000	1	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:3:3:	3:3:	3:3:1:	N[6]-2:C[6]-3:C-3:	C[6,6a]-3:C[6]-3:	C[6]-3:N-3:O-1:	C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)	C(C[6]C[6]N[6])(NHH)(O)	C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO){1|H<1>,2|C<3>}	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C){1|N<3>,2|C<3>,2|H<1>}	C(C[6]C[6]N[6])(NHH)(O)	119.8500	0.000	1	119.3710	0.459	2	119.3710	0.459	2	119.3710	0.459	2	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:3:3:	3:3:	3:3:1:	N[6]-2:C[6]-3:C-3:	C[6,6a]-3:C[6]-3:	C[6]-3:N-3:O-1:	C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)	C(C[6]C[6]N[6])(NHH)(O)	C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO){1|Pt<4>,2|C<3>}	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C){1|N<3>,2|C<3>,2|H<1>}	C(C[6]C[6]N[6])(NHH)(O)	118.8920	0.000	1	119.3710	0.459	2	119.3710	0.459	2	119.3710	0.459	2	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:3:3:	3:3:	3:4:1:	N[6]-2:C[6]-3:C-3:	C[5,6,6]-3:C[6]-3:	C[6]-3:C-4:H-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCH)	N[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]C)	C(C[6]C[6]N[6])(CCCH)(H)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCH){2|C<4>}	N[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]C){1|H<1>,1|O<1>,1|O<2>,4|C<4>}	C(C[6]C[6]N[6])(CCCH)(H)	120.4310	0.000	1	120.4310	0.000	1	120.4310	0.000	1	120.4310	0.000	1	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	2:3:3:	3:3:	3:4:3:	N[6]-2:C[6]-3:C-3:	C[3x6]-3:C[6]-3:	C[6]-3:C-4:C-3:	C[6](N[6]C[3x6])(C[6]O[6]O)(CCC)	N[6](C[3x6]C[3x6]C[6,6])(C[6]C[6]C)	C(C[6]C[6]N[6])(CH3)(CCO)	C[6](N[6]C[3x6])(C[6]O[6]O)(CCC){2|C<4>}	N[6](C[3x6]C[3x6]C[6,6])(C[6]C[6]C){1|O<1>,1|O<2>,2|H<1>,3|C<4>}	C(C[6]C[6]N[6])(CH3)(CCO)	121.6240	0.000	1	121.6240	0.000	1	121.6240	0.000	1	121.6240	0.000	1	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	3:2:3:	2:3:	3:2:1:	C[6]-3:N[6]-2:C-3:	N[6]-2:C[6]-3:	C[6]-3:O-2:O-1:	C[6](C[6]C[6a]O[6])(N[6]N[6])(COO)	N[6](N[6]Si[5,6])(C[6]C[6]C)	C(C[6]C[6]N[6])(OC)(O)	C[6](C[6]C[6a]O[6])(N[6]N[6])(COO){1|Si<4>,2|C<3>}	N[6](N[6]Si[5,6])(C[6]C[6]C){1|C<3>,1|O<2>,2|C<4>}	C(C[6]C[6]N[6])(OC)(O)	112.5200	0.000	1	112.5200	0.000	1	112.5200	0.000	1	112.5200	0.000	1	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	3:2:3:	3:2:	3:3:1:	C[6]-3:N[6]-2:C-3:	C[6]-3:N[6]-2:	C[6]-3:C[6a]-3:O-1:	C[6](C[6]C[6]C)(N[6]N[6])(CC[6a]O)	N[6](C[6]C[6]C)(N[6]N[6])	C(C[6]C[6]N[6])(C[6a]C[6a]2)(O)	C[6](C[6]C[6]C)(N[6]N[6])(CC[6a]O){1|C<3>,1|H<1>,1|N<3>}	N[6](C[6]C[6]C)(N[6]N[6]){1|C<3>,2|C<4>}	C(C[6]C[6]N[6])(C[6a]C[6a]2)(O)	114.3940	0.000	1	114.3940	0.000	1	114.3940	0.000	1	114.3940	0.000	1	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	3:2:3:	3:3:	3:1:1:	C[6]-3:N[6]-2:C-3:	C[6]-3:C[6]-3:	C[6]-3:H-1:H-1:	C[6](C[6]C[6]H)(N[6]C[6])(CHH)	N[6](C[6]C[6]C)(C[6]N[6]N)	C(C[6]C[6]N[6])(H)2	C[6](C[6]C[6]H)(N[6]C[6])(CHH){1|C<4>,1|N<2>,1|N<3>}	N[6](C[6]C[6]C)(C[6]N[6]N){1|C<3>,1|H<1>}	C(C[6]C[6]N[6])(H)2	116.6010	0.000	1	116.6010	0.000	1	117.7409	1.612	7	116.5949	3.143	23	117.3693	7.542	182	117.3693	7.542	182
762	914	930	0:SP2_SP2_SP2	C[6]	N[6]	C	3:2:3:	3:3:	3:1:1:	C[6]-3:N[6]-2:C-3:	C[6]-3:C[6]-3:	C[6]-3:H-1:H-1:	C[6](C[6]C[6]H)(N[6]C[6])(CHH)	N[6](C[6]C[6]C)2	C(C[6]C[6]N[6])(H)2	C[6](C[6]C[6]H)(N[6]C[6])(CHH){1|H<1>,2|C<3>}	N[6](C[6]C[6]C)2{1|C<3>,2|H<1>}	C(C[6]C[6]N[6])(H)2	118.0125	1.285	2	118.0125	1.651	2	117.7409	1.612	7	116.5949	3.143	23	117.3693	7.542	182	117.3693	7.542	182
