727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:3:1:	3:3:4:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:N[6]-3:H-1:	C[5a,6a]-3:C[5a,6]-3:C-4:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]N[6]H)(N[5a]C[5a,6a]C)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6a]C[6])(N[6]C[6]H)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(CH3)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]N[6]H)(N[5a]C[5a,6a]C){1|C<4>,3|H<1>,4|C<3>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6a]C[6])(N[6]C[6]H)(H){1|O<1>,2|C<4>,2|H<1>,4|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(CH3){1|C<4>,2|C<3>,2|H<1>,2|N<3>}	123.6990	0.000	1	123.6990	0.000	1	123.6990	0.000	1	123.6990	0.000	1	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[5,6]C[6])(C[6]C[6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){2|C<3>,3|C<4>,4|H<1>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[5,6]C[6])(C[6]C[6]HH)(H){1|O<2>,2|C<3>,3|C<4>,5|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	123.4550	0.134	2	124.0253	0.985	3	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[5,6]C[6])(C[6]C[6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){2|C<3>,3|C<4>,4|H<1>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[5,6]C[6])(C[6]C[6]HH)(H){2|C<3>,3|C<4>,6|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	125.1660	0.000	1	124.0253	0.985	3	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6]C[4])(C[6]N[6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){1|N<3>,2|C<3>,2|C<4>,4|H<1>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6]C[4])(C[6]N[6]HH)(H){3|C<4>,3|H<1>,4|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	123.9350	0.000	1	123.9350	0.000	1	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6]H)(C[6]C[5,6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){2|C<3>,2|C<4>,5|H<1>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6]H)(C[6]C[5,6]HH)(H){2|C<3>,3|C<4>,3|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.1400	0.000	1	124.1400	0.000	1	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6a]C[6])(C[6]C[6a]N[6]H)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){1|C<4>,1|N<3>,3|H<1>,4|C<3>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6,6a]C[6])(C[6]C[6a]N[6]H)(H){1|C<4>,4|H<1>,6|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.0730	0.000	1	124.0730	0.000	1	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){2|C<3>,3|H<1>,4|C<4>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H){3|C<3>,3|C<4>,5|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.3590	0.000	1	124.2876	0.237	5	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){2|C<4>,3|H<1>,4|C<3>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H){1|O<1>,2|C<3>,2|C<4>,5|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.4670	0.000	1	124.2876	0.237	5	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){3|C<3>,3|C<4>,3|H<1>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H){1|O<1>,2|C<3>,3|C<4>,4|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.4175	0.784	2	124.2876	0.237	5	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:4:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:C[6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]C[6]H)(N[5a]C[5a,6a]H){3|C<3>,3|C<4>,3|H<1>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(C[6]C[6]CH)(H){1|O<1>,2|C<3>,3|H<1>,4|C<4>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	123.7770	0.000	1	124.2876	0.237	5	123.8755	0.315	27	123.8755	0.315	27	124.4016	1.740	99	124.6991	5.748	488
