930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:C-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(CC[6a]O)(S)	N[6](C[6]C[6]HH)2(CCS)	S(CN[6]C)	C(N[6]C[6]2)(CC[6a]O)(S)	N[6](C[6]C[6]HH)2(CCS){1|O<2>,4|H<1>}	S(CN[6]C)	127.8630	0.000	1	127.8630	0.000	1	127.2327	0.687	3	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:C-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(CN[6]S)(S)	N[6](C[6]C[6]HH)2(CCS)	S(CN[6]C)	C(N[6]C[6]2)(CN[6]S)(S)	N[6](C[6]C[6]HH)2(CCS){1|O<2>,4|H<1>}	S(CN[6]C)	126.9175	0.589	2	126.9175	0.589	2	127.2327	0.687	3	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]CH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]CH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	125.7775	1.300	2	125.7775	1.300	2	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	126.1245	0.336	2	124.8168	1.527	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS){1|N<3>,4|H<1>}	S(CN[6]N)	122.9185	0.221	2	124.8168	1.527	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	125.4075	0.409	2	124.8168	1.527	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[3x6]H)(S)	N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[3x6]H)(S)	N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(CNS){2|C<3>,2|H<1>}	S(CN[6]N)	122.5000	0.000	1	122.5000	0.000	1	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	123.9740	0.000	1	124.7330	0.730	3	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	125.1125	0.449	2	124.7330	0.730	3	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	122.1210	0.604	3	122.3177	0.533	6	123.9560	1.615	19	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
