474	542	762	3:3:2:1:	4:2:3:	4:3:3:	C[6a]-3:N[5]-3:O[5]-2:H-1:	C[5]-4:N[5]-2:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[6a]C[6a]2)(N[5]N[5]C)(O[5]C[5])(H)	N[5](C[5]C[6a]O[5]H)(N[5]C[5])(CCO)	C[6a](C[5]N[5]O[5]H)(C[6a]C[6a]H)2	C[5](C[6a]C[6a]2)(N[5]N[5]C)(O[5]C[5])(H){2|H<1>,3|C<3>}	N[5](C[5]C[6a]O[5]H)(N[5]C[5])(CCO){3|C<3>}	C[6a](C[5]N[5]O[5]H)(C[6a]C[6a]H)2{1|Cl<1>,1|H<1>,1|N<2>,3|C<3>}	113.0180	0.000	1	113.7887	0.724	3     113.7440       0.598      4      113.2927     1.026     7
474	542	762	3:3:2:1:	4:2:3:	4:3:3:	C[6a]-3:N[5]-3:O[5]-2:H-1:	C[5]-4:N[5]-2:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[6a]C[6a]2)(N[5]N[5]C)(O[5]C[5])(H)	N[5](C[5]C[6a]O[5]H)(N[5]C[5])(CCO)	C[6a](C[5]N[5]O[5]H)(C[6a]C[6a]H)2	C[5](C[6a]C[6a]2)(N[5]N[5]C)(O[5]C[5])(H){2|H<1>,3|C<3>}	N[5](C[5]C[6a]O[5]H)(N[5]C[5])(CCO){3|C<3>}	C[6a](C[5]N[5]O[5]H)(C[6a]C[6a]H)2{1|N<2>,2|H<1>,3|C<3>}	114.1740	0.396	2	113.7887	0.724	3     113.7440       0.598      4      113.2927     1.026     7
474	542	762	3:3:2:1:	4:2:3:	4:3:3:	C[6a]-3:N[5]-3:S[5]-2:H-1:	C[5]-4:N[5]-2:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[6a]C[6a]2)(N[5]N[5]C)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(N[5]C[5])(CCO)	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2	C[5](C[6a]C[6a]2)(N[5]N[5]C)(S[5]C[5])(H){1|N<3>,2|C<3>,2|H<1>}	N[5](C[5]C[6a]S[5]H)(N[5]C[5])(CCO){1|N<3>,2|C<3>}	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2{1|H<1>,1|N<2>,1|O<2>,3|C<3>}	112.0340	0.873	2	112.6910	1.294	3     112.6910       1.294      3      113.2927     1.026     7
474	542	762	3:3:2:1:	4:2:3:	4:3:3:	C[6a]-3:N[5]-3:S[5]-2:H-1:	C[5]-4:N[5]-2:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[6a]C[6a]2)(N[5]N[5]C)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(N[5]C[5])(CCO)	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2	C[5](C[6a]C[6a]2)(N[5]N[5]C)(S[5]C[5])(H){1|N<3>,2|C<3>,2|H<1>}	N[5](C[5]C[6a]S[5]H)(N[5]C[5])(CCO){1|N<3>,2|C<3>}	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2{1|N<2>,2|H<1>,3|C<3>}	114.0050	0.000	1	112.6910	1.294	3     112.6910       1.294      3      113.2927     1.026     7
474	542	762	3:3:2:1:	4:3:3:	3:4:3:	C[6,6a]-3:N[5,5a]-3:O[5,6]-2:H-1:	C[5,6]-4:N[5,5a]-3:C[5a]-3:	C[6,6a,6a]-3:C[5,6]-4:C[6a]-3:	C[5,6](C[6,6a]C[6,6a,6a]C[6a])(N[5,5a]N[5,5a]C[5a])(O[5,6]C[5,6])(H)	N[5,5a](C[5,6]C[6,6a]O[5,6]H)(N[5,5a]C[5,6]C[5a])(C[5a]N[5a]O)	C[6,6a](C[6,6a,6a]C[6a,6a]C[6,6a])(C[5,6]N[5,5a]O[5,6]H)(C[6a]C[6a]H)	C[5,6](C[6,6a]C[6,6a,6a]C[6a])(N[5,5a]N[5,5a]C[5a])(O[5,6]C[5,6])(H){1|N<3>,1|O<1>,2|H<1>,4|C<3>}	N[5,5a](C[5,6]C[6,6a]O[5,6]H)(N[5,5a]C[5,6]C[5a])(C[5a]N[5a]O){1|C<4>,1|H<1>,1|O<1>,3|C<3>}	C[6,6a](C[6,6a,6a]C[6a,6a]C[6,6a])(C[5,6]N[5,5a]O[5,6]H)(C[6a]C[6a]H){1|C<4>,1|H<1>,1|N<3>,4|C<3>}	110.8730	0.000	1	110.8730	0.000	1     110.8730       0.000      1      111.7943     1.177     3
474	542	762	3:3:2:1:	4:3:3:	3:4:3:	N[5]-3:C[6a]-3:S[5]-2:H-1:	C[5]-4:C[6a]-3:C[5]-3:	C[6a]-3:C[5]-4:C[6a]-3:	C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(C[6a]C[6a]2)(C[5]C[5]O)	C[6a](C[6a]C[6a,6a]H)(C[5]N[5]S[5]H)(C[6a]N[6a]Cl)	C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(S[5]C[5])(H){1|Cl<1>,1|N<2>,1|O<1>,3|C<3>,3|H<1>}	N[5](C[5]C[6a]S[5]H)(C[6a]C[6a]2)(C[5]C[5]O){4|C<3>,4|H<1>}	C[6a](C[6a]C[6a,6a]H)(C[5]N[5]S[5]H)(C[6a]N[6a]Cl){1|C<4>,4|C<3>}	113.1200	0.000	1	113.1200	0.000	1     112.2550       1.223      2      111.7943     1.177     3
474	542	762	3:3:2:1:	4:3:3:	3:4:3:	N[5]-3:C[6a]-3:S[5]-2:H-1:	C[5]-4:C[6a]-3:C[5]-3:	C[6a]-3:C[5]-4:C[6a]-3:	C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(C[6a]C[6a]2)(C[5]C[5]O)	C[6a](C[6a]C[6a,6a]O)(C[5]N[5]S[5]H)(C[6a]O[6a]H)	C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(S[5]C[5])(H){1|O<2>,2|O<1>,3|C<3>,3|H<1>}	N[5](C[5]C[6a]S[5]H)(C[6a]C[6a]2)(C[5]C[5]O){4|C<3>,4|H<1>}	C[6a](C[6a]C[6a,6a]O)(C[5]N[5]S[5]H)(C[6a]O[6a]H){1|C<4>,4|C<3>}	111.3900	0.000	1	111.3900	0.000	1     112.2550       1.223      2      111.7943     1.177     3
474	542	762	3:3:2:1:	4:3:3:	4:3:3:	C[6a]-3:N[5]-3:S[5]-2:H-1:	C[5]-4:C[5]-3:C[5]-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[6a]C[6a]2)(N[5]C[5]2)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(C[5]N[5]S[5])(C[5]C[5]O)	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]Cl)(C[6a]C[6a]H)	C[5](C[6a]C[6a]2)(N[5]C[5]2)(S[5]C[5])(H){1|Cl<1>,1|N<2>,1|O<1>,1|S<2>,2|C<3>,3|H<1>}	N[5](C[5]C[6a]S[5]H)(C[5]N[5]S[5])(C[5]C[5]O){1|N<2>,2|H<1>,3|C<3>}	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]Cl)(C[6a]C[6a]H){1|C<4>,2|H<1>,3|C<3>}	113.0080	0.465	2	113.0080	0.465	2     113.0110       0.370      8      113.1676     0.817     17
474	542	762	3:3:2:1:	4:3:3:	4:3:3:	C[6a]-3:N[5]-3:S[5]-2:H-1:	C[5]-4:C[5]-3:C[5]-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[6a]C[6a]2)(N[5]C[5]2)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(C[5]N[5]S[5])(C[5]C[5]O)	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2	C[5](C[6a]C[6a]2)(N[5]C[5]2)(S[5]C[5])(H){1|N<2>,1|O<1>,1|S<2>,2|C<3>,4|H<1>}	N[5](C[5]C[6a]S[5]H)(C[5]N[5]S[5])(C[5]C[5]O){1|N<2>,2|H<1>,3|C<3>}	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2{1|C<4>,2|H<1>,3|C<3>}	113.0120	0.385	6	113.0120	0.385	6     113.0110       0.370      8      113.1676     0.817     17
474	542	762	3:3:2:1:	4:3:3:	4:3:3:	N[5]-3:C[6a]-3:S[5]-2:H-1:	C[5]-4:C[5a]-3:C[5]-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](N[5]C[5a]C[5])(C[6a]C[6a]2)(S[5]C[5])(H)	N[5](C[5]C[6a]S[5]H)(C[5a]C[5a]2)(C[5]C[5]O)	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2	C[5](N[5]C[5a]C[5])(C[6a]C[6a]2)(S[5]C[5])(H){1|O<1>,4|C<3>,4|H<1>}	N[5](C[5]C[6a]S[5]H)(C[5a]C[5a]2)(C[5]C[5]O){1|C<4>,1|N<2>,2|C<3>,2|H<1>,2|N<3>}	C[6a](C[5]N[5]S[5]H)(C[6a]C[6a]H)2{1|C<4>,2|H<1>,3|C<3>}	111.6425	0.986	2	111.6425	0.986	2     111.6425       0.986      2      113.1676     0.817     17
