678	971	995	3:3:2:1:	4:4:	4:	N[5,6]-3:N[5,6]-3:O-2:S-1:	P[5]-4:C[6]-4:	P[5]-4:	P[5](N[5,6]C[5,6]C[6])2(OC[6])(S)	O(P[5]N[5,6]2S)(C[6]C[6]2H)	S(P[5]N[5,6]2O)	P[5](N[5,6]C[5,6]C[6])2(OC[6])(S){4|C<4>,6|H<1>}	O(P[5]N[5,6]2S)(C[6]C[6]2H)	S(P[5]N[5,6]2O)	111.9400	0.000	1	111.9400	0.000	1     111.9400       0.000      1      111.9400     0.000     1
678	972	995	3:3:2:1:	4:3:4:	4:	N[5,6]-3:N[6]-3:O[5]-2:S-1:	P[5,6]-4:C[6]-3:C-4:	P[5,6]-4:	P[5,6](N[5,6]C[6,6a]C[5])(N[6]C[6]C)(O[5]C[5])(S)	N[6](P[5,6]N[5,6]O[5]S)(C[6]C[6,6a]O)(CCHH)	S(P[5,6]N[5,6]N[6]O[5])	P[5,6](N[5,6]C[6,6a]C[5])(N[6]C[6]C)(O[5]C[5])(S){1|O<1>,2|C<3>,4|H<1>}	N[6](P[5,6]N[5,6]O[5]S)(C[6]C[6,6a]O)(CCHH){2|C<3>,2|C<4>}	S(P[5,6]N[5,6]N[6]O[5])	113.6790	0.000	1	113.6790	0.000	1     113.6790       0.000      1      113.6790     0.000     1
678	979	995	2:2:2:1:	4:4:	4:	S[5]-2:S[5]-2:S-2:S-1:	P[5]-4:C-4:	P[5]-4:	P[5](S[5]C[5])2(SC)(S)	S(P[5]S[5]2S)(CC[6a]HH)	S(P[5]S[5]2S)	P[5](S[5]C[5])2(SC)(S){2|C<3>}	S(P[5]S[5]2S)(CC[6a]HH)	S(P[5]S[5]2S)	105.7120	0.000	1	105.7120	0.000	1     107.6027       1.758      3      107.6027     1.758     3
678	979	995	2:2:2:1:	4:4:	4:	S[5]-2:S[5]-2:S-2:S-1:	P[5]-4:C-4:	P[5]-4:	P[5](S[5]C[5])2(SC)(S)	S(P[5]S[5]2S)(CH3)	S(P[5]S[5]2S)	P[5](S[5]C[5])2(SC)(S){2|C<3>}	S(P[5]S[5]2S)(CH3)	S(P[5]S[5]2S)	108.5480	0.907	2	108.5480	0.907	2     107.6027       1.758      3      107.6027     1.758     3
678	995	995	2:2:1:1:	4:	4:	O[5]-2:O[5]-2:S-1:S-1:	P[5]-4:	P[5]-4:	P[5](O[5]C[5,6a])2(S)2	S(P[5]O[5]2S)	S(P[5]O[5]2S)	P[5](O[5]C[5,6a])2(S)2{2|C<3>}	S(P[5]O[5]2S)	S(P[5]O[5]2S)	120.6745	0.934	2	120.6745	0.934	2     120.6745       0.934      2      120.6745     0.934     2
678	995	995	3:3:1:1:	4:	4:	N[5]-3:N[5]-3:S-1:S-1:	P[5]-4:	P[5]-4:	P[5](N[5]C[5,6a]H)2(S)2	S(P[5]N[5]2S)	S(P[5]N[5]2S)	P[5](N[5]C[5,6a]H)2(S)2{2|C<3>}	S(P[5]N[5]2S)	S(P[5]N[5]2S)	114.4900	0.000	1	114.4900	0.000	1     114.4900       0.000      1      114.4900     0.000     1
678	995	995	3:4:1:1:	4:	4:	C[5,6a]-3:P[5]-4:S-1:S-1:	P[5]-4:	P[5]-4:	P[5](C[5,6a]C[5,6a,6a]C[6a])(P[5]C[5,6a]CC)(S)2	S(P[5]C[5,6a]P[5]S)	S(P[5]C[5,6a]P[5]S)	P[5](C[5,6a]C[5,6a,6a]C[6a])(P[5]C[5,6a]CC)(S)2{1|H<1>,3|C<3>}	S(P[5]C[5,6a]P[5]S)	S(P[5]C[5,6a]P[5]S)	120.7620	0.318	2	120.7620	0.318	2     120.7620       0.318      2      120.7620     0.318     2
694	74	74	3:3:3:	3:3:3:	3:3:3:	N[4a]-3:N[4a]-3:C[6a]-3:	B[4a]-3:P[4a]-3:C[6a]-3:	B[4a]-3:P[4a]-3:C[6a]-3:	B[4a](N[4a]C[6a]P[4a])2(C[6a]C[6a]2)	N[4a](B[4a]C[6a]N[4a])(P[4a]N[4a]Cl)(C[6a]C[6a]2)	N[4a](B[4a]C[6a]N[4a])(P[4a]N[4a]Cl)(C[6a]C[6a]2)	B[4a](N[4a]C[6a]P[4a])2(C[6a]C[6a]2){1|Cl<1>,2|H<1>,6|C<3>}	N[4a](B[4a]C[6a]N[4a])(P[4a]N[4a]Cl)(C[6a]C[6a]2){2|C<4>,5|C<3>}	N[4a](B[4a]C[6a]N[4a])(P[4a]N[4a]Cl)(C[6a]C[6a]2){2|C<4>,5|C<3>}	97.9976	0.000	1	97.9976	0.000	1     97.9976       0.000      1      97.9976     0.000     1
694	74	762	3:3:3:	3:3:3:	3:3:3:	N[4a]-3:N[4a]-3:C[6a]-3:	B[4a]-3:P[4a]-3:C[6a]-3:	B[4a]-3:C[6a]-3:C[6a]-3:	B[4a](N[4a]C[6a]P[4a])2(C[6a]C[6a]2)	N[4a](B[4a]C[6a]N[4a])(P[4a]N[4a]Cl)(C[6a]C[6a]2)	C[6a](B[4a]N[4a]2)(C[6a]C[6a]H)2	B[4a](N[4a]C[6a]P[4a])2(C[6a]C[6a]2){1|Cl<1>,2|H<1>,6|C<3>}	N[4a](B[4a]C[6a]N[4a])(P[4a]N[4a]Cl)(C[6a]C[6a]2){2|C<4>,5|C<3>}	C[6a](B[4a]N[4a]2)(C[6a]C[6a]H)2{1|P<3>,2|H<1>,3|C<3>}	130.9210	1.140	2	130.9210	1.140	2     130.9210       1.140      2      130.9210     1.140     2
706	262	486	4:3:	4:2:1:	4:3:2:4:	C[3]-4:S[3]-3:	C[3]-4:S[3]-2:O-1:	C[3x6]-4:S[3]-3:S[3]-2:C-4:	S[3](C[3]C[3x6]S[3]C)(S[3]C[3]O)	S[3](C[3]C[3x6]S[3]C)(S[3]C[3])(O)	C[3](C[3x6]C[6,6]3)(S[3]S[3]O)(S[3]S[3])(CC3)	S[3](C[3]C[3x6]S[3]C)(S[3]C[3]O){3|C<4>}	S[3](C[3]C[3x6]S[3]C)(S[3]C[3])(O){3|C<4>}	C[3](C[3x6]C[6,6]3)(S[3]S[3]O)(S[3]S[3])(CC3){3|C<4>,6|H<1>}	55.8987	0.000	1	55.8987	0.000	1     55.8987       0.000      1      55.8987     0.000     1
