930	940	945	0:SP2_SP-NON_SP3	C	P	P	3:2:4:	3:3:	3:3:3:	P-3:P-2:Si-4:	C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:	C(PC[6a]2)(PC[6a])(SiC3)	P(C[6a]C[6a]2)(CSiP)	P(C[6a]C[6a]2)2(CSiP)	C(PC[6a]2)(PC[6a])(SiC3)	P(C[6a]C[6a]2)(CSiP)	P(C[6a]C[6a]2)2(CSiP)	116.1770	0.000	1	116.1770	0.000	1	116.1770	0.000	1	116.1770	0.000	1	121.4437	12.520	4	121.4437	12.520	4
930	940	951	0:SP2_SP-NON_SP-NON	C	P	H	2:4:1:	3:3:	3:	P-2:C-4:H-1:	C[6a]-3:C-3:	C-3:	C(PC[6a])(CCHH)(H)	P(C[6a]C[6a]2)(CCH)	H(CCP)	C(PC[6a])(CCHH)(H)	P(C[6a]C[6a]2)(CCH)	H(CCP)	120.3470	0.000	1	120.3470	0.000	1	120.8683	1.449	3	120.8683	1.449	3	118.3677	8.578	11	118.3677	8.578	11
930	940	951	0:SP2_SP-NON_SP-NON	C	P	H	2:4:1:	3:3:	3:	P-2:C-4:H-1:	C[6a]-3:C-3:	C-3:	C(PC[6a])(CHHP)(H)	P(C[6a]C[6a]2)(CCH)	H(CCP)	C(PC[6a])(CHHP)(H)	P(C[6a]C[6a]2)(CCH)	H(CCP)	121.1290	1.578	2	121.1290	2.491	2	120.8683	1.449	3	120.8683	1.449	3	118.3677	8.578	11	118.3677	8.578	11
930	940	951	0:SP2_SP-NON_SP-NON	C	P	H	3:2:1:	3:3:	3:	C[6a]-3:P-2:H-1:	C[6a]-3:C-3:	C-3:	C(C[6a]C[5a,6a]C[6a])(PC[6a])(H)	P(C[6a]C[6a]2)(CC[6a]H)	H(CC[6a]P)	C(C[6a]C[5a,6a]C[6a])(PC[6a])(H)	P(C[6a]C[6a]2)(CC[6a]H)	H(CC[6a]P)	115.7080	0.000	1	115.7080	0.000	1	116.9072	7.771	6	116.9072	7.771	6	118.3677	8.578	11	118.3677	8.578	11
930	940	951	0:SP2_SP-NON_SP-NON	C	P	H	3:2:1:	3:3:	3:	C[6a]-3:P-2:H-1:	C[6a]-3:C-3:	C-3:	C(C[6a]C[6a]2)(PC[6a])(H)	P(C[6a]C[6a]2)(CC[6a]H)	H(CC[6a]P)	C(C[6a]C[6a]2)(PC[6a])(H)	P(C[6a]C[6a]2)(CC[6a]H)	H(CC[6a]P)	117.1470	3.047	5	117.1470	9.282	5	116.9072	7.771	6	116.9072	7.771	6	118.3677	8.578	11	118.3677	8.578	11
930	940	951	0:SP2_SP-NON_SP-NON	C	P	H	4:2:1:	3:3:	3:	C[5]-4:P-2:H-1:	C[6a]-3:C-3:	C-3:	C(C[5]C[5]2Fe)(PC[6a])(H)	P(C[6a]C[6a]2)(CC[5]H)	H(CC[5]P)	C(C[5]C[5]2Fe)(PC[6a])(H)	P(C[6a]C[6a]2)(CC[5]H)	H(CC[5]P)	118.9985	3.416	2	118.9985	11.669	2	118.9985	11.669	2	118.9985	11.669	2	118.3677	8.578	11	118.3677	8.578	11
930	940	956	0:SP2_SP-NON_SP2	C	P	N	3:3:2:	3:3:	3:3:1:	C[6a]-3:N-3:P-2:	C[6a]-3:C-3:	C[6a]-3:C-3:H-1:	C(C[6a]C[6a]2)(NC[6a]H)(PC[6a])	P(C[6a]C[6a]2)(CC[6a]N)	N(C[6a]C[6a]2)(CC[6a]P)(H)	C(C[6a]C[6a]2)(NC[6a]H)(PC[6a])	P(C[6a]C[6a]2)(CC[6a]N)	N(C[6a]C[6a]2)(CC[6a]P)(H)	123.2570	0.185	2	123.2570	0.034	2	123.2570	0.034	2	123.2570	0.034	2	123.2570	0.034	2	123.2570	0.034	2
930	940	983	0:SP2_SP-NON_SP1	C	P	C	2:2:2:	3:3:	2:3:	P-2:C-2:C-2:	C[6a]-3:C-3:	C-2:C-3:	C(PC[6a])(CC)2	P(C[6a]C[6a]2)(CCC)	C(CC[6a])(CCP)	C(PC[6a])(CC)2	P(C[6a]C[6a]2)(CCC)	C(CC[6a])(CCP)	124.5600	0.000	1	124.5600	0.000	1	124.5600	0.000	1	124.5600	0.000	1	121.6357	14.522	3	121.6357	14.522	3
930	940	983	0:SP2_SP-NON_SP1	C	P	C	2:2:2:	3:3:	3:2:	P-2:C-2:C-2:	C[6a]-3:C-3:	C-3:C-2:	C(PC[6a])(CC)2	P(C[6a]C[6a]2)(CCC)	C(CCP)(CSi)	C(PC[6a])(CC)2	P(C[6a]C[6a]2)(CCC)	C(CCP)(CSi)	117.3260	0.000	1	117.3260	0.000	1	117.3260	0.000	1	117.3260	0.000	1	121.6357	14.522	3	121.6357	14.522	3
930	940	983	0:SP2_SP-NON_SP1	C	P	C	3:2:2:	3:3:	3:2:	C[6a]-3:P-2:C-2:	C[6a]-3:C-3:	C-3:C-2:	C(C[6a]C[6a]2)(PC[6a])(CC)	P(C[6a]C[6a]2)(CC[6a]C)	C(CC[6a]P)(CC)	C(C[6a]C[6a]2)(PC[6a])(CC)	P(C[6a]C[6a]2)(CC[6a]C)	C(CC[6a]P)(CC)	123.0210	0.000	1	123.0210	0.000	1	123.0210	0.000	1	123.0210	0.000	1	121.6357	14.522	3	121.6357	14.522	3
930	940	992	0:SP2_SP-NON_SP3	C	P	P	2:4:1:	3:3:	3:3:3:1:	P-2:P-4:Cl-1:	C[6a]-3:C-3:	C-3:N-3:N-3:S-1:	C(PC[6a])(PNNS)(Cl)	P(C[6a]C[6a]2)(CClP)	P(CClP)(NCC)2(S)	C(PC[6a])(PNNS)(Cl)	P(C[6a]C[6a]2)(CClP)	P(CClP)(NCC)2(S)	117.4540	0.284	2	117.4540	0.081	2	117.4540	0.081	2	117.4540	0.081	2	115.9442	10.132	6	115.9442	10.132	6
930	940	992	0:SP2_SP-NON_SP3	C	P	P	4:2:1:	3:3:	3:3:3:1:	P-4:P-2:Cl-1:	C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:S-1:	C(PC[6a]2S)(PC[6a])(Cl)	P(C[6a]C[6a]2)(CClP)	P(C[6a]C[6a]2)2(CClP)(S)	C(PC[6a]2S)(PC[6a])(Cl)	P(C[6a]C[6a]2)(CClP)	P(C[6a]C[6a]2)2(CClP)(S)	118.3945	0.906	2	118.3945	0.820	2	118.3945	0.820	2	118.3945	0.820	2	115.9442	10.132	6	115.9442	10.132	6
930	940	992	0:SP2_SP-NON_SP3	C	P	P	4:2:4:	3:3:	3:3:3:1:	P-4:P-2:Si-4:	C[6a]-3:C-3:	C[6a]-3:C[6a]-3:C-3:S-1:	C(PC[6a]2S)(PC[6a])(SiC3)	P(C[6a]C[6a]2)(CSiP)	P(C[6a]C[6a]2)2(CSiP)(S)	C(PC[6a]2S)(PC[6a])(SiC3)	P(C[6a]C[6a]2)(CSiP)	P(C[6a]C[6a]2)2(CSiP)(S)	111.9840	1.351	2	111.9840	1.824	2	111.9840	1.824	2	111.9840	1.824	2	115.9442	10.132	6	115.9442	10.132	6
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:1:	3:1:	N-2:N-2:N-1:	C-3:H-1:	C-3:H-1:	C(NH)2(N)	N(CNN)(H)	N(CNN)(H)	C(NH)2(N)	N(CNN)(H)	N(CNN)(H)	119.0125	0.291	2	119.0125	0.084	2	119.0125	0.084	2	119.0447	0.045	3	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:1:	3:1:	N-2:N-2:S-1:	C-3:H-1:	C-3:H-1:	C(NH)2(S)	N(CNS)(H)	N(CNS)(H)	C(NH)2(S)	N(CNS)(H)	N(CNS)(H)	119.1090	0.000	1	119.1090	0.000	1	119.1090	0.000	1	119.0447	0.045	3	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:1:	N-2:N-2:O-1:	C[6a]-3:C-3:	C-3:H-1:	C(NC[6a])(NH)(O)	N(C[6a]C[6a]2)(CNO)	N(CNO)(H)	C(NC[6a])(NH)(O)	N(C[6a]C[6a]2)(CNO)	N(CNO)(H)	115.5835	3.593	2	115.5835	12.908	2	115.5835	12.908	2	115.5835	12.908	2	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:2:	N-2:N-2:O-1:	C-3:N-3:	C-3:N-2:	C(NN)2(O)	N(CNO)(NOO)	N(CNO)(NN)	C(NN)2(O)	N(CNO)(NOO)	N(CNO)(NN)	105.4097	0.420	3	105.4097	0.176	3	105.4097	0.176	3	107.3792	15.635	4	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:2:	N-2:N-2:S-1:	C[6a]-3:C-3:	C-3:N-2:	C(NC[6a])(NN)(S)	N(C[6a]C[6a]2)(CNS)	N(CNS)(NC)	C(NC[6a])(NN)(S)	N(C[6a]C[6a]2)(CNS)	N(CNS)(NC)	113.2880	0.000	1	113.2880	0.000	1	113.2880	0.000	1	107.3792	15.635	4	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:3:	N-2:N-2:H-1:	C[6a]-3:C-3:	C[6a]-3:C-3:	C(NC[6a])2(H)	N(C[6a]C[6a]2)(CHN)	N(C[6a]C[6a]2)(CHN)	C(NC[6a])2(H)	N(C[6a]C[6a]2)(CHN)	N(C[6a]C[6a]2)(CHN)	128.9340	0.000	1	128.9340	0.000	1	128.9340	0.000	1	116.2310	25.476	9	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:3:	N-2:N-2:O-1:	C-3:C-3:	C-3:C-3:	C(NC)2(O)	N(CC[6a]H)(CNO)	N(CC[6a]H)(CNO)	C(NC)2(O)	N(CC[6a]H)(CNO)	N(CC[6a]H)(CNO)	116.3020	0.000	1	116.3020	0.000	1	116.3020	0.000	1	116.2310	25.476	9	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:3:	N-2:N-2:O-1:	C[6]-3:C-3:	C-3:C-3:	C(NC[6])(NC)(O)	N(C[6]C[6]2)(CNO)	N(CC[6]N)(CNO)	C(NC[6])(NC)(O)	N(C[6]C[6]2)(CNO)	N(CC[6]N)(CNO)	115.6460	0.000	1	115.6460	0.000	1	115.6460	0.000	1	116.2310	25.476	9	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:3:	N-2:N-2:O-1:	C[6a]-3:C-3:	C[6]-3:C-3:	C(NC[6a])(NC[6])(O)	N(C[6a]C[6a,6a]C[6a])(CNO)	N(C[6]C[6]2)(CNO)	C(NC[6a])(NC[6])(O)	N(C[6a]C[6a,6a]C[6a])(CNO)	N(C[6]C[6]2)(CNO)	112.5700	0.000	1	112.5700	0.000	1	113.3315	1.160	2	116.2310	25.476	9	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:3:	N-2:N-2:O-1:	C[6a]-3:C-3:	C[6]-3:C-3:	C(NC[6a])(NC[6])(O)	N(C[6a]C[6a]2)(CNO)	N(C[6]C[6]2)(CNO)	C(NC[6a])(NC[6])(O)	N(C[6a]C[6a]2)(CNO)	N(C[6]C[6]2)(CNO)	114.0930	0.000	1	114.0930	0.000	1	113.3315	1.160	2	116.2310	25.476	9	121.3134	37.486	242	121.3134	37.486	242
930	941	941	0:SP2_SP2_SP2	C	N	N	2:2:1:	3:3:	3:3:	N-2:N-2:O-1:	C[6a]-3:C-3:	C[6a]-3:C-3:	C(NC[6a])2(O)	N(C[6a]C[6,6a]C[6a])(CNO)	N(C[6a]C[6a]2)(CNO)	C(NC[6a])2(O)	N(C[6a]C[6,6a]C[6a])(CNO)	N(C[6a]C[6a]2)(CNO)	113.7815	2.852	2	113.7815	8.133	2	113.9497	4.151	3	116.2310	25.476	9	121.3134	37.486	242	121.3134	37.486	242
