973	968	968	3:3:	3:3:2:	3:3:2:	P[4]-3:P[4]-3:	N[4]-3:N[4]-3:O-2:	N[4]-3:N[4]-3:O-2:	O(P[4]N[4]2)2	P[4](N[4]P[4]C)2(OP[4])	P[4](N[4]P[4]C)2(OP[4])	O(P[4]N[4]2)2	P[4](N[4]P[4]C)2(OP[4]){1|H<1>,1|O<1>}	P[4](N[4]P[4]C)2(OP[4]){1|H<1>,1|O<1>}	130.9090	0.000	1	126.4793	2.551	6     126.4793       2.551      6      126.4793     2.551     6
973	968	968	3:3:	3:3:2:	3:3:2:	P[4]-3:P[4]-3:	N[4]-3:N[4]-3:O-2:	N[4]-3:N[4]-3:O-2:	O(P[4]N[4]2)2	P[4](N[4]P[4]C)2(OP[4])	P[4](N[4]P[4]C)2(OP[4])	O(P[4]N[4]2)2	P[4](N[4]P[4]C)2(OP[4]){1|N<3>}	P[4](N[4]P[4]C)2(OP[4]){1|N<3>}	128.0060	0.000	1	126.4793	2.551	6     126.4793       2.551      6      126.4793     2.551     6
973	968	968	3:3:	3:3:2:	3:3:2:	P[4]-3:P[4]-3:	N[4]-3:N[4]-3:O-2:	N[4]-3:N[4]-3:O-2:	O(P[4]N[4]2)2	P[4](N[4]P[4]C)2(OP[4])	P[4](N[4]P[4]C)2(OP[4])	O(P[4]N[4]2)2	P[4](N[4]P[4]C)2(OP[4]){1|O<2>}	P[4](N[4]P[4]C)2(OP[4]){1|O<2>}	124.9903	0.754	4	126.4793	2.551	6     126.4793       2.551      6      126.4793     2.551     6
973	968	991	3:4:	3:3:2:	2:4:1:1:	P[4]-3:S-4:	N[4]-3:N[4]-3:O-2:	O-2:C-4:O-1:O-1:	O(P[4]N[4]2)(SCOO)	P[4](N[4]C[6a]P[4])2(OS)	S(OP[4])(CF3)(O)2	O(P[4]N[4]2)(SCOO)	P[4](N[4]C[6a]P[4])2(OS){1|O<2>,4|C<3>}	S(OP[4])(CF3)(O)2	124.0067	0.918	3	124.0067	0.918	3     124.0067       0.918      3      124.0067     0.918     3
973	973	973	2:2:	2:2:	2:2:	O-2:O-2:	O-2:O-2:	O-2:O-2:	O(OO)2	O(OO)2	O(OO)2	O(OO)2	O(OO)2	O(OO)2	158.4220	0.000	1	158.4220	0.000	1     158.4220       0.000      1      158.4220     0.000     1
973	973	975	2:1:	2:1:	2:	O-2:C-1:	O-2:C-1:	O-2:	O(OC)(C)	O(OC)(C)	C(OO)	O(OC)(C)	O(OC)(C)	C(OO)	121.1710	0.000	1	121.1710	0.000	1     121.1710       0.000      1      121.1710     0.000     1
973	973	991	4:2:	4:2:	2:1:1:1:	S-4:O-2:	S-4:O-2:	O-2:O-1:O-1:O-1:	O(SO3)(OS)	O(SO3)(OS)	S(OO)(O)3	O(SO3)(OS)	O(SO3)(OS)	S(OO)(O)3	107.1336	1.478	5	107.1336	1.478	5     107.1336       1.478      5      107.1336     1.478     5
973	973	996	2:2:	2:2:	2:1:	C-2:O-2:	C-2:O-2:	O-2:C-1:	O(CC)(OC)	O(CC)(OC)	C(OO)(C)	O(CC)(OC)	O(CC)(OC)	C(OO)(C)	80.6872	0.000	1	80.6872	0.000	1     80.6872       0.000      1      80.6872     0.000     1
973	974	991	3:4:	4:4:2:	2:1:1:1:	N[6]-3:S-4:	C[6]-4:C[6]-4:O-2:	O-2:O-1:O-1:O-1:	O(N[6]C[6]2)(SO3)	N[6](C[6]C[6]CC)2(OS)	S(ON[6])(O)3	O(N[6]C[6]2)(SO3)	N[6](C[6]C[6]CC)2(OS){1|C<3>,4|H<1>}	S(ON[6])(O)3	116.3540	0.000	1	116.3540	0.000	1     116.3540       0.000      1      116.3540     0.000     1
973	975	975	1:1:	2:	2:	C-1:C-1:	O-2:	O-2:	O(C)2	C(OC)	C(OC)	O(C)2	C(OC)	C(OC)	128.4100	0.000	1	128.4100	0.000	1     128.4100       0.000      1      128.4100     0.000     1
