930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:N[6]-2:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO){1|Cd<8>,1|C<3>,1|H<1>}	117.1260	0.000	1	116.6794	0.301	5     116.6794       0.301      5      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:N[6]-2:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO){1|Cu<4>,1|C<3>,1|H<1>}	116.3500	0.000	1	116.6794	0.301	5     116.6794       0.301      5      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:N[6]-2:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO){1|Cu<6>,1|C<3>,1|H<1>}	116.5420	0.000	1	116.6794	0.301	5     116.6794       0.301      5      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:N[6]-2:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]N[6]H)(N[6]C[6])(CNO){1|Zn<4>,1|C<3>,1|H<1>}	116.6895	0.190	2	116.6794	0.301	5     116.6794       0.301      5      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[5,6a]-3:N[6a]-2:C-3:	C(C[6a]C[5,6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[5,6a]C[5,6a]2)(N[6a]N[6a])(CNO)	C(C[6a]C[5,6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[5,6a]C[5,6a]2)(N[6a]N[6a])(CNO){4|C<3>}	116.5478	0.548	4	116.5478	0.548	4     116.5478       0.548      4      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:N[6a]-2:C-3:	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CNO)	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CNO){1|Br<1>,1|C<3>,1|H<1>}	117.8500	0.000	1	116.6171	0.851	23     116.3853       0.760      49      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:N[6a]-2:C-3:	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CNO)	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CNO){1|C<3>,2|H<1>}	116.5610	0.826	22	116.6171	0.851	23     116.3853       0.760      49      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:N[6a]-2:C-3:	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]O)(N[6a]C[6a])(CNO)	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]C[6a]O)(N[6a]C[6a])(CNO){1|C<3>,2|H<1>}	115.4330	0.000	1	115.4330	0.000	1     116.3853       0.760      49      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:N[6a]-2:C-3:	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]N[6a]C)(N[6a]C[6a])(CNO)	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]N[6a]C)(N[6a]C[6a])(CNO){1|C<3>,1|H<1>}	115.0385	0.111	2	115.0385	0.111	2     116.3853       0.760      49      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	C[6a]-3:N[6a]-2:C-3:	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]N[6a]H)(N[6a]C[6a])(CNO)	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](C[6a]N[6a]H)(N[6a]C[6a])(CNO){1|C<3>,1|H<1>}	116.3121	0.518	23	116.3121	0.518	23     116.3853       0.760      49      116.4219     0.719     58
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:H-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(H)	N(CC[6]H)(H)2	C[6](C[6]O[6]O)2(CHN)	C(C[6]C[6]2)(NHH)(H)	N(CC[6]H)(H)2	C[6](C[6]O[6]O)2(CHN){1|C<4>}	128.3680	0.000	1	128.3680	0.000	1     128.3680       0.000      1      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|C<3>,1|C<4>,1|H<1>}	117.0184	0.558	13	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|C<3>,1|H<1>,1|H<2>}	117.3770	1.796	2	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|C<3>,2|H<1>}	117.7749	0.855	9	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cd<6>,1|C<3>,1|H<1>}	118.3100	0.472	2	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Co<6>,1|C<3>,1|H<1>}	117.8275	0.424	12	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
930	670	762	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<4>,1|C<3>,1|H<1>}	116.9570	0.000	1	117.5854	0.736	75     117.5272       0.772      128      117.7483     1.151     430
