965	6	973	4:2:	4:4:4:2:	2:3:	N[5,6]-4:O-2:	C[5,6,6]-4:C[5]-4:C[6]-4:H-2:	H-2:C-3:	H(N[5,6]C[5,6,6]C[5]C[6])(OC)	N[5,6](C[5,6,6]C[5,5,6]C[6,6]H)(C[5]C[5]HH)(C[6]C[6]HH)(HO)	O(HN[5,6])(CCO)	H(N[5,6]C[5,6,6]C[5]C[6])(OC)	N[5,6](C[5,6,6]C[5,5,6]C[6,6]H)(C[5]C[5]HH)(C[6]C[6]HH)(HO){2|C<3>,2|C<4>,4|H<1>}	O(HN[5,6])(CCO)	173.3000	0.000	1	173.3000	0.000	1     173.3000       0.000      1      173.3000     0.000     1
965	6	973	4:2:	4:4:4:2:	3:2:	N[5,6]-4:O-2:	C[5,6,6]-4:C[5]-4:C[6]-4:H-2:	C-3:H-2:	H(N[5,6]C[5,6,6]C[5]C[6])(OC)	N[5,6](C[5,6,6]C[5,5,6]C[6,6]H)(C[5]C[5]HH)(C[6]C[6]HH)(HO)	O(CC[6a]O)(HN[5,6])	H(N[5,6]C[5,6,6]C[5]C[6])(OC)	N[5,6](C[5,6,6]C[5,5,6]C[6,6]H)(C[5]C[5]HH)(C[6]C[6]HH)(HO){2|C<3>,2|C<4>,4|H<1>}	O(CC[6a]O)(HN[5,6])	177.4440	0.000	1	177.4440	0.000	1     177.4440       0.000      1      175.6235     2.575     2
965	6	973	4:2:	4:4:4:2:	3:2:	N[5]-4:O-2:	C[5]-4:C[5]-4:C-4:H-2:	C-3:H-2:	H(N[5]C[5]2C)(OC)	N[5](C[5]C[5a]C[5]H)(C[5]C[5]HH)(CCHH)(HO)	O(CC[5]O)(HN[5])	H(N[5]C[5]2C)(OC)	N[5](C[5]C[5a]C[5]H)(C[5]C[5]HH)(CCHH)(HO){1|C<4>,2|C<3>,3|H<1>}	O(CC[5]O)(HN[5])	173.8030	0.000	1	173.8030	0.000	1     173.8030       0.000      1      175.6235     2.575     2
965	130	973	4:2:	2:2:1:1:	2:2:	O-4:O-2:	H-2:H-2:H-1:H-1:	H-2:H-2:	H(OH3)(OH)	O(HO)2(H)2	O(HO)2	H(OH3)(OH)	O(HO)2(H)2	O(HO)2	147.0910	0.000	1	147.0910	0.000	1     147.0910       0.000      1      147.0910     0.000     1
965	310	410	3:4:	4:2:2:1:	3:2:2:	O-3:N-4:	C-4:H-2:H-2:H-1:	C[6a]-3:H-2:H-2:	H(OC[6a]H)(NCHH)	N(CCHH)(HO)2(H)	O(C[6a]C[6a]2)(HN)2	H(OC[6a]H)(NCHH)	N(CCHH)(HO)2(H)	O(C[6a]C[6a]2)(HN)2	161.3787	4.584	3	161.3787	4.584	3     161.3787       4.584      3      161.3787     4.584     3
965	310	410	4:3:	4:2:1:1:	2:1:1:	N-4:O-3:	C-4:H-2:H-1:H-1:	H-2:H-1:H-1:	H(NCHH)(OHH)	N(CCCH)(HO)(H)2	O(HN)(H)2	H(NCHH)(OHH)	N(CCCH)(HO)(H)2	O(HN)(H)2	169.5550	0.000	1	169.5550	0.000	1     169.5550       0.000      1      169.5550     0.000     1
965	310	410	4:3:	4:4:2:1:	2:1:1:	N-4:O-3:	C-4:C-4:H-2:H-1:	H-2:H-1:H-1:	H(NCCH)(OHH)	N(CCHH)2(HO)(H)	O(HN)(H)2	H(NCCH)(OHH)	N(CCHH)2(HO)(H)	O(HN)(H)2	162.3760	0.000	1	162.3760	0.000	1     162.3760       0.000      1      162.3760     0.000     1
965	310	410	4:3:	4:4:4:2:	2:1:1:	N-4:O-3:	C-4:C-4:C-4:H-2:	H-2:H-1:H-1:	H(NC3)(OHH)	N(CCCH)(CH3)2(HO)	O(HN)(H)2	H(NC3)(OHH)	N(CCCH)(CH3)2(HO)	O(HN)(H)2	172.3690	0.000	1	172.3690	0.000	1     172.3690       0.000      1      172.3690     0.000     1
965	310	973	2:4:	4:2:1:1:	3:2:	O-2:N-4:	C-4:H-2:H-1:H-1:	C[6a]-3:H-2:	H(OC[6a])(NCHH)	N(CCHH)(HO)(H)2	O(C[6a]C[6a]2)(HN)	H(OC[6a])(NCHH)	N(CCHH)(HO)(H)2	O(C[6a]C[6a]2)(HN)	167.3185	1.114	2	167.3185	1.114	2     167.3185       1.114      2      167.3185     1.114     2
965	310	973	2:4:	4:4:2:1:	3:2:	O-2:N-4:	C-4:C-4:H-2:H-1:	C[6]-3:H-2:	H(OC[6])(NCCH)	N(CCHH)2(HO)(H)	O(C[6]C[6,6a]O[6])(HN)	H(OC[6])(NCCH)	N(CCHH)2(HO)(H)	O(C[6]C[6,6a]O[6])(HN)	171.2940	0.000	1	171.2940	0.000	1     171.2940       0.000      1      169.1710     3.002     2
965	310	973	2:4:	4:4:2:1:	3:2:	O-2:N-4:	C-4:C-4:H-2:H-1:	C[6a]-3:H-2:	H(OC[6a])(NCCH)	N(CCHH)2(HO)(H)	O(C[6a]C[6a]2)(HN)	H(OC[6a])(NCCH)	N(CCHH)2(HO)(H)	O(C[6a]C[6a]2)(HN)	167.0480	0.000	1	167.0480	0.000	1     167.0480       0.000      1      169.1710     3.002     2
965	310	973	4:2:	4:4:2:1:	3:2:	N-4:O-2:	C-4:C-4:H-2:H-1:	C-3:H-2:	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	O(CCO)(HN)	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	O(CCO)(HN)	168.3260	0.000	1	168.3260	0.000	1     167.1095       2.271      4      167.1095     2.271     4
965	310	973	4:2:	4:4:2:1:	3:2:	N-4:O-2:	C-4:C-4:H-2:H-1:	C-3:H-2:	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	O(CC[4]O)(HN)	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	O(CC[4]O)(HN)	164.0600	0.000	1	164.0600	0.000	1     167.1095       2.271      4      167.1095     2.271     4
965	310	973	4:2:	4:4:2:1:	3:2:	N-4:O-2:	C-4:C-4:H-2:H-1:	C-3:H-2:	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	O(CC[6a]O)(HN)	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	O(CC[6a]O)(HN)	168.0260	1.737	2	168.0260	1.737	2     167.1095       2.271      4      167.1095     2.271     4
965	310	973	4:2:	4:4:2:1:	4:2:	N-4:O-2:	C-4:C-4:H-2:H-1:	P-4:H-2:	H(NCCH)(OP)	N(CCHH)2(HO)(H)	O(PO3)(HN)	H(NCCH)(OP)	N(CCHH)2(HO)(H)	O(PO3)(HN)	177.8510	0.000	1	177.8510	0.000	1     177.8510       0.000      1      177.8510     0.000     1
