466	490	670	4:3:4:3:	4:1:1:1:	4:4:1:	C[6]-4:C[6]-3:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:S-4:H-1:	C[6](C[6]C[6]HH)(C[6]C[6]H)(CH3)(NHS)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(SC[6a]OO)(H)	C[6](C[6]C[6]HH)(C[6]C[6]H)(CH3)(NHS){2|C<4>,2|H<1>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(SC[6a]OO)(H)	105.5630	0.000	1	104.8285	1.039	2     104.8285       1.039      2      104.8285     1.039     2
466	490	670	4:3:4:3:	4:1:1:1:	4:4:3:	C[6]-4:C[6]-3:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:C-4:C-3:	C[6](C[6]N[6]HH)(C[6]C[6]N)(CH3)(NCC)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(CH3)(COO)	C[6](C[6]N[6]HH)(C[6]C[6]N)(CH3)(NCC){1|C<3>,1|C<4>,2|H<1>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(CH3)(COO)	110.1430	0.000	1	110.1430	0.000	1     110.1430       0.000      1      110.1430     0.000     1
466	490	670	4:3:4:3:	4:3:1:1:	4:3:1:	C[6]-4:C[6]-3:C-4:N-3:	C[6]-4:C-3:H-1:H-1:	C[6]-4:S-3:H-1:	C[6](C[6]C[6]HH)(C[6]C[6]H)(CCHH)(NHS)	C(C[6]C[6]2N)(CCH)(H)2	N(C[6]C[6]2C)(SCO)(H)	C[6](C[6]C[6]HH)(C[6]C[6]H)(CCHH)(NHS){1|C<4>,3|H<1>}	C(C[6]C[6]2N)(CCH)(H)2	N(C[6]C[6]2C)(SCO)(H)	112.8620	0.000	1	112.8620	0.000	1     112.8620       0.000      1      112.8620     0.000     1
466	490	670	4:3:4:3:	4:4:1:1:	4:3:1:	C[6]-4:C[6]-3:C-4:N-3:	C[6]-4:C-4:H-1:H-1:	C[6]-4:C-3:H-1:	C[6](C[6]C[6]CH)(C[6]N[6]O)(CCHH)(NCH)	C(C[6]C[6]2N)(CCCH)(H)2	N(C[6]C[6]2C)(CC[6a]O)(H)	C[6](C[6]C[6]CH)(C[6]N[6]O)(CCHH)(NCH){1|C<4>,1|N<3>,2|H<1>}	C(C[6]C[6]2N)(CCCH)(H)2	N(C[6]C[6]2C)(CC[6a]O)(H)	109.0470	0.000	1	109.0470	0.000	1     109.0470       0.000      1      109.0470     0.000     1
466	490	670	4:4:4:3:	4:1:1:1:	4:1:1:	C[6]-4:C[6]-4:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:O-1:O-1:	C[6](C[6]C[6,6a]HS)(C[6]O[6]CH)(CH3)(NOO)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	C[6](C[6]C[6,6a]HS)(C[6]O[6]CH)(CH3)(NOO){2|C<3>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	109.2500	0.000	1	109.2500	0.000	1     107.7202       1.848      4      107.7202     1.848     4
466	490	670	4:4:4:3:	4:1:1:1:	4:1:1:	C[6]-4:C[6]-4:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:O-1:O-1:	C[6](C[6]C[6,6a]N[5a]H)(C[6]O[6]CH)(CH3)(NOO)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	C[6](C[6]C[6,6a]N[5a]H)(C[6]O[6]CH)(CH3)(NOO){1|N<2>,3|C<3>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	109.3340	0.000	1	109.3340	0.000	1     107.7202       1.848      4      107.7202     1.848     4
466	490	670	4:4:4:3:	4:1:1:1:	4:1:1:	C[6]-4:C[6]-4:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:O-1:O-1:	C[6](C[6]C[6]CH)(C[6]C[6]HH)(CH3)(NOO)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	C[6](C[6]C[6]CH)(C[6]C[6]HH)(CH3)(NOO){1|C<2>,1|C<3>,1|N<3>,2|H<1>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	106.5700	0.000	1	106.5700	0.000	1     107.7202       1.848      4      107.7202     1.848     4
466	490	670	4:4:4:3:	4:1:1:1:	4:1:1:	C[6]-4:C[6]-4:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:O-1:O-1:	C[6](C[6]C[6a]C[6]H)(C[6]C[6]CH)(CH3)(NOO)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	C[6](C[6]C[6a]C[6]H)(C[6]C[6]CH)(CH3)(NOO){1|C<4>,1|N<3>,2|C<3>,3|H<1>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(O)2	105.7270	0.000	1	105.7270	0.000	1     107.7202       1.848      4      107.7202     1.848     4
466	490	670	4:4:4:3:	4:1:1:1:	4:3:1:	C[5,6,6]-4:C[6]-4:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:C-3:H-1:	C[6](C[5,6,6]C[5,5,6,6]C[5,6]H)(C[6]C[6]HH)(CH3)(NCH)	C(C[6]C[5,6,6]C[6]N)(H)3	N(C[6]C[5,6,6]C[6]C)(CHO)(H)	C[6](C[5,6,6]C[5,5,6,6]C[5,6]H)(C[6]C[6]HH)(CH3)(NCH){4|C<4>,4|H<1>}	C(C[6]C[5,6,6]C[6]N)(H)3	N(C[6]C[5,6,6]C[6]C)(CHO)(H)	107.6120	0.000	1	107.6120	0.000	1     107.6120       0.000      1      108.4370     1.419     8
466	490	670	4:4:4:3:	4:1:1:1:	4:3:1:	C[6]-4:C[6]-4:C-4:N-3:	C[6]-4:H-1:H-1:H-1:	C[6]-4:C-3:H-1:	C[6](C[6]C[6,6]HH)2(CH3)(NCH)	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(CHO)(H)	C[6](C[6]C[6,6]HH)2(CH3)(NCH){5|C<4>}	C(C[6]C[6]2N)(H)3	N(C[6]C[6]2C)(CHO)(H)	106.8005	0.936	2	106.8005	0.936	2     108.5549       1.490      7      108.4370     1.419     8
