478	478	762	3:3:4:1:	4:3:4:1:	4:3:3:	N[4]-3:C[6a]-3:C[4]-4:H-1:	C[4]-4:C[4]-3:C-4:H-1:	C[4]-4:C[6a]-3:C[6a]-3:	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H)	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(CCHH)(H)	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H){1|O<1>,2|H<1>,4|C<3>}	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(CCHH)(H){3|C<3>}	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{1|C<4>,3|C<3>,3|H<1>}	117.2580	0.000	1	117.2580	0.000	1     117.9285       0.948      2      117.9285     0.948     2
478	478	762	3:3:4:1:	4:3:4:1:	4:3:3:	N[4]-3:C[6a]-3:C[4]-4:H-1:	C[4]-4:C[4]-3:C-4:H-1:	C[4]-4:C[6a]-3:C[6a]-3:	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H)	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(CN[5]HH)(H)	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H){1|O<1>,2|H<1>,4|C<3>}	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(CN[5]HH)(H){3|C<3>}	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{1|C<4>,3|C<3>,3|H<1>}	118.5990	0.000	1	118.5990	0.000	1     117.9285       0.948      2      117.9285     0.948     2
478	478	762	3:3:4:1:	4:3:4:4:	4:3:3:	N[4]-3:C[6a]-3:C[4]-4:H-1:	C[4]-4:C[4]-3:C-4:C-4:	C[4]-4:C[6a]-3:C[6a]-3:	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CC)(H)	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(CH3)2	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CC)(H){1|O<1>,2|H<1>,4|C<3>}	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(CH3)2{3|C<3>}	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{2|C<4>,2|H<1>,3|C<3>}	118.1520	0.000	1	118.1520	0.000	1     118.1520       0.000      1      118.1520     0.000     1
478	478	762	3:3:4:1:	4:4:4:1:	4:3:3:	N[4]-3:C[6a]-3:C[4]-4:H-1:	C[4]-4:C[4]-4:C-4:H-1:	C[4]-4:C[6a]-3:C[6a]-3:	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H)	C[4](C[4]C[6a]N[4]H)(C[4]N[4]HH)(CCHH)(H)	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2	C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H){4|C<3>,4|H<1>}	C[4](C[4]C[6a]N[4]H)(C[4]N[4]HH)(CCHH)(H){3|C<3>}	C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{2|C<3>,2|C<4>,3|H<1>}	119.8905	0.719	2	119.8905	0.719	2     119.8905       0.719      2      119.8905     0.719     2
478	478	762	3:3:4:2:	4:3:4:1:	4:3:3:	N[4,6]-3:C[6a]-3:C[4]-4:S[6]-2:	C[4,6]-4:C[4]-3:C-4:H-1:	C[4,6]-4:C[6a]-3:C[6a]-3:	C[4,6](N[4,6]C[4]C[6])(C[6a]C[6a]2)(C[4]C[4]CH)(S[6]C[6])	C[4](C[4,6]N[4,6]C[6a]S[6])(C[4]N[4,6]O)(CHHN)(H)	C[6a](C[4,6]N[4,6]C[4]S[6])(C[6a]C[6a]H)2	C[4,6](N[4,6]C[4]C[6])(C[6a]C[6a]2)(C[4]C[4]CH)(S[6]C[6]){1|C<4>,1|O<1>,2|C<3>,6|H<1>}	C[4](C[4,6]N[4,6]C[6a]S[6])(C[4]N[4,6]O)(CHHN)(H){2|C<3>,2|C<4>}	C[6a](C[4,6]N[4,6]C[4]S[6])(C[6a]C[6a]H)2{2|C<3>,3|C<4>,3|H<1>}	118.0820	0.000	1	118.0820	0.000	1     118.0820       0.000      1      118.0820     0.000     1
478	478	762	3:3:4:3:	4:3:3:1:	4:3:3:	C[6,6a]-3:C[6,6a]-3:C[4]-4:C[4]-3:	C[4,6]-4:C[6a]-3:N[4]-3:H-1:	C[4,6]-4:C[6,6a]-3:C[6a]-3:	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O)	C[4](C[4,6]C[6,6a]2C[4])(C[6a]C[6a,6a]2)(N[4]C[6a]C[4])(H)	C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H)	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O){1|O<2>,2|H<1>,7|C<3>}	C[4](C[4,6]C[6,6a]2C[4])(C[6a]C[6a,6a]2)(N[4]C[6a]C[4])(H){10|C<3>,1|O<1>}	C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H){1|N<3>,1|O<1>,3|H<1>,4|C<3>}	114.8733	3.188	14	114.8733	3.188	14     114.8733       3.188      14      114.9463     3.036     16
478	478	762	3:3:4:3:	4:3:3:1:	4:3:3:	C[6,6a]-3:C[6,6a]-3:C[4]-4:C[4]-3:	C[4,6]-4:N[4]-3:C[6a]-3:H-1:	C[4,6]-4:C[6,6a]-3:C[6a]-3:	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O)	C[4](C[4,6]C[6,6a]2C[4])(N[4]C[4]N[6])(C[6a]C[6a]2)(H)	C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H)	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O){1|N<3>,1|O<2>,2|H<1>,6|C<3>}	C[4](C[4,6]C[6,6a]2C[4])(N[4]C[4]N[6])(C[6a]C[6a]2)(H){1|H<1>,1|N<3>,1|O<1>,2|C<4>,6|C<3>}	C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H){1|N<3>,1|O<1>,3|H<1>,4|C<3>}	115.4570	2.356	2	115.4570	2.356	2     115.4570       2.356      2      114.9463     3.036     16
478	478	762	3:3:4:3:	4:4:1:1:	4:3:3:	C[6a]-3:C[6a]-3:C[4]-4:C[4]-3:	C[4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[6a]-3:C[6a]-3:	C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N)	C[4](C[4]C[6a]2C[4])(C[4]C[4]HH)(H)2	C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2	C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N){4|C<3>,6|H<1>}	C[4](C[4]C[6a]2C[4])(C[4]C[4]HH)(H)2{1|N<2>,4|C<3>}	C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2{1|C<4>,1|N<2>,3|C<3>,4|H<1>}	117.6890	0.000	1	114.8035	4.081	2     114.8035       4.081      2      114.8035     4.081     2
478	478	762	3:3:4:3:	4:4:1:1:	4:3:3:	C[6a]-3:C[6a]-3:C[4]-4:C[4]-3:	C[4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[6a]-3:C[6a]-3:	C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N)	C[4](C[4]C[6a]2C[4])(C[4]C[4]HH)(H)2	C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2	C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N){4|C<3>,6|H<1>}	C[4](C[4]C[6a]2C[4])(C[4]C[4]HH)(H)2{1|N<2>,4|C<3>}	C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2{1|Cl<1>,1|C<4>,1|N<2>,3|C<3>,3|H<1>}	111.9180	0.000	1	114.8035	4.081	2     114.8035       4.081      2      114.8035     4.081     2
478	478	762	3:3:4:4:	3:3:4:4:	4:3:3:	C[6,6a]-3:C[6,6a]-3:C[4,6]-4:C[4]-4:	C[6,6a]-3:C[6,6a]-3:C[4,6]-4:C[4]-4:	C[4,6]-4:C[6,6a]-3:C[6a]-3:	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4,6]C[6,6a]2C[4])(C[4]C[4]HH)	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4,6]C[6,6a]2C[4])(C[4]C[4]HH)	C[6,6a](C[4,6]C[6,6a]C[4,6]C[4])(C[6,6a]C[4,6]C[6a])(C[6a]C[6a]H)	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4,6]C[6,6a]2C[4])(C[4]C[4]HH){1|C<4>,4|H<1>,8|C<3>}	C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4,6]C[6,6a]2C[4])(C[4]C[4]HH){1|C<4>,4|H<1>,8|C<3>}	C[6,6a](C[4,6]C[6,6a]C[4,6]C[4])(C[6,6a]C[4,6]C[6a])(C[6a]C[6a]H){3|C<4>,4|H<1>,5|C<3>}	112.7785	0.312	4	112.7785	0.312	4     112.7785       0.312      4      112.7785     0.312     4
