466	2	466	0:SP3_SP3_SP3	C[6]	B[5]	C[6]	4:4:3:1:	4:2:2:	4:4:3:2:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[5]-4:C[6]-4:C[6]-3:O-2:	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	C[6](C[5]C[5]O[5]H)(C[6]B[5]C[6]H)(C[6]C[6]O)(OH)	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,1|O<2>,3|H<1>,4|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,1|O<2>,2|H<1>,6|C<4>}	C[6](C[5]C[5]O[5]H)(C[6]B[5]C[6]H)(C[6]C[6]O)(OH){2|C<4>,3|O<2>,6|H<1>}	113.1840	0.000	1	113.1840	0.000	1	113.1840	0.000	1	113.1840	0.000	1	113.4737	2.828	4	113.4737	2.828	4
466	2	643	0:SP3_SP2_SP2	C[6]	B[5]	C[6,6a]	3:4:3:3:	4:2:2:	3:4:3:	C[6,6a]-3:C[6]-4:B[5]-3:B[5]-3:	C[6]-4:O[5]-2:O[5]-2:	C[6,6a]-3:C[6]-4:C[6a]-3:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2	C[6,6a](C[6,6a]C[6a]C[6])(C[6]B[5]2C[6])(C[6a]C[6a]H)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2{2|C<3>,3|H<1>,5|C<4>}	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2{2|C<3>,2|H<1>,2|O<2>,5|C<4>}	C[6,6a](C[6,6a]C[6a]C[6])(C[6]B[5]2C[6])(C[6a]C[6a]H){1|C<3>,1|C<4>,4|O<2>,6|H<1>}	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2
466	2	690	0:SP3_SP-NON_SP2	C[6]	B[5]	H	4:4:3:1:	4:2:2:	4:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	H(C[6]B[5]C[6]2)	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,2|H<1>,3|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,3|H<1>,6|C<4>}	H(C[6]B[5]C[6]2)	105.5093	2.090	4	105.5093	2.090	4	105.5093	2.090	4	105.5093	2.090	4	105.5093	2.090	4	105.5093	2.090	4
466	2	690	0:SP3_SP-NON_SP3	C[6]	B[5]	H	4:4:3:1:	4:2:2:	4:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	H(C[6]B[5]C[6]2)	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,1|O<2>,3|H<1>,4|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,1|O<2>,2|H<1>,6|C<4>}	H(C[6]B[5]C[6]2)	106.6460	0.000	1	106.6460	0.000	1	105.2315	2.000	2	105.2315	2.000	2	105.2315	2.000	2	105.2315	2.000	2
466	2	690	0:SP3_SP-NON_SP3	C[6]	B[5]	H	4:4:3:1:	4:2:2:	4:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	H(C[6]B[5]C[6]2)	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,2|H<1>,3|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,3|H<1>,6|C<4>}	H(C[6]B[5]C[6]2)	103.8170	0.000	1	103.8170	0.000	1	105.2315	2.000	2	105.2315	2.000	2	105.2315	2.000	2	105.2315	2.000	2
466	6	466	0:SP3_SP3_SP3	C[6,6]	N[5,5]	C[6,6]	4:4:4:1:	4:4:4:4:	4:4:1:1:	N[5,5]-4:C[6,6]-4:C[6,6]-4:H-1:	B[5,5]-4:C[6,6]-4:C[5]-4:C[5]-4:	C[6,6]-4:C[4,6,6]-4:H-1:H-1:	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H)	N[5,5](B[5,5]C[3]O[5]2)(C[6,6]C[6,6]2H)(C[5]C[5]HH)2	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(H)2	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H){2|C<3>,2|O<2>,3|C<4>,6|H<1>}	N[5,5](B[5,5]C[3]O[5]2)(C[6,6]C[6,6]2H)(C[5]C[5]HH)2{1|O<2>,2|O<1>,4|C<4>,4|H<1>}	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(H)2{1|B<4>,3|H<1>,6|C<4>}	110.4277	0.093	3	110.4277	0.093	3	110.4277	0.093	3	110.5095	0.180	4	111.1946	0.749	8	111.1714	1.154	16
466	6	466	0:SP3_SP3_SP3	C[6,6]	N[5,5]	C[6,6]	4:4:4:1:	4:4:4:4:	4:4:1:1:	N[5,5]-4:C[6,6]-4:C[6,6]-4:H-1:	C[6,6]-4:B[5,5]-4:C[5]-4:C[5]-4:	C[6,6]-4:C[4,6,6]-4:H-1:H-1:	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H)	N[5,5](C[6,6]C[6,6]2H)(B[5,5]O[5]2C)(C[5]C[5]HH)2	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(H)2	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H){2|C<4>,2|O<2>,3|C<3>,6|H<1>}	N[5,5](C[6,6]C[6,6]2H)(B[5,5]O[5]2C)(C[5]C[5]HH)2{2|O<1>,3|C<4>,3|H<1>}	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(H)2{1|B<4>,3|H<1>,6|C<4>}	110.7550	0.000	1	110.7550	0.000	1	110.7550	0.000	1	110.5095	0.180	4	111.1946	0.749	8	111.1714	1.154	16
466	6	466	0:SP3_SP3_SP3	C[6,6]	N[5,5]	C[6,6]	4:4:4:1:	4:4:4:4:	4:4:4:1:	N[5,5]-4:C[6,6]-4:C[6,6]-4:H-1:	B[5,5]-4:C[6,6]-4:C[5]-4:C[5]-4:	C[6,6]-4:C[4,6,6]-4:C-4:H-1:	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H)	N[5,5](B[5,5]C[3]O[5]2)(C[6,6]C[6,6]2H)(C[5]C[5]HH)2	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(CH3)(H)	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H){2|C<3>,2|O<2>,3|C<4>,6|H<1>}	N[5,5](B[5,5]C[3]O[5]2)(C[6,6]C[6,6]2H)(C[5]C[5]HH)2{1|O<2>,2|O<1>,4|C<4>,4|H<1>}	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(CH3)(H){1|B<4>,4|H<1>,5|C<4>}	111.8053	0.061	3	111.8053	0.061	3	111.8053	0.061	3	111.8798	0.157	4	111.1946	0.749	8	111.1714	1.154	16
466	6	466	0:SP3_SP3_SP3	C[6,6]	N[5,5]	C[6,6]	4:4:4:1:	4:4:4:4:	4:4:4:1:	N[5,5]-4:C[6,6]-4:C[6,6]-4:H-1:	C[6,6]-4:B[5,5]-4:C[5]-4:C[5]-4:	C[6,6]-4:C[4,6,6]-4:C-4:H-1:	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H)	N[5,5](C[6,6]C[6,6]2H)(B[5,5]O[5]2C)(C[5]C[5]HH)2	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(CH3)(H)	C[6,6](N[5,5]B[5,5]C[5]2)(C[6,6]C[4,6,6]CH)(C[6,6]C[4,6,6]HH)(H){2|C<4>,2|O<2>,3|C<3>,6|H<1>}	N[5,5](C[6,6]C[6,6]2H)(B[5,5]O[5]2C)(C[5]C[5]HH)2{2|O<1>,3|C<4>,3|H<1>}	C[6,6](C[6,6]C[6,6]N[5,5]H)(C[4,6,6]C[4,6]2H)(CH3)(H){1|B<4>,4|H<1>,5|C<4>}	112.1030	0.000	1	112.1030	0.000	1	112.1030	0.000	1	111.8798	0.157	4	111.1946	0.749	8	111.1714	1.154	16
466	6	466	0:SP3_SP3_SP3	C[6,6]	N[5]	C[3x6]	4:4:4:1:	4:4:4:1:	4:4:3:1:	C[3x6]-4:C[6,6]-4:N[5]-4:H-1:	C[6,6]-4:C[5]-4:C[5]-4:H-1:	C[6,6]-4:C[6,6]-4:C[6,6]-3:H-1:	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]CH)(N[5]C[5]2H)(H)	N[5](C[6,6]C[3x6]C[6,6]H)(C[5]C[5]CH)(C[5]C[5]HH)(H)	C[3x6](C[6,6]C[6,6]N[5]H)(C[6,6]C[6,6]HH)(C[6,6]C[6,6]O)(H)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]CH)(N[5]C[5]2H)(H){1|C<3>,1|O<1>,4|C<4>,6|H<1>}	N[5](C[6,6]C[3x6]C[6,6]H)(C[5]C[5]CH)(C[5]C[5]HH)(H){1|C<3>,3|C<4>,6|H<1>}	C[3x6](C[6,6]C[6,6]N[5]H)(C[6,6]C[6,6]HH)(C[6,6]C[6,6]O)(H){4|C<4>,6|H<1>}	111.3290	0.000	1	111.3290	0.000	1	111.3290	0.000	1	111.3290	0.000	1	111.3290	0.000	1	111.1714	1.154	16
