486	466	762	4:3:4:2:	4:4:3:1:	4:4:1:	C[3x6]-4:C[6,6]-3:C[3]-4:O[3]-2:	C[3,6,6]-4:C[3x6]-4:C[6,6]-3:H-1:	C[3,6,6]-4:C[3x6]-4:O-1:	C[3,6,6](C[3x6]C[3x6]C[6,6]H)(C[6,6]C[3x6]O)(C[3]O[3]HH)(O[3]C[3])	C[3x6](C[3,6,6]C[6,6]C[3]O[3])(C[3x6]C[3,6]C[3x6]H)(C[6,6]C[6,6]H)(H)	C[6,6](C[3,6,6]C[3x6]C[3]O[3])(C[3x6]C[3x6]C[6,6]C)(O)	C[3,6,6](C[3x6]C[3x6]C[6,6]H)(C[6,6]C[3x6]O)(C[3]O[3]HH)(O[3]C[3]){1|C<3>,2|H<1>,3|C<4>}	C[3x6](C[3,6,6]C[6,6]C[3]O[3])(C[3x6]C[3,6]C[3x6]H)(C[6,6]C[6,6]H)(H){1|O<1>,1|O<2>,2|C<3>,2|C<4>,4|H<1>}	C[6,6](C[3,6,6]C[3x6]C[3]O[3])(C[3x6]C[3x6]C[6,6]C)(O){1|C<4>,2|C<3>,5|H<1>}	111.0460	0.000	1	111.0460	0.000	1     111.0460       0.000      1      111.2165     0.241     2
486	466	762	4:3:4:2:	4:4:3:1:	4:4:1:	C[3x6]-4:C[6,6]-3:C[3]-4:O[3]-2:	C[3,6,6]-4:C[6,6]-4:C[6,6]-3:H-1:	C[3,6,6]-4:C[4x6]-4:O-1:	C[3,6,6](C[3x6]C[6,6]2H)(C[6,6]C[4x6]O)(C[3]O[3]HH)(O[3]C[3])	C[3x6](C[3,6,6]C[6,6]C[3]O[3])(C[6,6]C[3x6]HH)(C[6,6]C[6,6]H)(H)	C[6,6](C[3,6,6]C[3x6]C[3]O[3])(C[4x6]C[3x6]C[6,6]C[6])(O)	C[3,6,6](C[3x6]C[6,6]2H)(C[6,6]C[4x6]O)(C[3]O[3]HH)(O[3]C[3]){1|C<3>,2|C<4>,3|H<1>}	C[3x6](C[3,6,6]C[6,6]C[3]O[3])(C[6,6]C[3x6]HH)(C[6,6]C[6,6]H)(H){1|O<1>,2|C<4>,4|H<1>}	C[6,6](C[3,6,6]C[3x6]C[3]O[3])(C[4x6]C[3x6]C[6,6]C[6])(O){1|C<3>,3|C<4>,7|H<1>}	111.3870	0.000	1	111.3870	0.000	1     111.3870       0.000      1      111.2165     0.241     2
486	466	762	4:3:4:4:	4:4:1:1:	3:4:1:	C[3]-4:C[6]-3:C[3]-4:C[6]-4:	C[3,6]-4:C[6]-4:H-1:H-1:	C[6,6a]-3:C[3,6]-4:O-1:	C[3,6](C[3]C[6a]C[3]H)(C[6]C[6,6a]O)(C[3]C[3]Br2)(C[6]C[6]HH)	C[6](C[3,6]C[3]2C[6])(C[6]C[6,6a]HH)(H)2	C[6](C[6,6a]C[6,6a]C[6a])(C[3,6]C[3]2C[6])(O)	C[3,6](C[3]C[6a]C[3]H)(C[6]C[6,6a]O)(C[3]C[3]Br2)(C[6]C[6]HH){2|H<1>,4|C<3>}	C[6](C[3,6]C[3]2C[6])(C[6]C[6,6a]HH)(H)2{2|Br<1>,1|H<1>,1|O<1>,3|C<3>}	C[6](C[6,6a]C[6,6a]C[6a])(C[3,6]C[3]2C[6])(O){2|Br<1>,1|C<4>,3|C<3>,4|H<1>}	112.0260	0.000	1	112.0260	0.000	1     112.0260       0.000      1      112.0260     0.000     1
486	466	762	4:3:4:4:	4:4:2:1:	4:4:3:	C[3,6,6]-4:C[6,6]-3:C[3]-4:C[6]-4:	C[3,6,6]-4:C[6]-4:O-2:H-1:	C[3,6,6]-4:C[5,6]-4:C[6]-3:	C[3,6,6](C[3,6,6]C[6,6]C[3]C[6])(C[6,6]C[5,6]C[6])(C[3]C[3,6,6]HH)(C[6]C[6]HO)	C[6](C[3,6,6]C[3,6,6]C[6,6]C[3])(C[6]C[5,6]HH)(OH)(H)	C[6,6](C[3,6,6]C[3,6,6]C[3]C[6])(C[5,6]C[5,6]C[5]C)(C[6]C[6]H)	C[3,6,6](C[3,6,6]C[6,6]C[3]C[6])(C[6,6]C[5,6]C[6])(C[3]C[3,6,6]HH)(C[6]C[6]HO){6|C<4>,6|H<1>}	C[6](C[3,6,6]C[3,6,6]C[6,6]C[3])(C[6]C[5,6]HH)(OH)(H){1|C<3>,2|H<1>,5|C<4>}	C[6,6](C[3,6,6]C[3,6,6]C[3]C[6])(C[5,6]C[5,6]C[5]C)(C[6]C[6]H){1|C<3>,1|O<2>,5|C<4>,7|H<1>}	116.6780	0.000	1	116.6780	0.000	1     116.6780       0.000      1      116.6780     0.000     1
486	466	762	4:3:4:4:	4:4:4:1:	3:4:3:	C[3,6]-4:C[6a]-3:C[3]-4:C[6]-4:	C[3,6]-4:C[6]-4:C-4:H-1:	C[6a,6a]-3:C[3,6]-4:C[6a]-3:	C[3,6](C[3,6]C[6,6a]C[3]H)(C[6a]C[6a,6a]C[6a])(C[3]C[3,6]CH)(C[6]C[6]CH)	C[6](C[3,6]C[3,6]C[6a]C[3])(C[6]C[6,6a]HH)(CC[6a]HH)(H)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]H)	C[3,6](C[3,6]C[6,6a]C[3]H)(C[6a]C[6a,6a]C[6a])(C[3]C[3,6]CH)(C[6]C[6]CH){3|H<1>,5|C<3>}	C[6](C[3,6]C[3,6]C[6a]C[3])(C[6]C[6,6a]HH)(CC[6a]HH)(H){1|C<4>,2|H<1>,4|C<3>}	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]H){3|C<4>,4|C<3>,5|H<1>}	112.6540	0.000	1	112.6540	0.000	1     112.6540       0.000      1      112.6540     0.000     1
486	466	762	4:4:2:3:	4:3:2:1:	4:3:3:	C[3,6,6]-4:C[6]-4:O[3]-2:C[6a]-3:	C[3,6]-4:C[6,6a]-3:O-2:H-1:	C[3,6]-4:C[6a]-3:C[6a]-3:	C[3,6](C[3,6,6]N[6,6]C[6]O[3])(C[6]C[6,6a]HO)(O[3]C[3,6,6])(C[6a]C[6a]2)	C[6](C[3,6]C[3,6,6]C[6a]O[3])(C[6,6a]C[6,6a]C[6a])(OH)(H)	C[6a](C[3,6]C[3,6,6]C[6]O[3])(C[6a]C[6a]C)(C[6a]C[6a]H)	C[3,6](C[3,6,6]N[6,6]C[6]O[3])(C[6]C[6,6a]HO)(O[3]C[3,6,6])(C[6a]C[6a]2){1|C<4>,1|H<1>,1|N<3>,1|O<1>,5|C<3>}	C[6](C[3,6]C[3,6,6]C[6a]O[3])(C[6,6a]C[6,6a]C[6a])(OH)(H){1|H<1>,1|N<3>,5|C<3>}	C[6a](C[3,6]C[3,6,6]C[6]O[3])(C[6a]C[6a]C)(C[6a]C[6a]H){1|N<3>,1|O<2>,3|C<3>,3|H<1>}	116.1390	0.000	1	116.1390	0.000	1     117.0457       1.302      3      117.0457     1.302     3
486	466	762	4:4:2:3:	4:3:2:1:	4:3:3:	C[3,6,6]-4:C[6]-4:O[3]-2:C[6a]-3:	C[3,6]-4:C[6,6a]-3:O-2:H-1:	C[3,6]-4:C[6a]-3:C[6a]-3:	C[3,6](C[3,6,6]N[6,6]C[6]O[3])(C[6]C[6,6a]HO)(O[3]C[3,6,6])(C[6a]C[6a]2)	C[6](C[3,6]C[3,6,6]C[6a]O[3])(C[6,6a]C[6,6a]C[6a])(OH)(H)	C[6a](C[3,6]C[3,6,6]C[6]O[3])(C[6a]C[6a]H)2	C[3,6](C[3,6,6]N[6,6]C[6]O[3])(C[6]C[6,6a]HO)(O[3]C[3,6,6])(C[6a]C[6a]2){1|N<3>,1|O<1>,2|H<1>,5|C<3>}	C[6](C[3,6]C[3,6,6]C[6a]O[3])(C[6,6a]C[6,6a]C[6a])(OH)(H){1|H<1>,1|N<3>,5|C<3>}	C[6a](C[3,6]C[3,6,6]C[6]O[3])(C[6a]C[6a]H)2{1|N<3>,1|O<2>,3|C<3>,3|H<1>}	117.4990	1.468	2	117.4990	1.468	2     117.0457       1.302      3      117.0457     1.302     3
486	466	762	4:4:2:3:	4:4:4:4:	4:3:1:	C[3,6,6]-4:C[6,6]-4:O[3]-2:C[6]-3:	C[3,6,6]-4:C[6,6]-4:C[6]-4:C-4:	C[3,6,6]-4:C[6]-3:O-1:	C[3,6,6](C[3,6,6]C[6]2O[3])(C[6,6]C[6,6]C[6]C)(O[3]C[3,6,6])(C[6]C[6]O)	C[6,6](C[3,6,6]C[3,6,6]C[6]O[3])(C[6,6]C[6]2H)(C[6]C[6]HH)(CH3)	C[6](C[3,6,6]C[3,6,6]C[6,6]O[3])(C[6]C[6]O)(O)	C[3,6,6](C[3,6,6]C[6]2O[3])(C[6,6]C[6,6]C[6]C)(O[3]C[3,6,6])(C[6]C[6]O){1|C<3>,1|O<2>,2|O<1>,3|C<4>,3|H<1>}	C[6,6](C[3,6,6]C[3,6,6]C[6]O[3])(C[6,6]C[6]2H)(C[6]C[6]HH)(CH3){1|O<1>,3|C<3>,3|C<4>,4|H<1>}	C[6](C[3,6,6]C[3,6,6]C[6,6]O[3])(C[6]C[6]O)(O){2|C<3>,4|C<4>}	121.0590	0.000	1	121.0590	0.000	1     121.0590       0.000      1      121.0590     0.000     1
486	466	762	4:4:2:3:	4:4:4:4:	4:4:1:	C[3,6]-4:C[6,6]-4:O[3]-2:C[6]-3:	C[3,6,6]-4:C[6]-4:C[6]-4:C-4:	C[3,6,6]-4:C[6]-4:O-1:	C[3,6,6](C[3,6]C[6]O[3]C)(C[6,6]C[6]2C)(O[3]C[3,6])(C[6]C[6]O)	C[6,6](C[3,6,6]C[3,6]C[6]O[3])(C[6]C[6]HH)2(CH3)	C[6](C[3,6,6]C[3,6]C[6,6]O[3])(C[6]C[6]CH)(O)	C[3,6,6](C[3,6]C[6]O[3]C)(C[6,6]C[6]2C)(O[3]C[3,6])(C[6]C[6]O){1|C<3>,1|O<1>,2|C<4>,5|H<1>}	C[6,6](C[3,6,6]C[3,6]C[6]O[3])(C[6]C[6]HH)2(CH3){1|C<3>,1|O<1>,2|C<4>,4|H<1>}	C[6](C[3,6,6]C[3,6]C[6,6]O[3])(C[6]C[6]CH)(O){1|C<3>,2|H<1>,4|C<4>}	112.6840	0.000	1	112.6840	0.000	1     112.6840       0.000      1      112.6840     0.000     1
486	466	762	4:4:2:3:	4:4:4:4:	4:4:3:	C[3,6]-4:C[6,6]-4:O[3]-2:C[6]-3:	C[3,6,6]-4:C[6]-4:C[6]-4:C-4:	C[3,6,6]-4:C[6]-4:C-3:	C[3,6,6](C[3,6]C[6]O[3]H)(C[6,6]C[6]2C)(O[3]C[3,6])(C[6]C[6]C)	C[6,6](C[3,6,6]C[3,6]C[6]O[3])(C[6]C[5a]O[6]H)(C[6]C[6]HH)(CH3)	C[6](C[3,6,6]C[3,6]C[6,6]O[3])(C[6]C[6]2H)(CHH)	C[3,6,6](C[3,6]C[6]O[3]H)(C[6,6]C[6]2C)(O[3]C[3,6])(C[6]C[6]C){1|C<3>,1|O<1>,1|O<2>,2|C<4>,4|H<1>}	C[6,6](C[3,6,6]C[3,6]C[6]O[3])(C[6]C[5a]O[6]H)(C[6]C[6]HH)(CH3){1|C<4>,3|H<1>,4|C<3>}	C[6](C[3,6,6]C[3,6]C[6,6]O[3])(C[6]C[6]2H)(CHH){2|C<3>,3|H<1>,5|C<4>}	116.1180	0.000	1	116.1180	0.000	1     116.1180       0.000      1      116.1180     0.000     1
