82  542  542  0:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,6]  3:3:3:2:2:  3:5:3:  3:5:3:  N[5,6]-3:N[5,6]-3:N[5,6]-3:O[5]-2:O-2:  C[5,6,6a]-3:Ga[5,5]-5:C[6]-3:  C[5,6,6a]-3:Ga[5,5]-5:C[6]-3:  495_6_1  643_278_1  643_308_1  131.4766  51.402  2  131.4766  2642.122  2  131.4766  2642.122  2  131.4766  2642.122  2  156.3365  585.178  9  142.7376  790.448  19  
82  542  542  0:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,6]  3:3:3:3:2:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:S-2:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  495_17_1  643_1125_1  643_1125_1  166.3860  0.000  1  166.3860  0.000  1  166.3860  0.000  1  166.3860  0.000  1  156.3365  585.178  9  142.7376  790.448  19  
82  542  542  0:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5]  3:3:3:3:2:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:S-2:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_17_1  643_1125_1  646_7567_1  93.7877  0.573  2  93.7877  0.328  2  93.7877  0.328  2  93.7877  0.328  2  93.7877  0.328  2  142.7376  790.448  19  
82  542  542  0:SPD5_SP2_SP2  Ga[5,5]  N[5]  N[5]  3:3:2:2:2:  3:5:3:  3:5:3:  N[5]-3:N[5]-3:O[5]-2:O[5]-2:N-2:  C[5,6a]-3:Ga[5,5]-5:C[6a]-3:  C[5,6a]-3:Ga[5,5]-5:C[6a]-3:  495_22_1  646_2441_1  646_2441_1  135.0570  0.540  2  135.0570  0.292  2  135.0570  0.292  2  135.0570  0.292  2  131.3717  40.891  3  142.7376  790.448  19  
82  542  542  0:SPD5_SP2_SP2  Ga[5,5]  N[5]  N[5]  3:3:3:3:2:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:S-2:  Ga[5,5]-5:C[5]-3:C[6a]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_17_1  646_7567_1  646_7567_1  124.0010  0.000  1  124.0010  0.000  1  124.0010  0.000  1  124.0010  0.000  1  131.3717  40.891  3  142.7376  790.448  19  
82  542  542  5:SPD5_SP2_SP2  Ga[3x5]  N[5,5]  N[5,5]  3:3:2:2:1:  5:3:2:  5:3:2:  N[5,5]-3:N[5,5]-3:S[5]-2:S[5]-2:Cl-1:  Ga[3x5]-5:C[5]-3:N[5]-2:  Ga[3x5]-5:C[5]-3:N[5]-2:  479_3_1  636_456_1  636_456_1  76.0904  0.000  1  76.0904  0.000  1  76.0904  0.000  1  76.0904  0.000  1  76.0904  0.000  1  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[3x5]  N[5,6]  N[5,5]  3:3:3:2:2:  5:3:3:  5:3:2:  N[5,6]-3:N[5,5]-3:N[5]-3:S[5]-2:S[5]-2:  Ga[3x5]-5:C[5,6]-3:C[6]-3:  Ga[3x5]-5:C[5]-3:N[5]-2:  479_5_1  643_1108_1  636_457_1  76.9774  0.000  1  76.9774  0.000  1  76.9774  0.000  1  76.9774  0.000  1  76.9774  0.000  1  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,5]  N[5,5,6]  3:3:3:1:1:  5:3:3:  5:3:3:  N[5,5]-3:N[5,5]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6a]-3:C[5,5]-3:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  495_2_1  636_465_1  635_42_1  76.5769  0.158  4  76.5769  0.025  4  76.4117  0.087  6  76.4117  0.087  6  76.4117  0.087  6  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,5]  N[5,5,6]  3:3:3:1:1:  5:3:3:  5:3:3:  N[5,5]-3:N[5,5]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6a]-3:C[5,5]-3:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  495_2_2  636_466_1  635_42_2  76.0814  0.185  2  76.0814  0.034  2  76.4117  0.087  6  76.4117  0.087  6  76.4117  0.087  6  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5,5,6]  3:3:3:1:1:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  495_9_1  643_1115_1  635_44_1  77.5925  0.426  2  77.5925  0.182  2  77.5925  0.182  2  77.3956  0.063  6  77.3956  0.063  6  90.5043  818.422  32  
