762	762	874	0:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:3:	3:3:1:	3:3:3:2:	B[6]-4:C[6]-3:C[6]-3:	C[6]-3:C[6]-3:H-1:	N[5,6]-3:N[5,6]-3:C[6]-3:O-2:	C[6](B[6]N[5,6]2O)(C[6]C[6]H)2	C[6](C[6]B[6]C[6])(C[6]C[6]H)(H)	B[6](N[5,6]N[5,6]C[5])2(C[6]C[6]2)(OC)	C[6](B[6]N[5,6]2O)(C[6]C[6]H)2{2|H<1>,2|N<3>,3|C<3>}	C[6](C[6]B[6]C[6])(C[6]C[6]H)(H){1|Si<4>,1|C<3>,1|H<1>,1|O<2>,2|N<3>}	B[6](N[5,6]N[5,6]C[5])2(C[6]C[6]2)(OC){1|B<4>,4|H<1>,6|C<3>}	121.9582	2.078	4	121.9582	2.078	4	121.9582	2.078	4	121.9582	2.078	4	122.0738	1.676	12	122.0811	1.544	14
762	762	874	6:SP2_SP2_SP3	C[6,6]	C[6,6]	B[3x6]	4:3:1:	4:3:1:	3:3:3:3:	B[3x6]-4:C[6,6]-3:H-1:	C[3x6]-4:C[6,6]-3:H-1:	C[6,6,6a]-3:C[6,6]-3:C[6,6]-3:N[6]-3:	C[6,6](B[3x6]C[6,6,6a]C[6,6]N[6])(C[6,6]C[3x6]H)(H)	C[6,6](C[3x6]C[6,6,6a]C[6,6]C)(C[6,6]B[3x6]H)(H)	B[3x6](C[6,6,6a]C[6,6,6a]C[6a])(C[6,6]C[6,6]H)2(N[6]C[6]2)	C[6,6](B[3x6]C[6,6,6a]C[6,6]N[6])(C[6,6]C[3x6]H)(H){1|C<4>,1|H<1>,5|C<3>}	C[6,6](C[3x6]C[6,6,6a]C[6,6]C)(C[6,6]B[3x6]H)(H){1|H<1>,1|N<3>,3|C<3>}	B[3x6](C[6,6,6a]C[6,6,6a]C[6a])(C[6,6]C[6,6]H)2(N[6]C[6]2){1|C<4>,4|C<3>,5|H<1>}	112.1625	0.018	2	112.1625	0.018	2	112.1625	0.018	2	112.1250	0.093	4	111.9634	0.370	5	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6,6]	C[6,6]	B[3x6]	4:3:1:	4:3:1:	3:3:3:3:	B[3x6]-4:C[6,6]-3:H-1:	C[3x6]-4:C[6,6]-3:H-1:	C[6,6]-3:C[6,6]-3:C[6,6]-3:N[6]-3:	C[6,6](B[3x6]C[6,6]2N[6])(C[6,6]C[3x6]H)(H)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]B[3x6]H)(H)	B[3x6](C[6,6]C[6,6]C)(C[6,6]C[6,6]H)2(N[6]C[6]2)	C[6,6](B[3x6]C[6,6]2N[6])(C[6,6]C[3x6]H)(H){2|H<1>,5|C<3>}	C[6,6](C[3x6]C[6,6]2H)(C[6,6]B[3x6]H)(H){1|H<1>,1|N<3>,3|C<3>}	B[3x6](C[6,6]C[6,6]C)(C[6,6]C[6,6]H)2(N[6]C[6]2){1|C<4>,3|C<3>,4|H<1>}	112.0875	0.141	2	112.0875	0.141	2	112.0875	0.141	2	112.1250	0.093	4	111.9634	0.370	5	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6,6]	C[6,6]	B[3x6]	4:3:3:	4:3:3:	3:3:3:3:	B[3x6]-4:C[6,6]-3:C-3:	C[3x6]-4:C[6,6]-3:C-3:	C[6,6]-3:C[6,6]-3:C[6,6]-3:N[6]-3:	C[6,6](B[3x6]C[6,6]2N[6])(C[6,6]C[3x6]C)(COO)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]B[3x6]C)(COO)	B[3x6](C[6,6]C[6,6]C)(C[6,6]C[6,6]H)2(N[6]C[6]2)	C[6,6](B[3x6]C[6,6]2N[6])(C[6,6]C[3x6]C)(COO){3|H<1>,4|C<3>}	C[6,6](C[3x6]C[6,6]2H)(C[6,6]B[3x6]C)(COO){1|N<3>,2|C<3>,2|H<1>}	B[3x6](C[6,6]C[6,6]C)(C[6,6]C[6,6]H)2(N[6]C[6]2){1|C<4>,3|C<3>,4|H<1>}	111.3170	0.000	1	111.3170	0.000	1	111.3170	0.000	1	111.3170	0.000	1	111.9634	0.370	5	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:1:	3:3:3:	3:3:3:3:	B[6]-4:C[6]-3:H-1:	S[6]-3:C[6]-3:C-3:	C[6]-3:C[6a]-3:C[6a]-3:C[6]-3:	C[6](B[6]C[6a]2C[6])(C[6]S[6]C)(H)	C[6](S[6]C[6a]C[6])(C[6]B[6]H)(CCC)	B[6](C[6]C[6a]C[6])(C[6a]C[6a]2)2(C[6]C[6]H)	C[6](B[6]C[6a]2C[6])(C[6]S[6]C)(H){7|C<3>}	C[6](S[6]C[6a]C[6])(C[6]B[6]H)(CCC){6|C<3>}	B[6](C[6]C[6a]C[6])(C[6a]C[6a]2)2(C[6]C[6]H){1|S<3>,4|F<1>,8|C<3>}	130.8340	0.000	1	130.8340	0.000	1	130.8340	0.000	1	130.5145	0.452	2	126.2761	4.029	8	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:1:	3:3:3:	3:3:3:3:	B[6]-4:C[6]-3:H-1:	S[6]-3:C[6a]-3:C[6]-3:	C[6]-3:C[6a]-3:C[6a]-3:C[6]-3:	C[6](B[6]C[6a]2C[6])(C[6]C[6a]S[6])(H)	C[6](S[6]C[6a]C[6])(C[6a]C[6a]2)(C[6]B[6]H)	B[6](C[6]C[6a]C[6])(C[6a]C[6a]2)2(C[6]C[6]H)	C[6](B[6]C[6a]2C[6])(C[6]C[6a]S[6])(H){9|C<3>}	C[6](S[6]C[6a]C[6])(C[6a]C[6a]2)(C[6]B[6]H){2|H<1>,8|C<3>}	B[6](C[6]C[6a]C[6])(C[6a]C[6a]2)2(C[6]C[6]H){1|S<3>,4|F<1>,8|C<3>}	130.1950	0.000	1	130.1950	0.000	1	130.1950	0.000	1	130.5145	0.452	2	126.2761	4.029	8	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:1:	4:3:1:	3:3:3:1:	B[6]-4:C[6]-3:H-1:	C[6]-4:C[6]-3:H-1:	C[6]-3:C[6]-3:N[6]-3:Cl-1:	C[6](B[6]C[6]N[6]Cl)(C[6]C[6]H)(H)	C[6](C[6]C[6]CH)(C[6]B[6]H)(H)	B[6](C[6]C[6]Si)(C[6]C[6]H)(N[6]C[6]2)(Cl)	C[6](B[6]C[6]N[6]Cl)(C[6]C[6]H)(H){1|Si<4>,1|C<4>,1|H<1>,3|C<3>}	C[6](C[6]C[6]CH)(C[6]B[6]H)(H){1|Cl<1>,1|C<3>,1|H<1>,1|N<3>}	B[6](C[6]C[6]Si)(C[6]C[6]H)(N[6]C[6]2)(Cl){1|C<4>,2|C<3>,4|H<1>}	122.2180	0.000	1	122.2180	0.000	1	122.2180	0.000	1	122.2180	0.000	1	126.2761	4.029	8	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:1:	4:3:1:	3:3:3:3:	B[6]-4:C[6]-3:H-1:	C[6]-4:C[6]-3:H-1:	C[6]-3:C[6]-3:N[5]-3:N[5]-3:	C[6](B[6]C[6]N[5]2)(C[6]C[6]H)(H)	C[6](C[6]C[6]HH)(C[6]B[6]H)(H)	B[6](C[6]C[6]Si)(C[6]C[6]H)(N[5]C[5]2)2	C[6](B[6]C[6]N[5]2)(C[6]C[6]H)(H){1|Si<4>,2|H<1>,5|C<3>}	C[6](C[6]C[6]HH)(C[6]B[6]H)(H){1|C<3>,1|H<1>,2|N<3>}	B[6](C[6]C[6]Si)(C[6]C[6]H)(N[5]C[5]2)2{1|C<4>,2|C<3>,2|N<3>,6|H<1>}	121.8980	1.693	2	121.8980	1.693	2	121.8980	1.693	2	121.8980	1.693	2	126.2761	4.029	8	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:1:	4:3:3:	3:3:4:3:	B[6]-4:C[6]-3:H-1:	P[6]-4:C[6]-3:C-3:	C[6a]-3:C[6a]-3:C[6]-4:C[6]-3:	C[6](B[6]C[6a]2C[6])(C[6]P[6]C)(H)	C[6](P[6]C[6a]2C[6])(C[6]B[6]H)(CCC)	B[6](C[6a]C[6a]2)2(C[6]C[6]HH)(C[6]C[6]H)	C[6](B[6]C[6a]2C[6])(C[6]P[6]C)(H){1|C<4>,2|H<1>,6|C<3>}	C[6](P[6]C[6a]2C[6])(C[6]B[6]H)(CCC){1|H<1>,2|C<4>,6|C<3>}	B[6](C[6a]C[6a]2)2(C[6]C[6]HH)(C[6]C[6]H){1|C<4>,1|H<1>,1|P<4>,4|F<1>,5|C<3>}	130.7140	0.000	1	130.7140	0.000	1	130.7140	0.000	1	130.7140	0.000	1	126.2761	4.029	8	120.7712	7.877	13
762	762	874	6:SP2_SP2_SP3	C[6]	C[6]	B[6]	4:3:3:	3:3:3:	3:3:3:3:	B[6]-4:C[6]-3:C[6a]-3:	C[6]-3:S[6]-3:C[6a]-3:	C[6]-3:C[6a]-3:C[6a]-3:C[6]-3:	C[6](B[6]C[6a]2C[6])(C[6]C[6a]S[6])(C[6a]C[6a]2)	C[6](C[6]C[6a]B[6])(S[6]C[6a]C[6])(C[6a]C[6a]2)	B[6](C[6]C[6a]C[6])(C[6a]C[6a]2)2(C[6]C[6]H)	C[6](B[6]C[6a]2C[6])(C[6]C[6a]S[6])(C[6a]C[6a]2){10|C<3>,1|H<1>,2|F<1>}	C[6](C[6]C[6a]B[6])(S[6]C[6a]C[6])(C[6a]C[6a]2){10|C<3>,2|H<1>}	B[6](C[6]C[6a]C[6])(C[6a]C[6a]2)2(C[6]C[6]H){1|S<3>,4|F<1>,8|C<3>}	126.2260	0.322	2	126.2260	0.322	2	126.2260	0.322	2	126.2260	0.322	2	126.2761	4.029	8	120.7712	7.877	13
