762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:2:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a,6a]-3:	C[6a,6a]-3:N[6a]-2:	C[6a,6a](C[6a,6a]C[6a,6a]N[6a])(N[6a]C[6a,6a])(N[6a]N[6a])	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a,6a]C[6a,6a]N[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(N[6a]C[6a,6a])	C[6a,6a](C[6a,6a]C[6a,6a]N[6a])(N[6a]C[6a,6a])(N[6a]N[6a]){4|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a,6a]C[6a,6a]N[6a]){1|H<1>,2|N<2>,3|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(N[6a]C[6a,6a]){1|N<2>,3|C<3>}	114.7970	0.000	1	114.7970	0.000	1	114.7970	0.000	1	114.7970	0.000	1	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[3x6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a])	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a])	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2{1|N<3>,2|C<3>,3|N<2>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a]){1|H<1>,5|C<3>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a]){5|C<3>}	119.4750	0.000	1	119.9000	0.601	2	119.8070	0.897	8	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[3x6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a])	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a])	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2{1|N<3>,2|C<3>,3|N<2>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a]){5|C<3>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]C[6a]N[6a]){5|C<3>}	120.3250	0.000	1	119.9000	0.601	2	119.8070	0.897	8	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[3x6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]C[6])	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]C[6])	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2{2|C<3>,4|N<2>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]C[6]){5|C<3>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]C[6]){5|C<3>}	119.3117	1.229	3	119.3117	1.229	3	119.8070	0.897	8	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[3x6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]H)	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]H)	C[6a,6a](C[3x6a]C[6a,6a]2)(N[6a]C[6a])2{2|H<1>,4|N<2>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]H){3|C<3>}	N[6a](C[6a,6a]C[3x6a]N[6a])(C[6a]N[6a]H){3|C<3>}	120.2403	0.686	3	120.2403	0.686	3	119.8070	0.897	8	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[5,6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]C[6a]N[6a])(N[6a]C[5,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[5,6a]C[5,6a]C[5])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]H)	C[6a,6a](C[6a,6a]C[6a]N[6a])(N[6a]C[5,6a])(N[6a]C[6a]){2|H<1>,3|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[5,6a]C[5,6a]C[5]){1|N<2>,1|N<3>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]H){1|H<1>,1|N<2>,2|C<3>}	115.7210	0.000	1	115.7210	0.000	1	115.7210	0.000	1	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6,6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]C[6a]2)(N[6a]C[6,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6,6a]C[6,6a]C[6])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]N[6a]S)	C[6a,6a](C[6a,6a]C[6a]2)(N[6a]C[6,6a])(N[6a]C[6a]){1|C<3>,1|C<4>,1|H<1>,1|N<2>,1|N<3>,1|S<2>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6,6a]C[6,6a]C[6]){1|C<4>,2|H<1>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]N[6a]S){3|C<3>}	114.8620	0.000	1	114.8325	0.042	2	115.6787	1.466	3	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6,6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]C[6a]2)(N[6a]C[6,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6,6a]C[6,6a]C[6])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]N[6a]S)	C[6a,6a](C[6a,6a]C[6a]2)(N[6a]C[6,6a])(N[6a]C[6a]){1|N<3>,1|O<1>,1|S<2>,3|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6,6a]C[6,6a]C[6]){2|C<4>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]N[6a]S){1|H<1>,3|C<3>}	114.8030	0.000	1	114.8325	0.042	2	115.6787	1.466	3	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6,6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]N[6a]2)(N[6a]C[6,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6,6a]C[6,6a]N[6])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C)	C[6a,6a](C[6a,6a]N[6a]2)(N[6a]C[6,6a])(N[6a]C[6a]){1|C<2>,1|N<3>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6,6a]C[6,6a]N[6]){1|H<1>,1|N<3>,2|C<3>,2|N<2>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C){1|C<2>,1|C<3>,2|N<2>}	117.3710	0.000	1	117.3710	0.000	1	115.6787	1.466	3	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a,6a]-3:	C[6a,6a](C[6a,6a]C[6a,6a]C[6a])(N[6a]C[6a,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]H)	N[6a](C[6a,6a]C[6a,6a]N[6a])2	C[6a,6a](C[6a,6a]C[6a,6a]C[6a])(N[6a]C[6a,6a])(N[6a]C[6a]){1|N<2>,2|H<1>,3|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]H){4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])2{5|C<3>}	114.3273	0.122	3	114.3273	0.122	3	115.3968	1.467	5	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a,6a]-3:	C[6a,6a](C[6a,6a]N[6a]2)(N[6a]C[6a,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]2)	N[6a](C[6a,6a]C[6a,6a]N[6a])2	C[6a,6a](C[6a,6a]N[6a]2)(N[6a]C[6a,6a])(N[6a]C[6a]){1|N<2>,3|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]2){2|N<2>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])2{2|C<3>,3|N<2>}	117.0070	0.000	1	117.0070	0.000	1	115.3968	1.467	5	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a,6a]-3:	C[6a,6a](C[6a,6a]N[6a]2)(N[6a]C[6a,6a])(N[6a]C[6a])	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]O)	N[6a](C[6a,6a]C[6a,6a]N[6a])2	C[6a,6a](C[6a,6a]N[6a]2)(N[6a]C[6a,6a])(N[6a]C[6a]){1|N<2>,1|O<2>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]O){1|C<3>,1|O<2>,2|N<2>}	N[6a](C[6a,6a]C[6a,6a]N[6a])2{2|C<3>,3|N<2>}	116.9950	0.000	1	116.9950	0.000	1	115.3968	1.467	5	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]C[6a,6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]C)	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]N)	C[6a,6a](C[6a,6a]C[6a,6a]2)(N[6a]C[6a])2{1|C<4>,1|N<3>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]C){4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]N){4|C<3>}	112.6585	0.291	2	112.6585	0.291	2	115.0396	0.971	53	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]C[6a,6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]H)	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]H)	C[6a,6a](C[6a,6a]C[6a,6a]2)(N[6a]C[6a])2{2|H<1>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]H){4|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a,6a]H){4|C<3>}	113.0820	0.000	1	113.0820	0.000	1	115.0396	0.971	53	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6a,6a]	N[6a]	N[6a]	3:2:2:	3:3:	3:3:	C[6a,6a]-3:N[6a]-2:N[6a]-2:	C[6a,6a]-3:C[6a]-3:	C[6a,6a]-3:C[6a]-3:	C[6a,6a](C[6a,6a]C[6a]2)(N[6a]C[6a])2	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C)	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C)	C[6a,6a](C[6a,6a]C[6a]2)(N[6a]C[6a])2{2|C<3>,2|C<4>,2|H<1>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C){1|H<1>,3|C<3>}	N[6a](C[6a,6a]C[6a,6a]N[6a])(C[6a]C[6a]C){1|H<1>,3|C<3>}	115.0340	0.064	2	115.0340	0.064	2	115.0396	0.971	53	116.4964	2.404	88	116.4773	2.397	89	116.6641	2.476	100
