762	953	953	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:3:3:	3:3:4:	3:4:1:	C[6,6a]-3:N[6a]-3:N[6]-3:	C[6,6a]-3:C[6a]-3:C-4:	C[6,6a]-3:C[6]-4:H-1:	C[6,6a](C[6,6a]C[6a]C[6])(N[6a]C[6a]C)(N[6]C[6]H)	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]O)(CH3)	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6a]O[6]H)(H)	C[6,6a](C[6,6a]C[6a]C[6])(N[6a]C[6a]C)(N[6]C[6]H){1|C<3>,1|C<4>,1|N<3>,1|O<2>,2|H<1>,2|O<1>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]O)(CH3){1|C<3>,1|H<1>,3|C<4>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6a]O[6]H)(H){2|C<4>,4|C<3>}	117.4280	0.000	1	117.4280	0.000	1	117.4280	0.000	1	117.4280	0.000	1	117.2080	0.311	2	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:2:	3:3:1:	4:4:3:	N[6]-3:N[6]-3:N[6]-2:	C[6]-3:C[6]-3:H-1:	C[6]-4:C[6]-4:C[6]-3:	C[6](N[6]C[6]2)(N[6]C[6]H)(N[6]C[6])	N[6](C[6]C[6]H)(C[6]N[6]2)(H)	N[6](C[6]C[6]HH)2(C[6]N[6]2)	C[6](N[6]C[6]2)(N[6]C[6]H)(N[6]C[6]){1|C<3>,2|C<4>,6|H<1>}	N[6](C[6]C[6]H)(C[6]N[6]2)(H){1|C<3>,1|H<1>,2|C<4>}	N[6](C[6]C[6]HH)2(C[6]N[6]2){1|N<3>,2|C<3>,5|H<1>}	119.8710	0.000	2	120.1810	0.537	3	120.1810	0.537	3	120.1810	0.537	3	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:2:	3:3:1:	4:4:3:	N[6]-3:N[6]-3:N[6]-2:	C[6]-3:C[6]-3:H-1:	C[6]-4:C[6]-4:C[6]-3:	C[6](N[6]C[6]2)(N[6]C[6]H)(N[6]C[6])	N[6](C[6]C[6]H)(C[6]N[6]2)(H)	N[6](C[6]C[6]HH)2(C[6]N[6]2)	C[6](N[6]C[6]2)(N[6]C[6]H)(N[6]C[6]){1|C<3>,2|C<4>,6|H<1>}	N[6](C[6]C[6]H)(C[6]N[6]2)(H){1|C<3>,1|H<1>,2|C<4>}	N[6](C[6]C[6]HH)2(C[6]N[6]2){1|N<4>,2|C<3>,5|H<1>}	120.8010	0.000	1	120.1810	0.537	3	120.1810	0.537	3	120.1810	0.537	3	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:2:	4:4:3:	3:3:1:	N[6]-3:N[6]-3:N[6]-2:	C[6]-4:C[6]-4:C[6]-3:	C[6]-3:C[6]-3:H-1:	C[6](N[6]C[6]2)(N[6]C[6]H)(N[6]C[6])	N[6](C[6]C[6]HH)2(C[6]N[6]2)	N[6](C[6]N[6]2)2(H)	C[6](N[6]C[6]2)(N[6]C[6]H)(N[6]C[6]){1|N<2>,2|C<4>,2|N<3>,4|H<1>}	N[6](C[6]C[6]HH)2(C[6]N[6]2){1|C<4>,2|C<3>,5|H<1>}	N[6](C[6]N[6]2)2(H){1|C<3>,4|C<4>}	118.2340	0.246	2	118.2340	0.246	2	118.2340	0.246	2	118.2340	0.246	2	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:3:	3:3:1:	3:4:4:	C[6]-3:N[6]-3:N[6]-3:	C[6]-3:C[6]-3:H-1:	C[6]-3:C[6]-4:C[6]-4:	C[6](C[6]C[6]H)(N[6]C[6]2)(N[6]C[6]H)	N[6](C[6]C[6]N[6])(C[6]C[6]H)(H)	N[6](C[6]C[6]N[6])(C[6]C[6]HH)2	C[6](C[6]C[6]H)(N[6]C[6]2)(N[6]C[6]H){1|C<3>,2|C<4>,6|H<1>}	N[6](C[6]C[6]N[6])(C[6]C[6]H)(H){1|C<3>,1|H<1>,1|N<3>,2|C<4>}	N[6](C[6]C[6]N[6])(C[6]C[6]HH)2{1|N<4>,2|C<3>,6|H<1>}	118.3040	0.000	2	119.1448	0.990	4	119.1448	0.990	4	119.1448	0.990	4	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:3:	3:3:1:	3:4:4:	C[6]-3:N[6]-3:N[6]-3:	C[6]-3:C[6]-3:H-1:	C[6]-3:C[6]-4:C[6]-4:	C[6](C[6]C[6]H)(N[6]C[6]2)(N[6]C[6]H)	N[6](C[6]C[6]N[6])(C[6]C[6]H)(H)	N[6](C[6]C[6]N[6])(C[6]C[6]HH)2	C[6](C[6]C[6]H)(N[6]C[6]2)(N[6]C[6]H){1|C<3>,2|C<4>,6|H<1>}	N[6](C[6]C[6]N[6])(C[6]C[6]H)(H){1|C<3>,2|C<4>,2|H<1>}	N[6](C[6]C[6]N[6])(C[6]C[6]HH)2{1|N<4>,2|C<3>,6|H<1>}	119.9855	0.334	2	119.1448	0.990	4	119.1448	0.990	4	119.1448	0.990	4	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:3:	3:4:4:	3:3:1:	C[6]-3:N[6]-3:N[6]-3:	C[6]-3:C[6]-4:C[6]-4:	C[6]-3:C[6]-3:H-1:	C[6](C[6]C[6]N)(N[6]C[6]2)(N[6]C[6]H)	N[6](C[6]C[6]N[6])(C[6]C[6]HH)2	N[6](C[6]C[6]N[6])(C[6]N[6]N)(H)	C[6](C[6]C[6]N)(N[6]C[6]2)(N[6]C[6]H){1|N<2>,2|C<4>,2|N<3>,4|H<1>}	N[6](C[6]C[6]N[6])(C[6]C[6]HH)2{1|C<4>,1|N<3>,2|C<3>,5|H<1>}	N[6](C[6]C[6]N[6])(C[6]N[6]N)(H){1|C<3>,1|N<3>,2|C<4>}	118.5100	0.000	1	118.5100	0.000	1	118.5100	0.000	1	118.5100	0.000	1	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6]	N[6]	N[6]	3:3:3:	4:3:4:	3:3:1:	C[6]-3:N[6]-3:N[6]-3:	C[6]-4:C[6]-3:C[6]-4:	C[6]-3:C[6]-3:H-1:	C[6](C[6]C[6]C)(N[6]C[6]2)(N[6]C[6]H)	N[6](C[6]C[6a]C[6]H)(C[6]C[6]N[6])(C[6]C[6]HH)	N[6](C[6]C[6]N[6])(C[6]C[6]H)(H)	C[6](C[6]C[6]C)(N[6]C[6]2)(N[6]C[6]H){2|C<3>,2|C<4>,5|H<1>}	N[6](C[6]C[6a]C[6]H)(C[6]C[6]N[6])(C[6]C[6]HH){1|C<4>,1|N<4>,4|C<3>,5|H<1>}	N[6](C[6]C[6]N[6])(C[6]C[6]H)(H){1|C<3>,1|H<1>,3|C<4>}	119.8750	0.000	1	119.8750	0.000	1	119.8750	0.000	1	119.8750	0.000	1	119.2705	0.960	11	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6a]	N[6]	N[6a]	3:2:3:	3:4:4:	3:3:1:	N[6a]-3:N[6a]-2:N[6]-3:	C[6a]-3:C[6]-4:C[6]-4:	C[6a]-3:C[6a]-3:H-1:	C[6a](N[6a]C[6a]H)(N[6a]C[6a])(N[6]C[6]2)	N[6](C[6a]N[6a]2)(C[6]C[6]HH)2	N[6a](C[6a]N[6a]N[6])(C[6a]N[6a]O)(H)	C[6a](N[6a]C[6a]H)(N[6a]C[6a])(N[6]C[6]2){1|N<2>,1|N<3>,1|O<1>,2|C<4>,4|H<1>}	N[6](C[6a]N[6a]2)(C[6]C[6]HH)2{1|C<4>,2|C<3>,5|H<1>}	N[6a](C[6a]N[6a]N[6])(C[6a]N[6a]O)(H){1|C<3>,2|C<4>}	119.9140	0.000	1	119.9140	0.000	1	119.9140	0.000	1	119.9140	0.000	1	119.9140	0.000	1	118.0703	1.796	51
762	953	953	0:SP2_SP2_SP2	C[6a]	N[6a]	N[6]	2:3:3:	3:3:3:	3:4:4:	N[6a]-2:N[6a]-3:N[6]-3:	C[6a]-3:C[6a]-3:C[6a]-3:	C[6a]-3:C[6]-4:C[6]-4:	C[6a](N[6a]C[5,6a])(N[6a]C[6a]2)(N[6]C[6]2)	N[6a](C[6a]N[6a]N[6])(C[6a]C[5,6a]O)(C[6a]C[6a]2)	N[6](C[6a]N[6a]2)(C[6]C[6]HH)2	C[6a](N[6a]C[5,6a])(N[6a]C[6a]2)(N[6]C[6]2){1|N<3>,1|O<1>,2|C<4>,3|C<3>,4|H<1>}	N[6a](C[6a]N[6a]N[6])(C[6a]C[5,6a]O)(C[6a]C[6a]2){1|S<2>,2|C<4>,2|H<1>,3|C<3>}	N[6](C[6a]N[6a]2)(C[6]C[6]HH)2{1|O<2>,3|C<3>,4|H<1>}	118.3780	0.000	1	117.2323	0.754	7	116.7929	1.049	10	116.7929	1.049	10	116.5138	1.468	20	118.0703	1.796	51
