210	210	818	3:2:	2:3:	3:2:2:	C[5]-3:N-2:	N-2:C-3:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(NC[5])(CCC)	C[5](N[5]C[6a]C[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(NC[5])(CCC)	C[5](N[5]C[6a]C[5])(S[5]C[5])(NN){1|O<1>,2|C<3>,2|H<1>}	107.6470	0.000	1	107.6470	0.000	1     107.6470       0.000      1      107.6470     0.000     1
210	210	818	3:2:	2:3:	3:3:2:	C[5]-3:N-2:	N-2:C-3:	C[5,6a]-3:C[5,6a]-3:N-2:	N(C[5]C[5,6a]2)(NC)	N(NC[5])(CNN)	C[5](C[5,6a]C[5,6a]C[6a])2(NN)	N(C[5]C[5,6a]2)(NC)	N(NC[5])(CNN)	C[5](C[5,6a]C[5,6a]C[6a])2(NN){2|H<1>,4|C<3>}	116.5920	0.000	1	116.5920	0.000	1     116.5920       0.000      1      116.5920     0.000     1
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C-3:N-2:	S[5]-2:S[5]-2:N-2:	N(C[5]S[5]2)(NC)	N(CC[6a]O)(NC[5])	C[5](S[5]C[5])2(NN)	N(C[5]S[5]2)(NC)	N(CC[6a]O)(NC[5])	C[5](S[5]C[5])2(NN){4|H<1>}	110.7570	0.911	2	110.7570	0.911	2     110.7570       0.911      2      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	N[5]-2:N[5]-2:N-2:	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]C[5])(N[5]N[5])(NN)	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]C[5])(N[5]N[5])(NN){1|H<1>}	111.3877	1.508	3	111.3877	1.508	3     112.8081       1.081      24      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	N[5]-2:N[5]-2:N-2:	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]N[5])2(NN)	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]N[5])2(NN){}	113.0110	0.878	21	113.0110	0.878	21     112.8081       1.081      24      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	S[5]-2:S[5]-2:N-2:	N(C[5]S[5]2)(NC[5])	N(C[5]S[5]2)(NC[5])	C[5](S[5]C[5])2(NN)	N(C[5]S[5]2)(NC[5])	N(C[5]S[5]2)(NC[5])	C[5](S[5]C[5])2(NN){2|H<1>}	111.4100	0.000	1	111.3290	0.115	2     111.3290       0.115      2      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	S[5]-2:S[5]-2:N-2:	N(C[5]S[5]2)(NC[5])	N(C[5]S[5]2)(NC[5])	C[5](S[5]C[5])2(NN)	N(C[5]S[5]2)(NC[5])	N(C[5]S[5]2)(NC[5])	C[5](S[5]C[5])2(NN){4|H<1>}	111.2480	0.000	1	111.3290	0.115	2     111.3290       0.115      2      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]C[5,6a])(S[5]C[5,6a])(NN)	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]C[5,6a])(S[5]C[5,6a])(NN){2|C<3>}	110.6565	0.168	2	110.6565	0.168	2     110.7025       0.579      11      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]C[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]C[5])(S[5]C[5])(NN){1|C<4>,1|H<1>}	110.6010	0.572	3	111.0310	0.733	5     110.7025       0.579      11      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C[5a]-3:N-2:	N[5]-2:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]C[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC[5a])	N(C[5a]C[5a,6a]C[5a])(NC[5])	C[5](N[5]C[5])(S[5]C[5])(NN){2|H<1>}	111.6760	0.330	2	111.0310	0.733	5     110.7025       0.579      11      111.9441     1.320     58
