490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[5]-3:C-4:	C-4:	C(NC[5])(CCHH)(H)2	N(C[5]C[5,6]N[5])(CCHH)	H(CCHN)	C(NC[5])(CCHH)(H)2	N(C[5]C[5,6]N[5])(CCHH)	H(CCHN)	107.5060	0.000	1	107.5060	0.000	1     109.5562       0.741      11      109.7179     1.615     25
490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[5]-3:C-4:	C-4:	C(NC[5])(CCHH)(H)2	N(C[5]C[5]O[5])(CCHH)	H(CCHN)	C(NC[5])(CCHH)(H)2	N(C[5]C[5]O[5])(CCHH)	H(CCHN)	110.1275	0.175	2	110.1275	0.175	2     109.5562       0.741      11      109.7179     1.615     25
490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[5]-3:C-4:	C-4:	C(NC[5])(CHHO)(H)2	N(C[5]C[5,6a]C[5])(CCHH)	H(CCHN)	C(NC[5])(CHHO)(H)2	N(C[5]C[5,6a]C[5])(CCHH)	H(CCHN)	109.6855	0.006	2	109.6855	0.006	2     109.5562       0.741      11      109.7179     1.615     25
490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[5]-3:C-4:	C-4:	C(NC[5])(CHHO)(H)2	N(C[5]C[5,6a]N[5])(CCHH)	H(CCHN)	C(NC[5])(CHHO)(H)2	N(C[5]C[5,6a]N[5])(CCHH)	H(CCHN)	109.8263	0.307	3	109.8263	0.307	3     109.5562       0.741      11      109.7179     1.615     25
490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[5a]-3:C-4:	C-4:	C(NC[5a])(CHHO)(H)2	N(C[5a]C[5a,6a]N[5a])(CCHH)	H(CCHN)	C(NC[5a])(CHHO)(H)2	N(C[5a]C[5a,6a]N[5a])(CCHH)	H(CCHN)	109.0149	1.812	8	109.0149	1.812	8     109.0149       1.812      8      109.7179     1.615     25
490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[6]-3:C-4:	C-4:	C(NC[6])(CCHH)(H)2	N(C[6]N[6]2)(CCHH)	H(CCHN)	C(NC[6])(CCHH)(H)2	N(C[6]N[6]2)(CCHH)	H(CCHN)	109.6372	0.020	4	109.6372	0.020	4     109.6372       0.020      4      109.7179     1.615     25
490	210	690	2:4:1:1:	3:4:	4:	N-2:C-4:H-1:H-1:	C[6a]-3:C-4:	C-4:	C(NC[6a])(CH3)(H)2	N(C[6a]C[6a]2)(CCHH)	H(CCHN)	C(NC[6a])(CH3)(H)2	N(C[6a]C[6a]2)(CCHH)	H(CCHN)	113.5805	0.060	2	113.5805	0.060	2     113.5805       0.060      2      109.7179     1.615     25
490	210	690	2:4:4:1:	3:4:	4:	N-2:C-4:C-4:H-1:	C[5]-3:C-4:	C-4:	C(NC[5])(CH3)2(H)	N(C[5]N[5]2)(CCCH)	H(CCCN)	C(NC[5])(CH3)2(H)	N(C[5]N[5]2)(CCCH)	H(CCCN)	110.0910	0.000	1	110.0910	0.000	1     109.7160       0.530      2      109.5350     0.605     4
490	210	690	2:4:4:1:	3:4:	4:	N-2:C-4:C-4:H-1:	C[5]-3:C-4:	C-4:	C(NC[5])(CH3)2(H)	N(C[5]N[5]S[5])(CCCH)	H(CCCN)	C(NC[5])(CH3)2(H)	N(C[5]N[5]S[5])(CCCH)	H(CCCN)	109.3410	0.000	1	109.3410	0.000	1     109.7160       0.530      2      109.5350     0.605     4
490	210	690	2:4:4:1:	3:4:	4:	N-2:C-4:C-4:H-1:	C[6]-3:C-4:	C-4:	C(NC[6])(CH3)2(H)	N(C[6]N[6]2)(CCCH)	H(CCCN)	C(NC[6])(CH3)2(H)	N(C[6]N[6]2)(CCCH)	H(CCCN)	109.9390	0.000	1	109.9390	0.000	1     109.9390       0.000      1      109.5350     0.605     4
490	210	690	2:4:4:1:	3:4:	4:	N-2:C-4:C-4:H-1:	C[6a]-3:C-4:	C-4:	C(NC[6a])(CH3)2(H)	N(C[6a]C[6a]2)(CCCH)	H(CCCN)	C(NC[6a])(CH3)2(H)	N(C[6a]C[6a]2)(CCCH)	H(CCCN)	108.7690	0.000	1	108.7690	0.000	1     108.7690       0.000      1      109.5350     0.605     4
490	210	690	3:2:1:1:	3:4:	4:	C-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(CCC)(NC)(H)2	N(CC[6a]C)(CCHH)	H(CCHN)	C(CCC)(NC)(H)2	N(CC[6a]C)(CCHH)	H(CCHN)	109.7235	0.012	2	109.7235	0.012	2     109.2216       0.467      20      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(CCC)(NC)(H)2	N(CC[6a]H)(CCHH)	H(CCHN)	C(CCC)(NC)(H)2	N(CC[6a]H)(CCHH)	H(CCHN)	108.9425	0.012	2	108.9425	0.012	2     109.2216       0.467      20      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(CCH)(NC)(H)2	N(CC[6a]C)(CCHH)	H(CCHN)	C(CCH)(NC)(H)2	N(CC[6a]C)(CCHH)	H(CCHN)	109.2170	0.013	2	109.2170	0.013	2     109.2216       0.467      20      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(CNO)(NC)(H)2	N(CC[6a]C[5])(CCHH)	H(CCHN)	C(CNO)(NC)(H)2	N(CC[6a]C[5])(CCHH)	H(CCHN)	109.4155	0.689	6	109.4155	0.689	6     109.2216       0.467      20      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(CNO)(NC)(H)2	N(CC[6a]H)(CCHH)	H(CCHN)	C(CNO)(NC)(H)2	N(CC[6a]H)(CCHH)	H(CCHN)	109.0622	0.322	6	109.0622	0.322	6     109.2216       0.467      20      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(COO)(NC)(H)2	N(CC[6a]H)(CCHH)	H(CCHN)	C(COO)(NC)(H)2	N(CC[6a]H)(CCHH)	H(CCHN)	108.9000	0.018	2	108.9000	0.018	2     109.2216       0.467      20      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6]-3:N-2:H-1:H-1:	C[5]-3:C-4:	C-4:	C(C[6]C[6]N[6])(NC[5])(H)2	N(C[5]N[5]2)(CC[6]HH)	H(CC[6]HN)	C(C[6]C[6]N[6])(NC[5])(H)2	N(C[5]N[5]2)(CC[6]HH)	H(CC[6]HN)	109.5225	0.025	2	109.5225	0.025	2     109.5225       0.025      2      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6a]-3:N-2:H-1:H-1:	C-3:C-4:	C-4:	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]C[5])(CC[6a]HH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC)(H)2	N(CC[6a]C[5])(CC[6a]HH)	H(CC[6a]HN)	109.5095	0.700	4	109.5095	0.700	4     109.5095       0.700      4      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6a]-3:N-2:H-1:H-1:	C[5]-3:C-4:	C-4:	C(C[6a]C[6a]2)(NC[5])(H)2	N(C[5]C[5]O[5])(CC[6a]HH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC[5])(H)2	N(C[5]C[5]O[5])(CC[6a]HH)	H(CC[6a]HN)	109.1700	0.011	2	109.1700	0.011	2     108.5437       1.537      6      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6a]-3:N-2:H-1:H-1:	C[5]-3:C-4:	C-4:	C(C[6a]C[6a]2)(NC[5])(H)2	N(C[5]C[5]S[5])(CC[6a]HH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC[5])(H)2	N(C[5]C[5]S[5])(CC[6a]HH)	H(CC[6a]HN)	109.1080	0.006	2	109.1080	0.006	2     108.5437       1.537      6      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6a]-3:N-2:H-1:H-1:	C[5]-3:C-4:	C-4:	C(C[6a]C[6a]2)(NC[5])(H)2	N(C[5]N[5,6]N[5])(CC[6a]HH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC[5])(H)2	N(C[5]N[5,6]N[5])(CC[6a]HH)	H(CC[6a]HN)	107.3530	2.748	2	107.3530	2.748	2     108.5437       1.537      6      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6a]-3:N-2:H-1:H-1:	C[5a]-3:C-4:	C-4:	C(C[6a]C[6a]2)(NC[5a])(H)2	N(C[5a]N[5a,6]N[5a])(CC[6a]HH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC[5a])(H)2	N(C[5a]N[5a,6]N[5a])(CC[6a]HH)	H(CC[6a]HN)	108.1905	1.958	4	108.1905	1.958	4     108.1905       1.958      4      109.0603     0.980     38
490	210	690	3:2:1:1:	3:4:	4:	C[6a]-3:N-2:H-1:H-1:	C[6,6]-3:C-4:	C-4:	C(C[6a]C[6a]2)(NC[6,6])(H)2	N(C[6,6]C[6,6]2)(CC[6a]HH)	H(CC[6a]HN)	C(C[6a]C[6a]2)(NC[6,6])(H)2	N(C[6,6]C[6,6]2)(CC[6a]HH)	H(CC[6a]HN)	109.3765	0.060	2	109.3765	0.060	2     109.3765       0.060      2      109.0603     0.980     38
490	210	690	3:2:1:1:	4:2:	4:	C-3:N-2:H-1:H-1:	C-4:C-2:	C-4:	C(CN[5]O)(NC)(H)2	N(CCHH)(CS)	H(CCHN)	C(CN[5]O)(NC)(H)2	N(CCHH)(CS)	H(CCHN)	109.7955	0.018	2	109.7955	0.018	2     109.7955       0.018      2      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(CC[5]H)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	C(CC[5]H)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	109.1485	2.138	2	109.1485	2.138	2     109.0393       0.637      20      109.1758     0.548     33
490	210	690	3:2:1:1:	4:2:	4:	C-3:N-2:H-1:H-1:	C-4:N-2:	C-4:	C(CC[6a]O)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	C(CC[6a]O)(NN)(H)2	N(CCHH)(NN)	H(CCHN)	108.8821	0.147	14	108.8821	0.147	14     109.0393       0.637      20      109.1758     0.548     33
