762	643	993	0:SP2_SP-NON_SP2	C[6]	C[6a]	Se[6]	3:3:2:	3:3:3:	3:3:	C[6]-3:C[6a]-3:Se[6]-2:	C[6]-3:C[6a]-3:C[6a]-3:	C[6]-3:C[6]-3:	C[6](C[6]C[5,6]H)(C[6a]C[6a]2)(Se[6]C[6])	C[6a](C[6]Se[6]C[6])(C[6a]C[6a]H)2	Se[6](C[6]C[6a]C[6])2	C[6](C[6]C[5,6]H)(C[6a]C[6a]2)(Se[6]C[6]){2|H<1>,6|C<3>}	C[6a](C[6]Se[6]C[6])(C[6a]C[6a]H)2{1|C<4>,2|C<3>,3|H<1>}	Se[6](C[6]C[6a]C[6])2{1|C<4>,2|H<1>,4|C<3>}	112.5285	1.111	2	112.5285	1.111	2	112.5285	1.111	2	114.4723	2.434	4	113.8528	2.167	6	113.8528	2.167	6
762	643	993	0:SP2_SP-NON_SP2	C[6]	C[6a]	Se[6]	3:3:2:	3:3:3:	3:3:	C[6a]-3:C[6]-3:Se[6]-2:	C[6]-3:C[6a]-3:C[6a]-3:	C[6]-3:C[6]-3:	C[6](C[6a]C[6a]2)(C[6]C[6]H)(Se[6]C[6])	C[6a](C[6]Se[6]C[6])(C[6a]C[6a]H)2	Se[6](C[6]C[6a]C[6])2	C[6](C[6a]C[6a]2)(C[6]C[6]H)(Se[6]C[6]){2|H<1>,6|C<3>}	C[6a](C[6]Se[6]C[6])(C[6a]C[6a]H)2{1|C<4>,2|C<3>,3|H<1>}	Se[6](C[6]C[6a]C[6])2{1|C<4>,2|H<1>,4|C<3>}	116.4160	1.192	2	116.4160	1.192	2	116.4160	1.192	2	114.4723	2.434	4	113.8528	2.167	6	113.8528	2.167	6
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:2:1:	3:3:3:	3:	C[6,6a]-3:O[6]-2:S-1:	C[6,6a]-3:C[6a]-3:C[6]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(S)	C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(C[6]O[6]S)	S(C[6]C[6,6a]O[6])	C[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(S){1|C<4>,1|H<1>,3|C<3>}	C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(C[6]O[6]S){2|C<3>,3|H<1>}	S(C[6]C[6,6a]O[6])	126.8420	0.362	4	126.7776	0.452	15	126.7776	0.452	15	126.7725	0.433	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:2:1:	3:3:3:	3:	C[6,6a]-3:O[6]-2:S-1:	C[6,6a]-3:C[6a]-3:C[6]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(S)	C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(C[6]O[6]S)	S(C[6]C[6,6a]O[6])	C[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(S){1|H<1>,4|C<3>}	C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(C[6]O[6]S){2|C<3>,3|H<1>}	S(C[6]C[6,6a]O[6])	126.7542	0.494	11	126.7776	0.452	15	126.7776	0.452	15	126.7725	0.433	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:2:1:	3:3:3:	3:	C[6,6a]-3:S[6]-2:S-1:	C[6,6a]-3:C[6a]-3:C[6]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])(S[6]C[6])(S)	C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(C[6]S[6]S)	S(C[6]C[6,6a]S[6])	C[6](C[6,6a]C[6,6a]C[6a])(S[6]C[6])(S){1|C<4>,1|H<1>,1|N<2>,2|C<3>}	C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(C[6]S[6]S){2|C<3>,2|H<1>}	S(C[6]C[6,6a]S[6])	126.4690	0.000	1	126.7345	0.375	2	126.7345	0.375	2	126.7725	0.433	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:2:1:	3:3:3:	3:	C[6,6a]-3:S[6]-2:S-1:	C[6,6a]-3:C[6a]-3:C[6]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])(S[6]C[6])(S)	C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(C[6]S[6]S)	S(C[6]C[6,6a]S[6])	C[6](C[6,6a]C[6,6a]C[6a])(S[6]C[6])(S){1|H<1>,1|N<3>,1|S<1>,2|C<3>}	C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(C[6]S[6]S){2|C<3>,3|H<1>}	S(C[6]C[6,6a]S[6])	127.0000	0.000	1	126.7345	0.375	2	126.7345	0.375	2	126.7725	0.433	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:3:1:	3:3:3:	3:	C[6,6a]-3:C[6,6a]-3:S-1:	C[6,6a]-3:C[6]-3:C[6a]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])2(S)	C[6,6a](C[6,6a]C[6a]N[6])(C[6]C[6,6a]S)(C[6a]C[6a]H)	S(C[6]C[6,6a]2)	C[6](C[6,6a]C[6,6a]C[6a])2(S){1|N<3>,2|H<1>,4|C<3>}	C[6,6a](C[6,6a]C[6a]N[6])(C[6]C[6,6a]S)(C[6a]C[6a]H){1|Cl<1>,2|H<1>,3|C<3>}	S(C[6]C[6,6a]2)	122.1660	0.000	1	122.6220	0.645	2	122.6220	0.645	2	123.4610	2.174	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:3:1:	3:3:3:	3:	C[6,6a]-3:C[6,6a]-3:S-1:	C[6,6a]-3:C[6]-3:C[6a]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])2(S)	C[6,6a](C[6,6a]C[6a]N[6])(C[6]C[6,6a]S)(C[6a]C[6a]H)	S(C[6]C[6,6a]2)	C[6](C[6,6a]C[6,6a]C[6a])2(S){1|N<3>,2|H<1>,4|C<3>}	C[6,6a](C[6,6a]C[6a]N[6])(C[6]C[6,6a]S)(C[6a]C[6a]H){3|C<3>,3|H<1>}	S(C[6]C[6,6a]2)	123.0780	0.000	1	122.6220	0.645	2	122.6220	0.645	2	123.4610	2.174	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:3:1:	3:3:3:	3:	C[6,6a]-3:C[6,6a]-3:S-1:	C[6,6a]-3:C[6a]-3:C[6]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])2(S)	C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a,6a]H)(C[6]C[6,6a]S)	S(C[6]C[6,6a]2)	C[6](C[6,6a]C[6,6a]C[6a])2(S){1|N<3>,2|H<1>,4|C<3>}	C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a,6a]H)(C[6]C[6,6a]S){1|N<3>,2|H<1>,3|C<3>}	S(C[6]C[6,6a]2)	121.1740	0.945	2	121.1740	0.945	2	121.1740	0.945	2	123.4610	2.174	17	125.1168	2.282	34	125.1168	2.282	34
762	643	995	0:SP2_SP-NON_SP2	C[6]	C[6,6a]	S	3:3:1:	3:3:3:	3:	C[6,6a]-3:C[6]-3:S-1:	C[6,6a]-3:C[6a]-3:C[6]-3:	C[6]-3:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)(S)	C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(C[6]C[6]S)	S(C[6]C[6,6a]C[6])	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)(S){1|C<3>,1|N<2>,1|N<3>,2|H<1>}	C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(C[6]C[6]S){1|C<4>,1|H<1>,3|C<3>}	S(C[6]C[6,6a]C[6])	121.0895	1.613	2	121.0895	1.613	2	121.0895	1.613	2	123.4610	2.174	17	125.1168	2.282	34	125.1168	2.282	34
