670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[5]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[5]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.0050	0.000	1	113.0050	0.000	1	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[5a]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[5a]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	111.7380	0.923	4	111.7380	0.923	4	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	114.8840	0.000	1	114.8840	0.000	1	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6a]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6a]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	115.3524	1.783	12	115.3524	1.783	12	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6a]C)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6a]C)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.0555	1.549	8	113.0555	1.549	8	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6a]H)(NHS)	S(C[6a]C[6a,6a]C[6a])(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6a]H)(NHS)	S(C[6a]C[6a,6a]C[6a])(NHN)(O)2	113.8090	0.000	1	113.8090	0.000	1	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6a]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6a]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	114.6337	1.657	13	114.6337	1.657	13	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CSiC)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CSiC)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.2290	1.024	2	113.2290	1.024	2	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C[5]-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC[5])(H)	N(C[5]C[5,6a]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC[5])(H)	N(C[5]C[5,6a]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	114.0690	0.000	1	114.0690	0.000	1	114.1792	2.513	4	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C[5]-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC[5])(H)	N(C[5]C[5,6a]C[5])(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC[5])(H)	N(C[5]C[5,6a]C[5])(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	115.9050	1.345	2	115.9050	1.345	2	114.1792	2.513	4	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C[5]-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC[5])(H)	N(C[5]C[5]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC[5])(H)	N(C[5]C[5]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	110.8380	0.000	1	110.8380	0.000	1	114.1792	2.513	4	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C[6]-3:N-3:	C[6]-3:N-3:O-1:O-1:	N(SC[6]OO)(NC[6])(H)	N(C[6]C[6]2)(NHS)	S(C[6]C[6]2)(NHN)(O)2	N(SC[6]OO)(NC[6])(H)	N(C[6]C[6]2)(NHS)	S(C[6]C[6]2)(NHN)(O)2	115.8060	0.000	1	115.8060	0.000	1	115.8060	0.000	1	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C[6]-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC[6])(H)	N(C[6]C[6]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC[6])(H)	N(C[6]C[6]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	112.7880	1.082	2	112.7880	1.082	2	112.7880	1.082	2	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:4:2:	3:3:	3:3:1:1:	S-4:C-4:N-2:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(CCHH)(NC)	N(CCH)(NCS)	S(C[6a]C[6a]2)(NCN)(O)2	N(SC[6a]OO)(CCHH)(NC)	N(CCH)(NCS)	S(C[6a]C[6a]2)(NCN)(O)2	110.2930	0.000	1	110.2930	0.000	1	110.2930	0.000	1	110.2930	0.000	1	114.0196	1.905	55	114.0196	1.905	55
670	210	998	0:SP2_SP2_SP3	N	N	P	4:4:2:	3:3:	2:2:3:1:	C-4:P-4:N-2:	C-3:N-3:	O-2:O-2:N-3:O-1:	N(CH3)(PO3)(NC)	N(CC[6a]H)(NCP)	P(OC[6a])2(NCN)(O)	N(CH3)(PO3)(NC)	N(CC[6a]H)(NCP)	P(OC[6a])2(NCN)(O)	115.5560	0.000	1	115.5560	0.000	1	115.5560	0.000	1	115.5560	0.000	1	115.0185	2.837	4	115.0185	2.837	4
670	210	998	0:SP2_SP2_SP3	N	N	P	4:4:2:	3:3:	3:3:3:1:	P-4:C-4:N-2:	C-3:N-3:	C[6a]-3:N-3:N-3:O-1:	N(PC[6a]NO)(CH3)(NC)	N(CC[6a]H)(NCP)	P(C[6a]C[6a]2)(NCN)2(O)	N(PC[6a]NO)(CH3)(NC)	N(CC[6a]H)(NCP)	P(C[6a]C[6a]2)(NCN)2(O)	116.5140	2.633	2	116.5140	2.633	2	116.5140	2.633	2	114.8393	3.447	3	115.0185	2.837	4	115.0185	2.837	4
670	210	998	0:SP2_SP2_SP3	N	N	P	4:4:2:	3:3:	3:3:3:1:	P-4:C-4:N-2:	C-3:N-3:	N-3:N-3:N-3:S-1:	N(PNNS)(CH3)(NC)	N(CC[6a]H)(NCP)	P(NCN)3(S)	N(PNNS)(CH3)(NC)	N(CC[6a]H)(NCP)	P(NCN)3(S)	111.4900	0.000	1	111.4900	0.000	1	111.4900	0.000	1	114.8393	3.447	3	115.0185	2.837	4	115.0185	2.837	4
670	210	998	0:SP3_SP2_SP3	N	N	P	4:2:1:	3:3:	4:4:4:3:	P-4:N-2:H-1:	C-3:N-3:	C[6]-4:C[6]-4:C[6]-4:N-3:	N(PC[6]3)(NC)(H)	N(CC[6a]H)(NHP)	P(C[6]C[6]2H)3(NHN)	N(PC[6]3)(NC)(H)	N(CC[6a]H)(NHP)	P(C[6]C[6]2H)3(NHN)	120.1360	0.000	1	120.1360	0.000	1	120.1360	0.000	1	120.1360	0.000	1	114.0467	2.953	14	114.0467	2.953	14
