762	466	973	3:4:2:	4:3:1:1:	3:3:	C[6]-3:C[6]-4:O-2:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-3:C-3:	C[6](C[6]C[6,6]C)(C[6]C[6]HH)(OC)	C[6](C[6]C[6,6]HH)(C[6]C[6]O)(H)2	O(C[6]C[6]2)(COO)	C[6](C[6]C[6,6]C)(C[6]C[6]HH)(OC){2|C<4>,3|H<1>}	C[6](C[6]C[6,6]HH)(C[6]C[6]O)(H)2{1|C<3>,3|C<4>}	O(C[6]C[6]2)(COO)	111.7530	0.000	1	111.7530	0.000	1     114.1285       3.359      2      114.1285     3.359     2
762	466	973	3:4:2:	4:3:1:1:	3:3:	C[6]-3:C[6]-4:O-2:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-3:C-3:	C[6](C[6]C[6,6]H)(C[6]C[6]HH)(OC)	C[6](C[6]C[6,6]HH)(C[6]C[6]O)(H)2	O(C[6]C[6]2)(CCO)	C[6](C[6]C[6,6]H)(C[6]C[6]HH)(OC){1|C<3>,1|C<4>,2|H<1>}	C[6](C[6]C[6,6]HH)(C[6]C[6]O)(H)2{1|C<3>,1|C<4>,2|H<1>}	O(C[6]C[6]2)(CCO)	116.5040	0.000	1	116.5040	0.000	1     114.1285       3.359      2      114.1285     3.359     2
762	466	973	3:4:2:	4:3:1:1:	3:4:	C[6]-3:C[6]-4:O-2:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-3:C-4:	C[6](C[6]C[5,6]H)(C[6]C[6]HH)(OC)	C[6](C[6]C[5,6]HH)(C[6]C[6]O)(H)2	O(C[6]C[6]2)(CCHH)	C[6](C[6]C[5,6]H)(C[6]C[6]HH)(OC){2|H<1>,3|C<4>}	C[6](C[6]C[5,6]HH)(C[6]C[6]O)(H)2{1|C<4>,1|N<3>,2|H<1>}	O(C[6]C[6]2)(CCHH)	109.9810	0.000	1	109.9810	0.000	1     109.9810       0.000      1      115.0060     7.106     2
762	466	973	3:4:2:	4:3:1:1:	3:4:	C[6]-3:C[6]-4:O-2:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-3:S-4:	C[6](C[6]C[5]C[6])(C[6]C[6]HH)(OS)	C[6](C[6]C[6]HH)(C[6]C[6]O)(H)2	O(C[6]C[6]2)(SCOO)	C[6](C[6]C[5]C[6])(C[6]C[6]HH)(OS){1|C<4>,1|O<1>,1|O<2>,2|C<3>,2|H<1>}	C[6](C[6]C[6]HH)(C[6]C[6]O)(H)2{1|C<3>,1|C<4>,2|H<1>}	O(C[6]C[6]2)(SCOO)	120.0310	0.000	1	120.0310	0.000	1     120.0310       0.000      1      115.0060     7.106     2
762	466	973	3:4:2:	4:3:2:1:	3:4:	C[6]-3:C[6]-4:O-2:	C[6]-4:C[6]-3:O-2:H-1:	C[6]-3:C-4:	C[6](C[6]C[3x6]H)(C[6]C[6]HO)(OC)	C[6](C[6]C[3x6]HH)(C[6]C[6]O)(OH)(H)	O(C[6]C[6]2)(CH3)	C[6](C[6]C[3x6]H)(C[6]C[6]HO)(OC){2|C<4>,3|H<1>}	C[6](C[6]C[3x6]HH)(C[6]C[6]O)(OH)(H){1|C<3>,1|H<1>,2|C<4>}	O(C[6]C[6]2)(CH3)	109.7205	0.476	2	109.7205	0.476	2     109.7205       0.476      2      109.7205     0.476     2
762	466	973	3:4:2:	4:4:3:1:	3:2:	C[6,6]-3:C[3x6]-4:O-2:	C[6,6]-4:C[6,6]-4:C[6,6]-3:H-1:	C[6,6]-3:H-2:	C[6,6](C[6,6]C[3x6]C[6,6])(C[3x6]C[6,6]2H)(OH)	C[3x6](C[6,6]C[6,6]HH)2(C[6,6]C[6,6]O)(H)	O(C[6,6]C[3x6]C[6,6])(HO)	C[6,6](C[6,6]C[3x6]C[6,6])(C[3x6]C[6,6]2H)(OH){1|C<3>,3|C<4>,5|H<1>}	C[3x6](C[6,6]C[6,6]HH)2(C[6,6]C[6,6]O)(H){1|C<3>,1|C<4>,4|H<1>}	O(C[6,6]C[3x6]C[6,6])(HO)	119.9125	0.265	2	119.9125	0.265	2     119.9125       0.265      2      119.9125     0.265     2
762	466	973	4:2:2:	3:2:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-2:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[5,6])(OC)	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[5,6])(OC){1|C<3>,1|C<4>,1|O<2>}	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	111.8870	0.000	1	111.0087	0.794	3     110.6497       0.597      11      110.6497     0.597     11
762	466	973	4:2:2:	3:2:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-2:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[5,6])(OC)	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[5,6])(OC){1|C<3>,2|C<4>}	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.5695	0.322	2	111.0087	0.794	3     110.6497       0.597      11      110.6497     0.597     11
762	466	973	4:2:2:	3:2:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-2:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6,6])(OC)	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6,6])(OC){1|C<3>,2|C<4>}	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.2870	0.177	2	110.2870	0.177	2     110.6497       0.597      11      110.6497     0.597     11
762	466	973	4:2:2:	3:2:4:1:	3:4:	C[6]-4:N[6]-2:O-2:	C[6]-3:N[6]-2:C-4:H-1:	C[6]-3:C-4:	C[6](C[6]N[6]CH)(N[6]C[6])(OC)	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H)	O(C[6]C[6]N[6])(CH3)	C[6](C[6]N[6]CH)(N[6]C[6])(OC){1|C<3>,1|C<4>,1|H<1>}	C[6](C[6]N[6]O)(N[6]C[6])(CCCH)(H){1|C<4>,1|O<2>}	O(C[6]C[6]N[6])(CH3)	110.6898	0.703	4	110.6898	0.703	4     110.6497       0.597      11      110.6497     0.597     11
