474	474	542	3:2:4:1:	4:4:1:1:	4:4:4:	N[5,6]-3:O[6]-2:C[5]-4:H-1:	C[5,6]-4:C[5]-4:H-1:H-1:	C[6]-4:C[5,6]-4:C[5]-4:	C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H)	C[5](C[5,6]N[5,6]O[6]H)(C[5]C[5]HH)(H)2	N[5,6](C[6]C[6,6a]C[6a]H)(C[5,6]C[5]O[6]H)(C[5]C[5]HH)	C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H){3|C<3>,5|H<1>}	C[5](C[5,6]N[5,6]O[6]H)(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,2|H<1>}	N[5,6](C[6]C[6,6a]C[6a]H)(C[5,6]C[5]O[6]H)(C[5]C[5]HH){1|N<2>,3|C<3>,4|H<1>}	104.5070	0.000	1	104.3973	0.095	3     104.3973       0.095      3      104.3973     0.095     3
474	474	542	3:2:4:1:	4:4:1:1:	4:4:4:	N[5,6]-3:O[6]-2:C[5]-4:H-1:	C[5,6]-4:C[5]-4:H-1:H-1:	C[6]-4:C[5,6]-4:C[5]-4:	C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H)	C[5](C[5,6]N[5,6]O[6]H)(C[5]C[5]HH)(H)2	N[5,6](C[6]C[6,6a]C[6a]H)(C[5,6]C[5]O[6]H)(C[5]C[5]HH)	C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H){3|C<3>,5|H<1>}	C[5](C[5,6]N[5,6]O[6]H)(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,2|H<1>}	N[5,6](C[6]C[6,6a]C[6a]H)(C[5,6]C[5]O[6]H)(C[5]C[5]HH){4|C<3>,4|H<1>}	104.3425	0.008	2	104.3973	0.095	3     104.3973       0.095      3      104.3973     0.095     3
474	474	542	3:2:4:3:	4:3:1:1:	4:3:4:	N[5,6]-3:O[6,6]-2:C[5]-4:C[6]-3:	C[5,6,6]-4:C[5]-3:H-1:H-1:	C[5,6,6]-4:C[6,6a]-3:C[5]-4:	C[5,6,6](N[5,6]C[6,6a]C[5])(O[6,6]C[3x6])(C[5]C[5]HH)(C[6]C[6]H)	C[5](C[5,6,6]N[5,6]O[6,6]C[6])(C[5]C[5]H)(H)2	N[5,6](C[5,6,6]O[6,6]C[5]C[6])(C[6,6a]C[6,6,6a]C[6a])(C[5]C[5]HH)	C[5,6,6](N[5,6]C[6,6a]C[5])(O[6,6]C[3x6])(C[5]C[5]HH)(C[6]C[6]H){2|C<3>,2|C<4>,4|H<1>}	C[5](C[5,6,6]N[5,6]O[6,6]C[6])(C[5]C[5]H)(H)2{1|C<4>,2|C<3>,3|H<1>}	N[5,6](C[5,6,6]O[6,6]C[5]C[6])(C[6,6a]C[6,6,6a]C[6a])(C[5]C[5]HH){1|C<4>,3|C<3>,5|H<1>}	103.9900	0.000	1	103.9900	0.000	1     103.9900       0.000      1      103.9900     0.000     1
474	474	542	3:2:4:3:	4:3:4:3:	3:4:4:	N[5]-3:S[5]-2:C[5]-4:C[5]-3:	C[5,5]-4:C[5]-3:C-4:C-3:	C[5,6a]-3:C[5,5]-4:C-4:	C[5,5](N[5]C[5,6a]C)(S[5]C[5,6a])(C[5]C[5]CC)(C[5]N[5]C)	C[5](C[5,5]C[5]N[5]S[5])(C[5]N[5]N)(CH3)(COO)	N[5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]2S[5])(CCHH)	C[5,5](N[5]C[5,6a]C)(S[5]C[5,6a])(C[5]C[5]CC)(C[5]N[5]C){1|N<2>,3|C<3>}	C[5](C[5,5]C[5]N[5]S[5])(C[5]N[5]N)(CH3)(COO){1|C<4>,4|C<3>}	N[5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]2S[5])(CCHH){1|C<4>,1|H<1>,1|N<3>,5|C<3>}	111.2100	0.000	1	111.2100	0.000	1     111.2100       0.000      1      111.2100     0.000     1
474	474	542	3:3:3:4:	4:3:1:1:	4:3:2:	C[6,6a]-3:C[6,6a]-3:N[5]-3:C[5]-4:	C[5,6]-4:C[5]-3:H-1:H-1:	C[5,6]-4:C[6a]-3:N[5]-2:	C[5,6](C[6,6a]C[6,6a]C[6a])2(N[5]C[6a]N[5])(C[5]C[5]HH)	C[5](C[5,6]C[6,6a]2N[5])(C[5]C[6a]N[5])(H)2	N[5](C[5,6]C[6,6a]2C[5])(C[6a]C[6a]2)(N[5]C[5])	C[5,6](C[6,6a]C[6,6a]C[6a])2(N[5]C[6a]N[5])(C[5]C[5]HH){2|H<1>,8|C<3>}	C[5](C[5,6]C[6,6a]2N[5])(C[5]C[6a]N[5])(H)2{7|C<3>}	N[5](C[5,6]C[6,6a]2C[5])(C[6a]C[6a]2)(N[5]C[5]){4|H<1>,7|C<3>}	100.2580	0.000	1	100.2580	0.000	1     100.2580       0.000      1      100.2580     0.000     1
474	474	542	3:3:3:4:	4:3:1:1:	4:3:3:	N[5]-3:C[6a]-3:C[6a]-3:C[5]-4:	C[5]-4:N[5]-3:H-1:H-1:	C[5]-4:C[6a]-3:C[5]-3:	C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)2(C[5]N[5]HH)	C[5](C[5]C[6a]2N[5])(N[5]C[6a]C[5])(H)2	N[5](C[5]C[6a]2C[5])(C[6a]C[6a]2)(C[5]N[5]H)	C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)2(C[5]N[5]HH){5|H<1>,7|C<3>}	C[5](C[5]C[6a]2N[5])(N[5]C[6a]C[5])(H)2{1|H<1>,7|C<3>}	N[5](C[5]C[6a]2C[5])(C[6a]C[6a]2)(C[5]N[5]H){2|C<4>,2|H<1>,7|C<3>}	99.6299	0.301	2	99.6299	0.301	2     99.6299       0.301      2      99.6299     0.301     2
474	474	542	3:3:3:4:	4:3:4:1:	4:4:1:	C[6a]-3:C[6a]-3:N[5]-3:C[5]-4:	C[5]-4:N[5]-3:C-4:H-1:	C[5]-4:P[5,5]-4:H-1:	C[5](C[6a]C[6a]2)2(N[5]P[5,5]H)(C[5]N[5]CH)	C[5](C[5]C[6a]2N[5])(N[5]P[5,5]C)(CCCH)(H)	N[5](C[5]C[6a]2C[5])(P[5,5]N[5]3)(H)	C[5](C[6a]C[6a]2)2(N[5]P[5,5]H)(C[5]N[5]CH){1|C<4>,2|N<3>,4|C<3>,4|H<1>}	C[5](C[5]C[6a]2N[5])(N[5]P[5,5]C)(CCCH)(H){1|H<1>,2|N<3>,4|C<3>}	N[5](C[5]C[6a]2C[5])(P[5,5]N[5]3)(H){2|H<1>,4|C<3>,5|C<4>}	102.1270	0.918	2	102.1270	0.918	2     102.3593       0.604      4      102.3593     0.604     4
474	474	542	3:3:3:4:	4:3:4:1:	4:4:1:	C[6a]-3:C[6a]-3:N[5]-3:C[5]-4:	C[5]-4:N[5]-3:C-4:H-1:	C[5]-4:P[5,5]-4:H-1:	C[5](C[6a]C[6a]2)2(N[5]P[5,5]H)(C[5]N[5]CH)	C[5](C[5]C[6a]2N[5])(N[5]P[5,5]H)(CCCH)(H)	N[5](C[5]C[6a]2C[5])(P[5,5]N[5]3)(H)	C[5](C[6a]C[6a]2)2(N[5]P[5,5]H)(C[5]N[5]CH){2|N<3>,4|C<3>,5|H<1>}	C[5](C[5]C[6a]2N[5])(N[5]P[5,5]H)(CCCH)(H){1|H<1>,2|N<3>,4|C<3>}	N[5](C[5]C[6a]2C[5])(P[5,5]N[5]3)(H){3|C<4>,4|C<3>,4|H<1>}	102.5915	0.192	2	102.5915	0.192	2     102.3593       0.604      4      102.3593     0.604     4
474	474	542	3:3:3:4:	4:4:1:1:	4:2:3:	C[6,6,6a]-3:C[6,6,6a]-3:N[5,6,6]-3:C[5]-4:	C[5,3x6]-4:C[5]-4:H-1:H-1:	C[5,3x6]-4:O[6,6]-2:C[5]-3:	C[5,3x6](C[6,6,6a]C[6,6,6a]C[6a])2(N[5,6,6]O[6,6]C[5])(C[5]C[5]HH)	C[5](C[5,3x6]C[6,6,6a]2N[5,6,6])(C[5]C[5]HH)(H)2	N[5,6,6](C[5,3x6]C[6,6,6a]2C[5])(O[6,6]C[3x6])(C[5]C[5]O)	C[5,3x6](C[6,6,6a]C[6,6,6a]C[6a])2(N[5,6,6]O[6,6]C[5])(C[5]C[5]HH){1|C<4>,1|O<1>,4|C<3>,4|H<1>}	C[5](C[5,3x6]C[6,6,6a]2N[5,6,6])(C[5]C[5]HH)(H)2{1|O<1>,1|O<2>,4|C<3>}	N[5,6,6](C[5,3x6]C[6,6,6a]2C[5])(O[6,6]C[3x6])(C[5]C[5]O){1|C<4>,4|C<3>,4|H<1>}	99.2713	0.000	1	99.2713	0.000	1     99.2713       0.000      1      99.2713     0.000     1
474	474	542	3:3:3:4:	4:4:1:1:	4:3:1:	N[5,5]-3:N[5]-3:C[6a]-3:C[5]-4:	C[5,5]-4:C[5]-4:H-1:H-1:	C[5,5]-4:C[5,6a]-3:H-1:	C[5,5](N[5,5]C[5,6a]C[5])(N[5]C[5,6a]H)(C[6a]C[6a]2)(C[5]C[5]HH)	C[5](C[5,5]N[5,5]C[6a]N[5])(C[5]C[5]HH)(H)2	N[5](C[5,5]N[5,5]C[6a]C[5])(C[5,6a]C[5,6a]C[6a])(H)	C[5,5](N[5,5]C[5,6a]C[5])(N[5]C[5,6a]H)(C[6a]C[6a]2)(C[5]C[5]HH){1|O<1>,4|C<3>,4|H<1>}	C[5](C[5,5]N[5,5]C[6a]N[5])(C[5]C[5]HH)(H)2{1|H<1>,1|O<1>,4|C<3>}	N[5](C[5,5]N[5,5]C[6a]C[5])(C[5,6a]C[5,6a]C[6a])(H){1|C<4>,3|H<1>,5|C<3>}	115.5010	0.000	1	115.5010	0.000	1     115.5010       0.000      1      115.5010     0.000     1
