846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(OY)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O){1|O<1>}	C[4](C[4]C[4]O)2(OY){1|O<1>}	C[4](C[4]C[4]O)2(O){1|O<2>}	89.5139	0.799	4	89.5139	0.799	4     89.1239       0.781      40      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]C)(C[4a]C[4a]O)(OLa)	C[4a](C[4a]C[4a]C)(C[4a]C[4a]O)(O)	C[4a](C[4a]C[4a]O)2(O){1|C<4>}	C[4a](C[4a]C[4a]C)(C[4a]C[4a]O)(OLa){1|O<1>}	C[4a](C[4a]C[4a]C)(C[4a]C[4a]O)(O){1|O<2>}	86.4230	1.338	3	86.4230	1.338	3     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]C[5])(C[4a]C[4a]O)(OC)	C[4a](C[4a]C[4a]C[5])(C[4a]C[4a]O)(O)	C[4a](C[4a]C[4a]O)2(O){1|C<3>}	C[4a](C[4a]C[4a]C[5])(C[4a]C[4a]O)(OC){1|C<3>,1|O<1>,1|S<2>}	C[4a](C[4a]C[4a]C[5])(C[4a]C[4a]O)(O){1|C<3>,1|O<2>,1|S<2>}	85.8162	0.000	1	85.8162	0.000	1     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]C[6a])(C[4a]C[4a]O)(OEu)	C[4a](C[4a]C[4a]C[6a])(C[4a]C[4a]O)(O)	C[4a](C[4a]C[4a]O)2(O){1|C<3>}	C[4a](C[4a]C[4a]C[6a])(C[4a]C[4a]O)(OEu){1|O<1>,2|C<3>}	C[4a](C[4a]C[4a]C[6a])(C[4a]C[4a]O)(O){1|O<2>,2|C<3>}	87.7937	1.220	2	87.7937	1.220	2     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(OC)	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(O)	C[4a](C[4a]C[4a]O)2(O){1|N<3>}	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(OC){1|O<1>}	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(O){1|O<2>}	87.2427	0.716	5	87.2427	0.716	5     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(OCo)	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(O)	C[4a](C[4a]C[4a]O)2(O){1|N<3>}	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(OCo){1|O<1>}	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(O){1|O<2>}	89.3754	0.000	1	89.3754	0.000	1     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(ONi)	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(O)	C[4a](C[4a]C[4a]O)2(O){1|N<3>}	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(ONi){1|O<1>}	C[4a](C[4a]C[4a]N)(C[4a]C[4a]O)(O){1|O<2>}	89.0249	0.524	2	89.0249	0.524	2     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OC)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OC){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	88.3267	0.585	2	88.3267	0.585	2     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OCd)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OCd){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	89.5846	0.200	4	89.5846	0.200	4     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OEu)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OEu){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	89.6389	2.284	2	89.6389	2.284	2     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OGd)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OGd){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	89.5825	1.270	2	89.5825	1.270	2     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OH)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OH){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	88.3146	0.524	15	88.3146	0.524	15     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OMn)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OMn){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	88.7804	0.000	1	88.7804	0.000	1     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OMo)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OMo){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	88.4729	0.212	6	88.4729	0.212	6     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(ONi)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(ONi){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	89.5700	0.000	1	89.5700	0.000	1     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OTb)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OTb){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	89.6400	1.038	2	89.6400	1.038	2     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OY)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OY){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	88.7748	1.382	4	88.7748	1.382	4     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-1:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OZn)	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	C[4a](C[4a]C[4a]O)2(OZn){1|O<1>}	C[4a](C[4a]C[4a]O)2(O){1|O<2>}	89.4514	0.000	1	89.4514	0.000	1     88.4349       1.157      54      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-2:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]C)(C[4]C[4]O)(OGd)	C[4](C[4]C[4]C)(C[4]C[4]O)(OGd)	C[4](C[4]C[4]O)2(O){1|C<4>}	C[4](C[4]C[4]C)(C[4]C[4]O)(OGd){1|O<2>}	C[4](C[4]C[4]C)(C[4]C[4]O)(OGd){1|O<2>}	86.2638	0.203	2	86.2638	0.203	2     87.5384       1.275      6      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-2:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(OCo)	C[4](C[4]C[4]N)(C[4]C[4]O)(OCo)	C[4](C[4]C[4]O)2(O){1|N<3>}	C[4](C[4]C[4]N)(C[4]C[4]O)(OCo){1|O<2>}	C[4](C[4]C[4]N)(C[4]C[4]O)(OCo){1|O<2>}	88.5852	0.000	1	88.5852	0.000	1     87.5384       1.275      6      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-2:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(OCd)	C[4](C[4]C[4]O)2(OH)	C[4](C[4]C[4]O)2(O){1|O<2>}	C[4](C[4]C[4]O)2(OCd){1|O<2>}	C[4](C[4]C[4]O)2(OH){1|O<2>}	88.4295	0.000	1	88.4295	0.000	1     87.5384       1.275      6      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-2:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(OMn)	C[4](C[4]C[4]O)2(OH)	C[4](C[4]C[4]O)2(O){1|O<2>}	C[4](C[4]C[4]O)2(OMn){1|O<2>}	C[4](C[4]C[4]O)2(OH){1|O<2>}	89.0186	0.000	1	89.0186	0.000	1     87.5384       1.275      6      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-2:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(OEu)	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(OEu)	C[4](C[4]C[4]O)2(O){1|C<3>}	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(OEu){1|O<2>,2|C<3>}	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(OEu){1|O<2>,2|C<3>}	86.6695	0.000	1	86.6695	0.000	1     87.5384       1.275      6      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OCd)	C[4a](C[4a]C[4a]O)2(OCd)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(OCd){1|O<2>}	C[4a](C[4a]C[4a]O)2(OCd){1|O<2>}	89.3655	0.434	5	89.3655	0.434	5     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OCo)	C[4a](C[4a]C[4a]O)2(OCo)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(OCo){1|O<2>}	C[4a](C[4a]C[4a]O)2(OCo){1|O<2>}	90.2973	0.300	4	90.2973	0.300	4     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OFe)	C[4a](C[4a]C[4a]O)2(OFe)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(OFe){1|O<2>}	C[4a](C[4a]C[4a]O)2(OFe){1|O<2>}	89.7736	0.000	2	89.7736	0.000	2     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OH)	C[4a](C[4a]C[4a]O)2(OH)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(OH){1|O<2>}	C[4a](C[4a]C[4a]O)2(OH){1|O<2>}	89.5054	0.229	3	89.5054	0.229	3     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OMn)	C[4a](C[4a]C[4a]O)2(OMn)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(OMn){1|O<2>}	C[4a](C[4a]C[4a]O)2(OMn){1|O<2>}	89.9359	0.099	6	89.9359	0.099	6     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(ONi)	C[4a](C[4a]C[4a]O)2(ONi)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(ONi){1|O<2>}	C[4a](C[4a]C[4a]O)2(ONi){1|O<2>}	90.1721	0.359	2	90.1721	0.359	2     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:2:	3:3:2:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-2:	C[4a]-3:C[4a]-3:O-2:	C[4a](C[4a]C[4a]O)2(O)	C[4a](C[4a]C[4a]O)2(OZn)	C[4a](C[4a]C[4a]O)2(OZn)	C[4a](C[4a]C[4a]O)2(O){1|O<1>}	C[4a](C[4a]C[4a]O)2(OZn){1|O<2>}	C[4a](C[4a]C[4a]O)2(OZn){1|O<2>}	90.1031	0.456	7	90.1031	0.456	7     89.8883       0.445      29      89.4855     1.100     35
846	846	846	3:3:1:	3:3:3:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:N-3:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]N)(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(NCH)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(O){1|O<1>}	C[4](C[4]C[4]O)2(NCH){1|O<1>}	C[4](C[4]C[4]O)2(O){1|N<3>}	89.7588	0.520	4	89.7588	0.520	4     89.7588       0.520      4      88.5774     0.793     49
846	846	846	3:3:1:	3:3:3:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:N[6]-3:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]N[6])(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(N[6]C[6]2)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N[6])(C[4]C[4]O)(O){1|O<1>,2|C<3>}	C[4](C[4]C[4]O)2(N[6]C[6]2){1|H<1>,1|N<3>,1|O<1>,2|C<3>}	C[4](C[4]C[4]O)2(O){1|N<3>}	88.1869	0.529	2	87.8606	0.362	10     87.8606       0.362      10      88.5774     0.793     49
