466	490	762	2:3:4:1:	4:4:1:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-4:H-1:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCHH)(H)	C(C[6]C[6]N[6]H)(CCHH)(H)2	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCHH)(H){2|C<4>}	C(C[6]C[6]N[6]H)(CCHH)(H)2	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	112.2620	0.000	1	112.2620	0.000	1     111.3840       1.242      2      112.6442     1.460     5
466	490	762	2:3:4:1:	4:4:1:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-4:H-1:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCHH)(H)	C(C[6]C[6]N[6]H)(CH3)(H)2	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCHH)(H){2|C<4>}	C(C[6]C[6]N[6]H)(CH3)(H)2	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	110.5060	0.000	1	110.5060	0.000	1     111.3840       1.242      2      112.6442     1.460     5
466	490	762	2:3:4:1:	4:4:1:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-4:H-1:O-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCHO)(H)	C(C[6]C[6]N[6]H)(CCCH)(H)(O)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CCHO)(H){2|C<4>}	C(C[6]C[6]N[6]H)(CCCH)(H)(O)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	113.4843	0.918	3	113.4843	0.918	3     113.4843       0.918      3      112.6442     1.460     5
466	490	762	2:3:4:1:	4:4:2:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6]-4:O-2:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6]HO)(H)	C(C[6]C[6]N[6]H)(C[6]C[6]2H)(OH)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6]HO)(H){2|C<4>}	C(C[6]C[6]N[6]H)(C[6]C[6]2H)(OH)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	109.2270	0.000	1	109.2270	0.000	1     109.2270       0.000      1      109.2270     0.000     1
466	490	762	2:3:4:1:	4:4:3:1:	4:2:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-4:C-3:H-1:	C[6]-4:O[6]-2:O-1:	C[6](N[6]C[3x6])(C[6]O[6]O)(CCCH)(H)	C(C[6]C[6]N[6]H)(CH3)(CCO)(H)	C[6](C[6]N[6]CH)(O[6]C[3x6])(O)	C[6](N[6]C[3x6])(C[6]O[6]O)(CCCH)(H){2|C<4>}	C(C[6]C[6]N[6]H)(CH3)(CCO)(H)	C[6](C[6]N[6]CH)(O[6]C[3x6])(O){1|C<3>,2|C<4>}	111.2620	0.000	1	111.2620	0.000	1     111.2620       0.000      1      111.2620     0.000     1
466	490	762	2:3:4:1:	4:4:3:2:	4:2:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-4:C-3:O-2:	C[6]-4:O[6]-2:O-1:	C[6](N[6]C[3x6])(C[6]O[6]O)(CCCO)(H)	C(C[6]C[6]N[6]H)(CH3)(CCO)(OH)	C[6](C[6]N[6]CH)(O[6]C[3x6])(O)	C[6](N[6]C[3x6])(C[6]O[6]O)(CCCO)(H){2|C<4>}	C(C[6]C[6]N[6]H)(CH3)(CCO)(OH)	C[6](C[6]N[6]CH)(O[6]C[3x6])(O){1|C<3>,2|C<4>}	110.0800	0.000	1	110.0800	0.000	1     110.0800       0.000      1      110.0800     0.000     1
466	490	762	2:3:4:1:	4:4:4:1:	4:2:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-4:C-4:H-1:	C[6]-4:O[6]-2:O-1:	C[6](N[6]C[3x6])(C[6]O[6]O)(CCCH)(H)	C(C[6]C[6]N[6]H)(CCHO)(CH3)(H)	C[6](C[6]N[6]CH)(O[6]C[3x6])(O)	C[6](N[6]C[3x6])(C[6]O[6]O)(CCCH)(H){2|C<4>}	C(C[6]C[6]N[6]H)(CCHO)(CH3)(H)	C[6](C[6]N[6]CH)(O[6]C[3x6])(O){1|C<3>,2|C<4>}	110.9200	0.000	1	110.9200	0.000	1     110.9200       0.000      1      110.9200     0.000     1
466	490	762	2:3:4:2:	4:1:1:1:	3:4:3:	O[6]-2:C[6]-3:C-4:O-2:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:C-3:	C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)(OC)	C(C[6]C[6]O[6]O)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CO)(CCO)	C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)(OC){1|H<1>,2|C<3>}	C(C[6]C[6]O[6]O)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CO)(CCO){2|C<3>}	116.1190	0.000	1	116.1190	0.000	1     116.1932       0.847      5      116.1932     0.847     5
466	490	762	2:3:4:2:	4:1:1:1:	3:4:3:	O[6]-2:C[6]-3:C-4:O-2:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:C-3:	C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)(OH)	C(C[6]C[6]O[6]O)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CO)(CCO)	C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)(OH){1|H<1>,2|C<3>}	C(C[6]C[6]O[6]O)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CO)(CCO){2|C<3>}	116.0960	1.163	3	116.0960	1.163	3     116.1932       0.847      5      116.1932     0.847     5
466	490	762	2:3:4:2:	4:1:1:1:	3:4:3:	O[6]-2:C[6]-3:C-4:O-2:	C[6]-4:H-1:H-1:H-1:	C[6]-3:C[6]-4:C-3:	C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)(OH)	C(C[6]C[6]O[6]O)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CO)(CC[6a]O)	C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)(OH){1|H<1>,2|C<3>}	C(C[6]C[6]O[6]O)(H)3	C[6](C[6]C[6,6a]H)(C[6]O[6]CO)(CC[6a]O){2|C<3>}	116.5590	0.000	1	116.5590	0.000	1     116.1932       0.847      5      116.1932     0.847     5
