490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[6a]HH){1|C<3>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,2|H<1>}	113.2880	0.996	4	112.8491	1.475	7     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[6a]HH){1|C<4>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,1|C<4>,1|H<1>}	111.1160	0.617	2	112.8491	1.475	7     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]I)(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]I)(N[5a]N[5a])(CC[6a]HH){1|C<3>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,2|H<1>}	112.5400	0.000	1	112.5400	0.000	1     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	N[5a]-3:C[6a]-3:H-1:H-1:	C[5a,6a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(N[5a]C[5a,6a]N[5a])(C[6a]C[6a]N[6a])(H)2	N[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(N[5a]C[5a,6a]N[5a])(C[6a]C[6a]N[6a])(H)2	N[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(CC[6a]HH){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,1|C<4>,1|H<1>}	113.9640	0.539	2	113.9640	0.539	2     113.9640       0.539      2      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	C[6]-3:N[5]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	C[6]-3:N[6]-3:C-4:	C(C[6]C[6]N[6])(N[5]C[5]N[5])(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH)	C[6](C[6]C[6]H)(N[6]C[6]H)(CN[5]HH)	C(C[6]C[6]N[6])(N[5]C[5]N[5])(H)2	N[5](C[5]C[5]H)(N[5]N[5])(CC[6]HH){1|Pd<4>,1|C<3>}	C[6](C[6]C[6]H)(N[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	111.2570	0.000	1	111.2570	0.000	1     111.2570       0.000      1      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	C[6]-3:N[5]-3:H-1:H-1:	C[5]-3:N[5]-2:C-4:	N[6]-3:C[6]-3:C-4:	C(C[6]C[6]N[6])(N[5]C[5]N[5])(H)2	N[5](C[5]C[5]Ru)(N[5]N[5])(CC[6]HH)	C[6](N[6]C[6]Ru)(C[6]C[6]H)(CN[5]HH)	C(C[6]C[6]N[6])(N[5]C[5]N[5])(H)2	N[5](C[5]C[5]Ru)(N[5]N[5])(CC[6]HH){1|C<3>,1|C<4>}	C[6](N[6]C[6]Ru)(C[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	111.9440	0.000	1	111.9440	0.000	1     111.9440       0.000      1      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a,6a]-3:C[6a]-3:C-4:	C(C[6a]C[6a,6a]C[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C)(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(CN[5a]HH)	C(C[6a]C[6a,6a]C[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C)(N[5a]C[5a])(CC[6a]HH){1|C<4>,1|H<1>}	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(CN[5a]HH){2|H<1>,3|C<3>}	114.3480	0.544	3	114.3480	0.544	3     113.7944       1.006      5      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a,6a]-3:C[6a]-3:C-4:	C(C[6a]C[6a,6a]C[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(CN[5a]HH)	C(C[6a]C[6a,6a]C[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH){1|C<3>,1|H<1>}	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(CN[5a]HH){2|H<1>,3|C<3>}	113.7260	0.000	1	113.7260	0.000	1     113.7944       1.006      5      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a,6a]-3:C[6a]-3:C-4:	C(C[6a]C[6a,6a]C[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a,6a]C[6a,6a]O[6a])(C[6a]C[6a]O)(CN[5a]HH)	C(C[6a]C[6a,6a]C[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH){2|C<3>}	C[6a](C[6a,6a]C[6a,6a]O[6a])(C[6a]C[6a]O)(CN[5a]HH){1|H<1>,3|C<3>}	112.2020	0.000	1	112.2020	0.000	1     113.7944       1.006      5      112.4828     1.343     254
490	542	762	3:3:1:1:	3:2:4:	3:3:4:	N[5]-3:C[6]-3:H-1:H-1:	C[5,6a]-3:N[5]-2:C-4:	N[6]-3:C[6]-3:C-4:	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH)	C[6](N[6]C[6]Ag)(C[6]C[6]H)(CN[5]HH)	C(N[5]C[5,6a]N[5])(C[6]C[6]N[6])(H)2	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(CC[6]HH){1|Ag<2>,1|H<1>,2|C<3>}	C[6](N[6]C[6]Ag)(C[6]C[6]H)(CN[5]HH){1|C<3>,2|H<1>}	112.5050	0.000	1	112.4390	0.093	2     111.4060       1.561      6      112.4828     1.343     254
