955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_0_0     Cl-0:O-0_0:O-0:O-0     O(SClOO)    S(OC[6])(Cl)(O)2     O(SClOO)    S(OC[6])(Cl)(O)2   1.3868    0.0105    2     1.3868     0.0105    2
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_0_0     F-0:F-0:N-1_0:O-0     O(SFFN)    S(NC)(F)2(O)     O(SFFN)    S(NC)(F)2(O)   1.3882    0.0016    3     1.3882     0.0016    3
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0:O-0:O-0:O-1_0     O(SO3)    S(OC[6a])(O)3     O(SO3)    S(OC[6a])(O)3   1.4337    0.0063    9     1.4337     0.0063    9
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0:O-0:O-0:S-0_0     O(SOOS)    S(SC)(O)3     O(SOOS)    S(SC)(O)3   1.4449    0.0046    9     1.4449     0.0046    9
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0:O-0:O-0:S-0_0     O(SOOS)    S(SS)(O)3     O(SOOS)    S(SS)(O)3   1.4275    0.0156    12     1.4275     0.0156    12
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0:O-0:O-0:S-1_0     O(SOOS)    S(SC[6a])(O)3     O(SOOS)    S(SC[6a])(O)3   1.4435    0.0109    8     1.4435     0.0109    8
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0_0:O-0:O-0:O-0     O(SO3)    S(OC)(O)3     O(SO3)    S(OC)(O)3   1.4397    0.0135    53     1.4397     0.0135    53
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0_0:O-0:O-0:O-0     O(SO3)    S(OC[5])(O)3     O(SO3)    S(OC[5])(O)3   1.4494    0.0132    3     1.4494     0.0132    3
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0_0:O-0:O-0:O-0     O(SO3)    S(OH)(O)3     O(SO3)    S(OH)(O)3   1.4482    0.0144    316     1.4482     0.0144    316
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0_0:O-0:O-0:O-0     O(SO3)    S(ON)(O)3     O(SO3)    S(ON)(O)3   1.4467    0.0004    4     1.4467     0.0004    4
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0_0:O-0:O-0:O-0     O(SO3)    S(ON[6])(O)3     O(SO3)    S(ON[6])(O)3   1.4328    0.0040    3     1.4328     0.0040    3
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_0     O-0_0:O-0:O-0:O-0     O(SO3)    S(OO)(O)3     O(SO3)    S(OO)(O)3   1.4361    0.0068    9     1.4361     0.0068    9
955    985     SP2_SP3    N    4:    2:1:1:1:    S-1_1_1_1     N-1_0:O-0:O-0:O-0     O(SNOO)    S(NC[6a])(O)3     O(SNOO)    S(NC[6a])(O)3   1.4289    0.0199    3     1.4289     0.0199    3
955    985     SP2_SP3    N    4:    2:1:1:1:    S-2_1_1_1     C-2_0:O-0:O-0:O-0     O(SCOO)    S(CC)(O)3     O(SCOO)    S(CC)(O)3   1.4458    0.0026    3     1.4458     0.0026    3
955    985     SP2_SP3    N    4:    2:2:1:1:    S-1_1_0_0     O-0_0:O-0:O-0:O-1_0     O(SO3)    S(OC[6a])(OC)(O)2     O(SO3)    S(OC[6a])(OC)(O)2   1.4129    0.0078    20     1.4129     0.0078    20
955    985     SP2_SP3    N    4:    2:2:1:1:    S-1_1_0_0     O-0_0:O-0_0:O-0:O-0     O(SO3)    S(OC)2(O)2     O(SO3)    S(OC)2(O)2   1.4090    0.0058    8     1.4090     0.0058    8
