856  941  SP2_SP2  N  4:3:2:  3:3:  C[6]-2_2_2:C[6]-3_2_2_0:N-2_2  C-2_2_0:N[6]-3_2_2  661_4177_1  599_9264_0  1.4178  0.0000  1  1.4178  0.0000  1  
856  941  SP2_SP2  N  4:3:2:  3:3:  C[6]-2_2_2_0:C[6]-2_2_2:N-2_2  C-2_2_0:N[6]-3_2_2  661_4177_2  599_9264_0  1.3819  0.0000  1  1.3819  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:1:  C[6]-2_2_2_0:C[6]-3_2_2_0:N-2_2  N[6]-3_3_2:O-2  661_2500_1  599_9278_0  1.3209  0.0000  1  1.3209  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:1:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  N[6]-3_3_2:O-2  661_3637_1  599_9278_0  1.3154  0.0000  1  1.3154  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:1:  C[6]-3_2_2_0:C[6]-3_2_2_0:N-2_2  N[6]-3_3_2:O-2  661_4097_1  599_9278_0  1.3213  0.0133  2  1.3294  0.0070  10  
856  941  SP2_SP2  N  4:4:2:  3:1:  C[6]-3_2_2_0:C[6]-3_2_2_0:N-2_2  N[6]-3_3_2:O-2  661_4097_2  599_9278_0  1.3319  0.0039  3  1.3294  0.0070  10  
856  941  SP2_SP2  N  4:4:2:  3:1:  C[6]-3_2_2_0:C[6]-3_2_2_0:N-2_2  N[6]-3_3_2:O-2  661_4097_3  599_9278_0  1.3312  0.0040  5  1.3294  0.0070  10  
856  941  SP2_SP2  N  4:4:2:  3:1:  Ga[6]-3_3_2_2:Ga[6]-3_3_2_2:N-2_1  N-2:N[6]-2_0_0  661_4712_1  599_9287_0  1.2355  0.0066  3  1.2355  0.0066  3  
856  941  SP2_SP2  N  4:4:2:  3:2:  C[6]-2_2_0_0:C[6]-3_2_0_0:N-2_2  N-2_2:N[6]-3_3_2  661_2612_1  599_9276_0  1.3188  0.0000  1  1.3188  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:2:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  N-2_2:N[6]-3_3_2  661_3634_1  599_9276_0  1.3461  0.0000  1  1.3461  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  C-2_2_0:N[6]-3_3_2  661_3626_1  599_9255_0  1.3822  0.0018  2  1.3822  0.0018  2  
856  941  SP2_SP2  N  4:4:2:  3:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  C-2_2_0:N[6]-3_3_2  661_3626_2  599_9258_0  1.3999  0.0000  1  1.3999  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  C-2_2_0:N[6]-3_3_2  661_3626_2  599_9264_0  1.3892  0.0000  1  1.3859  0.0031  3  
856  941  SP2_SP2  N  4:4:2:  3:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  C-2_2_0:N[6]-3_3_2  661_3626_3  599_9264_0  1.3831  0.0000  1  1.3859  0.0031  3  
856  941  SP2_SP2  N  4:4:2:  3:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  C-2_2_0:N[6]-3_3_2  661_3626_4  599_9264_0  1.3854  0.0000  1  1.3859  0.0031  3  
856  941  SP2_SP2  N  4:4:2:  3:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-2_2  C-3_2_2:N[6]-3_3_2  661_3626_4  599_9254_0  1.3679  0.0000  1  1.3679  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  3:4:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-3_2  N[6]-3_3_2:S-2_2_2_2  661_3642_1  599_9280_0  1.4099  0.0000  1  1.4099  0.0000  1  
856  941  SP2_SP2  N  4:4:2:  6:3:  C[6]-3_2_0_0:C[6]-3_2_0_0:N-6_2  Nb[5]-3_3_2_0_0_0:N[6]-3_3_2  661_3636_1  599_9376_0  1.3495  0.0000  1  1.3495  0.0000  1  
856  941  SP2_SP3  N  4:3:2:  3:3:  C[6]-3_2_2_0:C[6]-3_2_2:N-3_2  C-3_2_2:N[6]-3_2_2  661_4177_2  599_9261_0  1.4111  0.0000  1  1.4111  0.0000  1  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-2_2_0:N[6]-3_3_2  661_3626_2  599_9264_0  1.3780  0.0077  4  1.3807  0.0074  6  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-2_2_0:N[6]-3_3_2  661_3626_3  599_9264_0  1.3835  0.0000  1  1.3807  0.0074  6  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-2_2_0:N[6]-3_3_2  661_3626_4  599_9264_0  1.3885  0.0000  1  1.3807  0.0074  6  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-2_2_2:N[6]-3_3_2  661_3626_4  599_2938_0  1.3659  0.0000  1  1.3659  0.0000  1  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-2_2_2:N[6]-3_3_2  661_3626_4  599_9256_0  1.4246  0.0000  1  1.4246  0.0000  1  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-3_2_0:N[6]-3_3_2  661_3626_4  599_9255_0  1.3755  0.0000  1  1.3755  0.0000  1  
856  941  SP2_SP3  N  4:4:2:  3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N-3_2  C-3_2_2:N[6]-3_3_2  661_3626_4  599_9261_0  1.3514  0.0000  1  1.3514  0.0000  1  
856  942  SP-NON_SP2  Y  3:3:3:  3:3:4:  C[6a]-2_2_2:C[6]-3_2_2:Ga[6]-2_2_0  Ga-0_0_0_0:N[6]-2_2_0:N[6]-2_2_0  661_4622_1  502_43_1  1.9620  0.0091  2  1.9620  0.0091  2  
856  942  SP-NON_SP2  Y  3:3:3:  3:3:4:  C[6a]-2_2_2:C[6]-3_2_2:Ga[6]-2_2_0  Ga-2_2_2_0:N[6]-2_2_0:N[6]-2_2_0  661_4622_1  502_41_1  1.9235  0.0001  2  1.9235  0.0001  2  
856  942  SP-NON_SP2  Y  3:3:3:  3:3:4:  C[6a]-2_2_2:C[6]-3_2_2:Ga[6]-3_2_2  B-2_2_2_0:N[6]-2_2_0:N[6]-2_2_0  661_4620_1  502_35_1  1.9418  0.0084  4  1.9418  0.0084  4  
856  943  SP-NON_SP2  N  4:3:3:  2:2:2:3:  C[6]-2_2_0:C[6]-2_2_0:Ga[3x6]-3_3_3_2  N[6]-2_2_0:S[6,6]-0_0:S[6,6]-0_0:S[6,6]-0_0  661_4673_2  480_8_1  2.0365  0.0031  4  2.0335  0.0053  9  
856  943  SP-NON_SP2  N  4:3:3:  2:2:2:3:  C[6]-2_2_0:C[6]-2_2_0:Ga[3x6]-3_3_3_2  N[6]-2_2_0:S[6,6]-0_0:S[6,6]-0_0:S[6,6]-0_0  661_4673_1  480_8_1  2.0311  0.0057  5  2.0335  0.0053  9  
856  943  SP-NON_SP2  N  4:3:3:  2:2:3:1:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-3_3_2_0  Br-0:N[6]-2_2_0:Se[6]-0_0:Se[6]-0_0  661_4748_1  502_72_1  2.0371  0.0110  6  2.0371  0.0110  6  
856  943  SP-NON_SP2  N  4:3:3:  2:2:3:3:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-3_3_2_2  N[6]-2_2_0:N[6]-2_2_0:S[6]-0_0:S[6]-0_0  661_4734_1  502_69_1  1.9909  0.0007  2  1.9909  0.0007  2  
856  943  SP-NON_SP2  N  4:3:3:  2:3:2:2:  C[6]-2_2_0:C[6]-2_2_0:Ga[6,6]-3_3_3_2  N[6]-2_2_0:S[6,6]-0_0:S[6]-0_0:S[6]-0_0  661_4701_1  501_14_1  2.0209  0.0000  1  2.0209  0.0000  1  
856  943  SP-NON_SP2  N  4:3:3:  3:2:2:1:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-3_3_2_0  Br-0:N[6]-2_2_0:S[6]-0_0:S[6]-0_0  661_4746_2  502_25_1  2.0257  0.0048  3  2.0237  0.0039  6  
856  943  SP-NON_SP2  N  4:3:3:  3:2:2:1:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-3_3_2_0  Br-0:N[6]-2_2_0:S[6]-0_0:S[6]-0_0  661_4746_1  502_25_1  2.0216  0.0015  3  2.0237  0.0039  6  
856  943  SP-NON_SP2  N  4:3:3:  3:2:2:1:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-3_3_2_0  Cl-0:N[6]-2_2_0:S[6]-0_0:S[6]-0_0  661_4747_1  502_26_1  2.0300  0.0073  3  2.0300  0.0073  3  
856  943  SP-NON_SP2  N  4:3:3:  3:3:3:1:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-2_2_2_0  Cl-0:C[6]-3_2_0:C[6]-3_2_0:N[6]-2_2_0  661_4703_1  502_5_1  2.0624  0.0000  1  2.0624  0.0000  1  
856  943  SP-NON_SP2  N  4:3:3:  3:3:3:2:  C[6]-2_2_0:C[6]-2_2_0:Ga[6]-2_2_2_0  N[6]-2_2_0:N[6]-2_2_0:N[6]-2_2_0:P-0_0  661_4708_1  502_50_1  2.0706  0.0000  1  2.0706  0.0000  1  
856  943  SP-NON_SP2  Y  3:4:2:  3:2:4:4:  C[5,6]-3_3_2:Ga[6]-3_3_3_2:O[6]-2_0  C-0_0_0_0:C-0_0_0_0:N[6]-3_2_0:O[6]-2_0  661_294_1  502_24_1  2.0325  0.0000  1  2.0325  0.0000  1  
856  943  SP-NON_SP2  Y  3:4:3:  3:2:4:4:  C[6a]-2_2_2:C[6]-2_2_0:Ga[6]-3_3_2_2  C-0_0_0_0:C-0_0_0_0:N[6]-2_2_0:O[6]-2_0  661_2559_1  502_32_1  2.0452  0.0000  1  2.0452  0.0000  1  
856  943  SP-NON_SP2  Y  3:4:3:  3:3:4:4:  C[6a]-2_2_2:C[6]-2_2_2:Ga[6]-3_3_2_2  C-0_0_0_0:C-0_0_0_0:N[6,6]-2_0_0:N[6]-2_2_0  661_4229_1  502_22_1  2.0440  0.0000  1  2.0440  0.0000  1  
856  943  SP-NON_SP2  Y  3:4:3:  3:3:4:4:  C[6a]-2_2_2:C[6]-2_2_2:Ga[6]-3_3_2_2  C-0_0_0_0:C-0_0_0_0:N[6,6]-2_0_0:N[6]-2_2_0  661_4277_1  502_22_1  2.0423  0.0000  1  2.0423  0.0000  1  
856  943  SP-NON_SP2  Y  3:4:4:  2:3:4:4:  C-3_2_0_0:C[6]-2_2_0:Ga[6]-3_3_2_2  C-0_0_0_0:C-0_0_0_0:N[6]-3_2_0:O[6]-2_0  661_2558_1  502_64_1  2.0277  0.0000  1  2.0277  0.0000  1  
856  943  SP-NON_SP2  Y  4:3:1:  3:3:3:4:  C[6]-2_2_2:Ga[6,6]-3_2_2_2:H-2  C-0_0_0_0:N[3x6]-2_0_0:N[6]-2_0_0:N[6]-2_2_0  661_4687_1  501_4_1  1.9773  0.0000  1  1.9773  0.0000  1  
856  943  SP-NON_SP2  Y  4:3:1:  3:3:3:4:  C[6]-3_2_2:Ga[6,6]-3_3_2_2:H-2  C-0_0_0_0:N[6,6]-2_0_0:N[6]-2_0_0:N[6]-2_2_0  661_4692_1  501_8_1  1.9610  0.0219  2  1.9610  0.0219  2  
856  943  SP-NON_SP2  Y  4:3:3:  3:3:1:1:  C[6,6]-3_2_2:C[6]-2_2_0:Ga[6]-2_2_0_0  Cl-0:Cl-0:N[6,6]-2_2_0:N[6,6]-2_2_0  658_613_1  502_20_1  1.9627  0.0019  2  1.9627  0.0019  2  
