490    770     SP2_SP3    N    3:4:1:1:    3:3:4:    B-3_2_2:C-3_3_3_0:H-3:H-3     C-3_2_0_0:C[6a]-2_2_2:C[6a]-2_2_2     C(BC[6a]2)(CBHP)(H)2    B(C[6a]C[6a]2)2(CCHH)     C(BC[6a]2)(CBHP)(H)2    B(C[6a]C[6a]2)2(CCHH)   1.6017    0.0000    1     1.6017     0.0000    1
490    770     SP2_SP3    N    3:4:1:1:    3:3:4:    B-3_2_2:H-3:H-3:P-3_3_3_0     C-3_2_0_0:C[6a]-2_2_2:C[6a]-2_2_2     C(BC[6a]2)(PAuCC)(H)2    B(C[6a]C[6a]2)2(CHHP)     C(BC[6a]2)(PAuCC)(H)2    B(C[6a]C[6a]2)2(CHHP)   1.5612    0.0000    1     1.5612     0.0000    1
490    770     SP2_SP3    N    3:4:1:1:    3:4:4:    B-3_3_2:H-3:H-3:P-6_3_3_3     C-3_2_0_0:C-3_2_0_0:C[6a]-2_2_2     C(BC[6a]C)(PCoCC)(H)2    B(C[6a]C[6a]2)(CHHP)2     C(BC[6a]C)(PCoCC)(H)2    B(C[6a]C[6a]2)(CHHP)2   1.5666    0.0075    2     1.5666     0.0075    2
490    770     SP2_SP3    N    3:4:3:1:    3:4:4:    B-3_3_2:C-3_3_3_0:H-3:N-3_3_3     C-3_2_2_0:C-3_3_2_0:N-3_3_2     C(NC[5]C)(CCCH)(BCN)(H)    B(NC[5]C)(CCCH)(CCHN)     C(NC[5]C)(CCCH)(BCN)(H)    B(NC[5]C)(CCCH)(CCHN)   1.5810    0.0090    2     1.5810     0.0090    2
490    770     SP2_SP3    N    3:4:3:1:    4:4:2:    B-3_3_2:C-3_3_3_0:H-3:N-3_2_0     C-3_3_2_0:C-3_3_2_0:O-2_0     C(NC[6a]H)(CCCH)(BCO)(H)    B(CCCH)(CCHN)(OH)     C(NC[6a]H)(CCCH)(BCO)(H)    B(CCCH)(CCHN)(OH)   1.5969    0.0000    1     1.5969     0.0000    1
490    770     SP2_SP3    N    3:4:4:1:    4:4:4:    B-3_3_3:C-3_0_0_0:C-3_0_0_0:H-3     C-3_3_2_0:C-3_3_2_0:C[5]-10_3_3_2     C(BC[5]C)(CH3)2(H)    B(C[5]C[5]2Fe)(CCCH)2     C(BC[5]C)(CH3)2(H)    B(C[5]C[5]2Fe)(CCCH)2   1.5875    0.0014    2     1.5875     0.0014    2
490    770     SP2_SP3    N    3:4:4:4:    3:4:1:    B-3_2_0:C-3_0_0_0:C-3_0_0_0:C-3_0_0_0     C-3_3_3_2:C[5]-2_2_2:S-2     C(BC[5]S)(CH3)3    B(C[5]N[5]2)(CC3)(S)     C(BC[5]S)(CH3)3    B(C[5]N[5]2)(CC3)(S)   1.5992    0.0000    1     1.5992     0.0000    1
490    770     SP2_SP3    N    3:4:4:4:    3:4:1:    B-3_2_0:C-3_0_0_0:C-3_0_0_0:C-3_0_0_0     C-3_3_3_2:C[5]-2_2_2:Se-2     C(BC[5]Se)(CH3)3    B(C[5]N[5]2)(CC3)(Se)     C(BC[5]Se)(CH3)3    B(C[5]N[5]2)(CC3)(Se)   1.5850    0.0000    1     1.5850     0.0000    1
490    770     SP2_SP3    N    3:4:4:4:    3:4:3:    B-3_2_2:C-3_0_0_0:C-3_0_0_0:C-3_0_0_0     C-3_3_3_2:C[6a]-2_2_2:N-3_2_2     C(BC[6a]N)(CH3)3    B(C[6a]C[6a]2)(CC3)(NBC)     C(BC[6a]N)(CH3)3    B(C[6a]C[6a]2)(CC3)(NBC)   1.6258    0.0000    1     1.6258     0.0000    1
490    770     SP2_SP3    N    3:4:4:4:    4:3:4:    B-3_3_2:Si-3_3_3_3:Si-3_3_3_3:Si-3_3_3_3     C-3_3_3_2:C[5]-10_3_3_2:N-3_3_2     C(BC[5]N)(SiC3)3    B(C[5]C[5]2Fe)(NC[5]C)(CSi3)     C(BC[5]N)(SiC3)3    B(C[5]C[5]2Fe)(NC[5]C)(CSi3)   1.6240    0.0000    1     1.6240     0.0000    1
