486  951  SP-NON_SP3  N  12:4:4:1:  4:  C[3,3,5]-12_3_3_0:C[3,3,5]-12_3_3_3:H-3:Nb[10x3,4]-3_3_3_3_3_3_3_3_3_3_2_0  C[3,3,5]-12_3_3_0  256_52_1  567_2201_0  0.9296  0.0004  3  0.9296  0.0004  3  
486  951  SP-NON_SP3  N  13:4:4:1:  4:  C[3,3,4,6]-13_3_3_2:C[3,3,6]-13_3_3_0:H-3:Nb[12x3,4,4]-5_3_3_3_3_3_3_3_3_3_3_3_3  C[3,3,6]-13_3_3_0  258_12_1  567_2209_0  1.0000  0.0000  4  1.0000  0.0000  4  
486  951  SP-NON_SP3  N  13:4:4:1:  4:  C[3,3,5]-13_3_3_0:C[3,3,5]-13_3_3_0:H-3:Nb[12x3]-5_3_3_3_3_3_3_3_3_3_3_2_0  C[3,3,5]-13_3_3_0  256_57_1  567_2197_0  0.9396  0.0006  2  0.9396  0.0006  2  
486  951  SP-NON_SP3  N  13:4:4:1:  4:  C[3,3,5]-13_3_3_0:C[3,3,5]-13_3_3_0:H-3:Nb[12x3]-5_3_3_3_3_3_3_3_3_3_3_2_0  C[3,3,5]-13_3_3_0  256_58_1  567_2197_0  0.9402  0.0005  5  0.9402  0.0005  5  
486  951  SP-NON_SP3  N  13:4:4:1:  4:  C[3,3,5]-13_3_3_0:C[3x3,5]-13_5_3_3:H-3:Nb[12x3]-5_3_3_3_3_3_3_3_3_3_3_2_0  C[3,3,5]-13_3_3_0  256_59_1  567_2200_0  0.9405  0.0005  2  0.9405  0.0005  2  
486  951  SP-NON_SP3  N  13:4:4:1:  4:  C[3,3,6]-13_3_3_0:C[3,3,6]-13_3_3_0:H-3:Nb[12x3,4,4]-5_3_3_3_3_3_3_3_3_3_3_3_3  C[3,3,6]-13_3_3_0  258_13_1  567_2210_0  1.0000  0.0001  4  1.0000  0.0001  4  
486  951  SP-NON_SP3  N  13:4:4:1:  4:  C[3,3,6]-13_3_3_0:C[3,3,6]-13_3_3_0:H-3:Nb[12x3,4,4]-5_3_3_3_3_3_3_3_3_3_3_3_3  C[3,3,6]-13_3_3_0  258_14_1  567_2210_0  1.0000  0.0001  2  1.0000  0.0001  2  
486  951  SP-NON_SP3  N  2:2:4:1:  4:  C-3_3_0_0:H-3:N[3]-3_2:N[3]-3_2  C[3]-3_2_2_0  295_1999_0  567_2590_0  1.0003  0.0004  2  1.0003  0.0004  2  
486  951  SP-NON_SP3  N  3:2:1:1:  4:  C[3]-3_3_2:H-3:H-3:N[3]-3_2  C[3]-2_2_0_0  295_1168_1  567_2554_0  0.9879  0.0330  4  0.9879  0.0330  4  
486  951  SP-NON_SP3  N  3:2:3:1:  4:  C-3_2_0:H-3:H[3]-3_3:O[3]-3_3_0  C[3]-3_2_0_0  295_2059_0  567_2587_0  0.8500  0.0000  1  0.8500  0.0000  1  
486  951  SP-NON_SP3  N  3:2:3:1:  4:  C-3_2_2:C[3]-3_2_2:H-3:N[3]-3_2  C[3]-2_2_2_0  295_1458_1  567_2552_0  0.9998  0.0000  1  0.9998  0.0000  1  
486  951  SP-NON_SP3  N  3:2:3:1:  4:  C-3_2_2:C[3]-3_2_2:H-3:N[3]-3_2  C[3]-2_2_2_0  295_1460_1  567_2552_0  0.9994  0.0000  1  0.9994  0.0000  1  
486  951  SP-NON_SP3  N  3:2:3:1:  4:  C-3_2_2:C[3]-3_2_2:H-3:N[3]-3_2  C[3]-2_2_2_0  295_1461_1  567_2552_0  0.9801  0.0000  1  0.9801  0.0000  1  
