727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_1389_1  693_51_2  1.3381  0.0010  2  1.3381  0.0010  2  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-3_2_2  424_1389_1  693_50_1  1.3482  0.0025  2  1.3482  0.0018  3  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-3_2_2  424_1389_1  693_50_2  1.3481  0.0000  1  1.3482  0.0018  3  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5a]-2_2_0:N[5a,6a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_2927_2  693_53_1  1.3528  0.0032  2  1.3530  0.0023  3  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5a]-2_2_0:N[5a,6a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_2927_1  693_53_1  1.3534  0.0000  1  1.3530  0.0023  3  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5a]-2_2_0:N[5a,6a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_2927_1  693_54_1  1.3510  0.0000  1  1.3510  0.0000  1  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-2_2_2:C[5]-2_2_0_0:O[6a]-2_2  C[5,6a]-3_2_2:C[6a]-2_2_2  416_2400_1  693_40_3  1.3473  0.0000  1  1.3473  0.0000  1  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-2_2_2:C[5]-2_2_2_2:O[6a]-2_2  C[5,6a]-3_2_2:C[6a,6a]-2_2_2  416_2687_1  693_104_1  1.3504  0.0000  1  1.3504  0.0000  1  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-2_2_2:C[5]-3_3_2_2:O[6a]-2_2  C[5,6a]-3_2_2:C[6a]-2_2_2  416_2357_1  693_40_4  1.3637  0.0000  1  1.3637  0.0000  1  
727  933  SP2_SP2  Y  3:4:2:  3:3:  C[5,6a]-2_2_2:C[5]-3_3_2_2:O[6a]-2_2  C[5,6a]-3_2_2:C[6a]-2_2_2  416_2399_1  693_40_2  1.3496  0.0000  1  1.3496  0.0000  1  
