490    917     SP3_SP3    N    4:1:1:1:    3:3:4:3:    H-3:H-3:H-3:P[4]-3_2_2_2     C-3_0_0_0:N-3_3_0:N[4]-3_3_3:N[4]-3_3_3     C(P[4]N[4]2N)(H)3    P[4](N[4]P[4]C)2(CH3)(NCH)     C(P[4]N[4]2N)(H)3    P[4](N[4]P[4]C)2(CH3)(NCH){1|Cu<4>,1|N<3>}   1.8103    0.0453    2     1.7904     0.0348    4
490    917     SP3_SP3    N    4:1:1:1:    3:3:4:3:    H-3:H-3:H-3:P[4]-3_2_2_2     C-3_0_0_0:N-3_3_0:N[4]-3_3_3:N[4]-3_3_3     C(P[4]N[4]2N)(H)3    P[4](N[4]P[4]C)2(CH3)(NCH)     C(P[4]N[4]2N)(H)3    P[4](N[4]P[4]C)2(CH3)(NCH){1|Se<1>,1|N<3>}   1.7704    0.0009    2     1.7904     0.0348    4
490    917     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[4]-3_3_3_2     C-3_0_0_0:C-3_3_3_3:C[4]-3_3_2:P[4]-3_3_3     C(P[4]C[4]P[4]C)(H)3    P[4](C[4]P[4]N)(P[4]P[4]C)(CC3)(CH3)     C(P[4]C[4]P[4]C)(H)3    P[4](C[4]P[4]N)(P[4]P[4]C)(CC3)(CH3){1|C<4>}   1.7965    0.0000    1     1.7965     0.0000    1
490    917     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[4]-3_3_3_3     C-3_0_0_0:C-3_3_3_3:P[4]-3_3_3:P[4]-3_3_3     C(P[4]P[4]2C)(H)3    P[4](P[4]P[4]C)2(CC3)(CH3)     C(P[4]P[4]2C)(H)3    P[4](P[4]P[4]C)2(CC3)(CH3){1|C<4>}   1.8120    0.0000    1     1.8120     0.0000    1
490    917     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[4]-3_3_3_3     C-3_0_0_0:C[6]-3_3_3_0:P[4]-3_3_3:P[4]-3_3_3     C(P[4]C[6]P[4]2)(H)3    P[4](P[4]C[6]P[4])2(C[6]C[6]2H)(CH3)     C(P[4]C[6]P[4]2)(H)3    P[4](P[4]C[6]P[4])2(C[6]C[6]2H)(CH3){6|H<1>,8|C<4>}   1.7968    0.0054    2     1.7968     0.0054    2
490    917     SP3_SP3    N    4:1:1:1:    4:3:3:4:    H-3:H-3:H-3:P[4,4]-3_3_2_2     C-3_0_0_0:C[4,4]-3_3_3_3:C[4]-3_3_3:C[4]-3_3_3     C(P[4,4]C[4,4]C[4]2)(H)3    P[4,4](C[4,4]P[4]2C)(C[4]P[4]C)2(CH3)     C(P[4,4]C[4,4]C[4]2)(H)3    P[4,4](C[4,4]P[4]2C)(C[4]P[4]C)2(CH3){1|Pb<5>}   1.8183    0.0000    1     1.8160     0.0033    2
490    917     SP3_SP3    N    4:1:1:1:    4:3:3:4:    H-3:H-3:H-3:P[4,4]-3_3_2_2     C-3_0_0_0:C[4,4]-3_3_3_3:C[4]-3_3_3:C[4]-3_3_3     C(P[4,4]C[4,4]C[4]2)(H)3    P[4,4](C[4,4]P[4]2C)(C[4]P[4]C)2(CH3)     C(P[4,4]C[4,4]C[4]2)(H)3    P[4,4](C[4,4]P[4]2C)(C[4]P[4]C)2(CH3){1|Sn<5>}   1.8137    0.0000    1     1.8160     0.0033    2
490    917     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:P[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_3:P[4]-3_3_3     C(P[4]P[4]2C)(H)3    P[4](P[4]P[4]CC)(P[4]P[4]C)(CH3)2     C(P[4]P[4]2C)(H)3    P[4](P[4]P[4]CC)(P[4]P[4]C)(CH3)2{1|C<4>}   1.7973    0.0048    4     1.7973     0.0048    4
490    917     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:P[4]-3_3_3_3     C-3_0_0_0:C-3_3_3_3:C[4]-3_3_3_0:C[4]-3_3_3_0     C(P[4]C[4]2C)(H)3    P[4](C[4]P[4]CH)2(CC3)(CH3)     C(P[4]C[4]2C)(H)3    P[4](C[4]P[4]CH)2(CC3)(CH3){1|C<4>}   1.8082    0.0036    2     1.8082     0.0036    2
490    917     SP3_SP3    N    4:3:1:1:    3:4:4:4:    C-3_2_0:H-3:H-3:P[4]-3_3_3_2     C-3_2_0_0:C[4]-3_3_0_0:C[4]-3_3_3_3:C[6a]-3_2_2     C(P[4]C[6a]C[4]2)(CCH)(H)2    P[4](C[6a]C[6a]2)(C[4]C[4]CC)(C[4]C[4]HH)(CCHH)     C(P[4]C[6a]C[4]2)(CCH)(H)2    P[4](C[6a]C[6a]2)(C[4]C[4]CC)(C[4]C[4]HH)(CCHH){1|C<4>,2|C<3>,3|H<1>}   1.7936    0.0000    1     1.7936     0.0000    1
