490    863     SP2_SP3    N    3:3:3:1:    4:    C[6]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:O-3     C-2_2_2_2     C(C[6]C[6]N[6])3(O)    O(CC[6]3)     C(C[6]C[6]N[6])3(O)    O(CC[6]3)   1.4020    0.0007    2     1.4020     0.0007    2
490    863     SP2_SP3    N    3:3:4:1:    4:    C-3_0_0_0:C[6a]-3_2_2:C[6a]-3_2_2:O-3     C-3_2_2_2     C(C[6a]C[6a]2)2(CF3)(O)    O(CC[6a]2C)     C(C[6a]C[6a]2)2(CF3)(O)    O(CC[6a]2C)   1.3647    0.0000    1     1.3647     0.0000    1
490    863     SP2_SP3    N    3:3:4:1:    4:    C-6_5_3_3:C[6a]-3_2_2:C[6a]-3_2_2:O-3     C-3_2_2_2     C(C[6a]C[6a]2)2(CCo2C)(O)    O(CC[6a]2C)     C(C[6a]C[6a]2)2(CCo2C)(O)    O(CC[6a]2C)   1.4137    0.0000    1     1.4137     0.0000    1
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_0_0_0:C[6]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6]C[6]2)(CH3)(H)(O)    O(CC[6]CH)     C(C[6]C[6]2)(CH3)(H)(O)    O(CC[6]CH)   1.4238    0.0000    1     1.4238     0.0000    1
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_0_0_0:C[6a]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6a]C[6a]2)(CH3)(H)(O)    O(CC[6a]CH)     C(C[6a]C[6a]2)(CH3)(H)(O)    O(CC[6a]CH)   1.4026    0.0590    4     1.4026     0.0590    4
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_2_0_0:C[6a]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6a]C[6a]2)(CHHN)(H)(O)    O(CC[6a]CH)     C(C[6a]C[6a]2)(CHHN)(H)(O)    O(CC[6a]CH)   1.4303    0.0129    2     1.4303     0.0129    2
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_3_0_0:C[6a]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6a]C[6a]2)(CCHH)(H)(O)    O(CC[6a]CH)     C(C[6a]C[6a]2)(CCHH)(H)(O)    O(CC[6a]CH)   1.4490    0.0122    4     1.4490     0.0122    4
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_3_0_0:C[6a]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6a]C[6a]2)(CCl2C)(H)(O)    O(CC[6a]CH)     C(C[6a]C[6a]2)(CCl2C)(H)(O)    O(CC[6a]CH)   1.4143    0.0000    1     1.4143     0.0000    1
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_3_2_0:C[6a]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6a]C[6a]2)(CC[6a]HN)(H)(O)    O(CC[6a]CH)     C(C[6a]C[6a]2)(CC[6a]HN)(H)(O)    O(CC[6a]CH)   1.4173    0.0185    6     1.4173     0.0185    6
490    863     SP2_SP3    N    3:4:1:1:    4:    C-3_3_3_2:C[6]-3_2_2:H-3:O-3     C-3_2_2_0     C(C[6]C[6]2)(CC3)(H)(O)    O(CC[6]CH)     C(C[6]C[6]2)(CC3)(H)(O)    O(CC[6]CH)   1.4083    0.0000    2     1.4083     0.0000    2
