618    958     SP2_SP3    N    3:3:2:    3:4:    C[6a]-2_2_0:N[6a]-3_2_2:O-3_2     B[6a]-3_2_2:P-3_2_2_2     B[6a](C[6a]C[6a]H)(N[6a]C[6a]C)(OP)    O(B[6a]C[6a]N[6a])(PC[6a]3)     B[6a](C[6a]C[6a]H)(N[6a]C[6a]C)(OP){1|C<3>,2|H<1>}    O(B[6a]C[6a]N[6a])(PC[6a]3)   1.4332    0.0000    1     1.4332     0.0000    1
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])(O[6]B[6])(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])(O[6]B[6])(OH){1|O<3>,3|O<2>}    O(B[6]O[6]2)(H)   1.3735    0.0000    1     1.3573     0.0073    161
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])(O[6]B[6])(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])(O[6]B[6])(OH){2|Ba<14>,2|O<3>,3|O<4>}    O(B[6]O[6]2)(H)   1.3652    0.0000    1     1.3573     0.0073    161
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])(O[6]B[6])(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])(O[6]B[6])(OH){2|Ba<16>,2|O<3>,3|O<4>}    O(B[6]O[6]2)(H)   1.3672    0.0000    1     1.3573     0.0073    161
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])(O[6]B[6])(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])(O[6]B[6])(OH){4|O<2>}    O(B[6]O[6]2)(H)   1.3569    0.0071    156     1.3573     0.0073    161
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])(O[6]B[6])(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])(O[6]B[6])(OH){5|O<2>}    O(B[6]O[6]2)(H)   1.3703    0.0004    2     1.3573     0.0073    161
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])2(OH){1|Ca<8>,2|O<3>,3|O<2>}    O(B[6]O[6]2)(H)   1.3667    0.0000    1     1.3726     0.0073    22
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])2(OH){1|O<3>,4|O<2>}    O(B[6]O[6]2)(H)   1.3771    0.0046    2     1.3726     0.0073    22
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])2(OH){2|N<3>,3|O<2>}    O(B[6]O[6]2)(H)   1.3631    0.0027    2     1.3726     0.0073    22
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])2(OH){2|O<3>,3|O<2>}    O(B[6]O[6]2)(H)   1.3769    0.0000    1     1.3726     0.0073    22
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6,6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6,6])2(OH){5|O<2>}    O(B[6]O[6]2)(H)   1.3733    0.0074    16     1.3726     0.0073    22
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6])2(OH){1|O<3>,4|O<2>}    O(B[6]O[6]2)(H)   1.3481    0.0000    1     1.3603     0.0091    8
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6])2(OH){2|O<2>,2|O<3>}    O(B[6]O[6]2)(H)   1.3608    0.0000    1     1.3603     0.0091    8
618    958     SP3_SP3    N    2:2:2:    3:1:    O-3_0:O[6]-3_3:O[6]-3_3     B[6]-3_3_3:H-3     B[6](O[6]B[6])2(OH)    O(B[6]O[6]2)(H)     B[6](O[6]B[6])2(OH){4|O<2>}    O(B[6]O[6]2)(H)   1.3622    0.0091    6     1.3603     0.0091    8
