478    762     3:3:4:1:    3:3:4:    C[4]-3:C[6a]-3:C[4]-4:H-1:     C[6a]-3:C[6a]-3:C[4]-4:     N    C[4](C[4]C[6a]N[4])(C[6a]C[6a]2)(C[4]N[4]CC)(H)    C[6a](C[6a]C[6a]H)2(C[4]C[4]2H)     C[4](C[4]C[6a]N[4])(C[6a]C[6a]2)(C[4]N[4]CC)(H){2|H<1>,4|C<3>}    C[6a](C[6a]C[6a]H)2(C[4]C[4]2H){1|N<2>,2|H<1>,4|C<3>}   1.5075    0.0000    1     1.5075     0.0000    1
478    762     3:3:4:1:    4:3:3:    N[4]-3:C[6a]-3:C[4]-4:H-1:     C[4]-4:C[6a]-3:C[6a]-3:     N    C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H)    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2     C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H){1|O<1>,2|H<1>,4|C<3>}    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{1|C<4>,3|C<3>,3|H<1>}   1.5002    0.0015    2     1.4972     0.0053    3
478    762     3:3:4:1:    4:3:3:    N[4]-3:C[6a]-3:C[4]-4:H-1:     C[4]-4:C[6a]-3:C[6a]-3:     N    C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H)    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2     C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]CH)(H){4|C<3>,4|H<1>}    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{2|C<3>,2|C<4>,3|H<1>}   1.4912    0.0000    1     1.4972     0.0053    3
478    762     3:3:4:1:    4:3:3:    N[4]-3:C[6a]-3:C[4]-4:H-1:     C[4]-4:C[6a]-3:C[6a]-3:     N    C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]HH)(H)    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2     C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]HH)(H){1|O<1>,2|H<1>,4|C<3>}    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{3|C<3>,4|H<1>}   1.5018    0.0022    2     1.5018     0.0022    2
478    762     3:3:4:1:    4:3:3:    N[4]-3:C[6a]-3:C[4]-4:H-1:     C[4]-4:C[6a]-3:C[6a]-3:     N    C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]HO)(H)    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2     C[4](N[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]HO)(H){1|O<1>,2|H<1>,4|C<3>}    C[6a](C[4]C[4]N[4]H)(C[6a]C[6a]H)2{1|O<2>,2|H<1>,4|C<3>}   1.5077    0.0000    1     1.5077     0.0000    1
478    762     3:3:4:3:    4:3:3:    C[6,6a]-3:C[6,6a]-3:C[4]-4:C[4]-3:     C[4,6]-4:C[6,6a]-3:C[6a]-3:     Y    C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O)    C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H)     C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O){1|N<3>,1|O<2>,2|H<1>,6|C<3>}    C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H){1|N<3>,1|O<1>,3|H<1>,4|C<3>}   1.5055    0.0000    1     1.5019     0.0116    9
478    762     3:3:4:3:    4:3:3:    C[6,6a]-3:C[6,6a]-3:C[4]-4:C[4]-3:     C[4,6]-4:C[6,6a]-3:C[6a]-3:     Y    C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O)    C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H)     C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4]C[6a]N[4]H)(C[4]N[4]O){1|O<2>,2|H<1>,7|C<3>}    C[6,6a](C[4,6]C[6,6a]C[4]2)(C[6,6a]C[6a]O[6])(C[6a]C[6a]H){1|N<3>,1|O<1>,3|H<1>,4|C<3>}   1.5014    0.0123    8     1.5019     0.0116    9
478    762     3:3:4:3:    4:3:3:    C[6a]-3:C[6a]-3:C[4]-4:C[4]-3:     C[4]-4:C[6a]-3:C[6a]-3:     N    C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N)    C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2     C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N){4|C<3>,6|H<1>}    C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2{1|C<4>,1|N<2>,3|C<3>,4|H<1>}   1.5174    0.0000    1     1.5237     0.0089    2
478    762     3:3:4:3:    4:3:3:    C[6a]-3:C[6a]-3:C[4]-4:C[4]-3:     C[4]-4:C[6a]-3:C[6a]-3:     N    C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N)    C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2     C[4](C[6a]C[6a]2)2(C[4]C[4]HH)(C[4]C[4]N){4|C<3>,6|H<1>}    C[6a](C[4]C[6a]C[4]2)(C[6a]C[6a]H)2{1|Cl<1>,1|C<4>,1|N<2>,3|C<3>,3|H<1>}   1.5300    0.0000    1     1.5237     0.0089    2
478    762     3:3:4:4:    4:3:3:    C[6,6a]-3:C[6,6a]-3:C[4,6]-4:C[4]-4:     C[4,6]-4:C[6,6a]-3:C[6a]-3:     Y    C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4,6]C[6,6a]2C[4])(C[4]C[4]HH)    C[6,6a](C[4,6]C[6,6a]C[4,6]C[4])(C[6,6a]C[4,6]C[6a])(C[6a]C[6a]H)     C[4,6](C[6,6a]C[6,6a]C[6a])2(C[4,6]C[6,6a]2C[4])(C[4]C[4]HH){1|C<4>,4|H<1>,8|C<3>}    C[6,6a](C[4,6]C[6,6a]C[4,6]C[4])(C[6,6a]C[4,6]C[6a])(C[6a]C[6a]H){3|C<4>,4|H<1>,5|C<3>}   1.5073    0.0040    3     1.5073     0.0040    3
