643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_0:N[6a]-1_1:Se-1_0     C-1_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CC[6a]HH)     C[6a](C[6a]C[6a]H)(N[6a]C[6a])(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(CC[6a]HH)   1.9090    0.0010    2     1.9090     0.0010    2
643    977     SP-NON_SP2    N    3:2:2:    3:4:    C[6a]-1_1_1:N[6a]-1_1:Se-1_0     C-1_0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeC)    Se(C[6a]C[6a]N[6a])(CC[6a]HH)     C[6a](C[6a]C[6a]C)(N[6a]C[6a])(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]N[6a])(CC[6a]HH)   1.9168    0.0000    1     1.9168     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:1:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     Br-0:C[6a]-1_1_0     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeBr)    Se(C[6a]C[6a]2)(Br)     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeBr){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(Br)   1.9340    0.0000    1     1.9340     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:1:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     Br-0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeBr)    Se(C[6a]C[6a]2)(Br)     C[6a](C[6a]C[6a]H)2(SeBr){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(Br)   1.8980    0.0036    2     1.8980     0.0036    2
643    977     SP-NON_SP2    N    3:3:2:    3:1:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:H-0     C[6a](C[6a]C[6a]H)2(SeH)    Se(C[6a]C[6a]2)(H)     C[6a](C[6a]C[6a]H)2(SeH){1|Se<2>,2|C<3>}    Se(C[6a]C[6a]2)(H)   1.8986    0.0000    1     1.8986     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:1:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:I-0     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeI)    Se(C[6a]C[6a]2)(I)     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeI){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(I)   1.9289    0.0018    2     1.9289     0.0018    2
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeSe)    Se(C[6a]C[6a,6a]C[6a])(SeC[6a])     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeSe){1|H<1>,1|S<2>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(SeC[6a])   1.9615    0.0053    2     1.9615     0.0053    2
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-0_0     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeSe)    Se(C[6a]C[6a]2)(SeSe)     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeSe)   1.9402    0.0080    2     1.9402     0.0080    2
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]C)2(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]C)2(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9330    0.0033    4     1.9330     0.0033    4
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(SeSe){1|C<3>,2|O<2>,3|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9374    0.0027    2     1.9374     0.0027    2
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9228    0.0009    2     1.9228     0.0009    2
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9295    0.0009    3     1.9295     0.0009    3
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)(C[6a]C[6a]S)(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]H)(C[6a]C[6a]S)(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9487    0.0005    2     1.9487     0.0005    2
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]H)2(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]H)2(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9374    0.0061    4     1.9374     0.0061    4
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_1:Se-1_0     C[6a]-1_1_0:Se-1_0     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeSe)    Se(C[6a]C[6a]2)(SeC[6a])     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeSe){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(SeC[6a])   1.9343    0.0049    18     1.9343     0.0049    18
643    977     SP-NON_SP2    N    3:3:2:    3:2:    C[6a]-1_1_0:C[6a]-1_1_1:Se-2_1     C-2_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeC)    Se(C[6a]C[6a]2)(CN)     C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(CN)   1.9365    0.0000    1     1.9365     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6,6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6,6a]C[6,6a]N[6,6])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6,6a]C[6,6a]N[6,6])(C[6a]C[6a]H)(SeC[6a]){1|C<3>,4|C<4>}    Se(C[6a]C[6,6a]C[6a])(C[6a]C[6a]2)   1.9256    0.0010    2     1.9256     0.0010    2
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Br<1>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9432    0.0000    1     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|H<1>,1|I<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9302    0.0000    1     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Se<2>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9336    0.0042    2     1.9274     0.0107    19
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a,6a]-1_1_1:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a])    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)     C[6a](C[6a,6a]C[5,6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]){1|Se<3>,1|H<1>,3|C<3>}    Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)   1.9094    0.0000    1     1.9274     0.0107    19
