358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6,6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6,6a])(C[5]O[5]HH){1|O<2>,2|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4359    0.0050    2     1.4339     0.0060    7
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6,6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6,6a])(C[5]O[5]HH){3|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4358    0.0025    2     1.4339     0.0060    7
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH){1|Br<1>,2|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4366    0.0086    2     1.4329     0.0060    287
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH){1|C<4>,2|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4268    0.0023    2     1.4329     0.0060    287
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH){1|H<1>,2|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4326    0.0060    267     1.4329     0.0060    287
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH){1|O<2>,2|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4361    0.0041    7     1.4329     0.0060    287
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]HH){3|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4394    0.0041    9     1.4329     0.0060    287
358    474     3:4:    2:2:1:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:H-1:H-1:     Y    O[5](C[5,6a]C[6a,6a]C[5,6a])(C[5]O[5]HH)    C[5](O[5]C[5,6a])2(H)2     O[5](C[5,6a]C[6a,6a]C[5,6a])(C[5]O[5]HH){3|C<3>}    C[5](O[5]C[5,6a])2(H)2{2|C<3>}   1.4353    0.0083    2     1.4353     0.0083    2
358    474     3:4:    2:2:2:2:    C[5,6a]-3:C[5,5]-4:     O[5]-2:O[5]-2:O[5]-2:O[5]-2:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5,5]O[5]3)    C[5,5](O[5]C[5,5,6])2(O[5]C[5,6a])2     O[5](C[5,6a]C[5,6a]C[6a])(C[5,5]O[5]3){1|H<1>,2|C<3>,2|C<4>}    C[5,5](O[5]C[5,5,6])2(O[5]C[5,6a])2{2|C<3>,2|C<4>,2|H<1>}   1.4352    0.0000    1     1.4352     0.0000    1
358    474     3:4:    2:2:2:2:    C[5,6a]-3:C[5,5]-4:     O[5]-2:O[5]-2:O[5]-2:O[5]-2:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5,5]O[5]3)    C[5,5](O[5]C[5,6a])2(O[5]C[5,5])(O[5]C[5])     O[5](C[5,6a]C[5,6a]C[6a])(C[5,5]O[5]3){1|H<1>,2|C<3>,2|C<4>}    C[5,5](O[5]C[5,6a])2(O[5]C[5,5])(O[5]C[5]){2|C<3>,2|C<4>,2|H<1>}   1.4247    0.0004    2     1.4247     0.0004    2
358    474     3:4:    2:2:4:1:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:C-4:H-1:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]CH)    C[5](O[5]C[5,6a])2(CCHH)(H)     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]CH){1|H<1>,2|C<3>}    C[5](O[5]C[5,6a])2(CCHH)(H){2|C<3>}   1.4422    0.0000    1     1.4422     0.0000    1
358    474     3:4:    2:2:4:4:    C[5,5]-3:C[5]-4:     O[5]-2:O[5]-2:C-4:C-4:     Y    O[5](C[5,5]C[5,5]C[5])(C[5]O[5]CC)    C[5](O[5]C[5,5])2(CH3)2     O[5](C[5,5]C[5,5]C[5])(C[5]O[5]CC){1|C<3>,1|C<4>,1|O<2>,2|H<1>}    C[5](O[5]C[5,5])2(CH3)2{1|C<3>,2|C<4>}   1.4240    0.0000    1     1.4240     0.0000    1
358    474     3:4:    2:2:4:4:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:C-4:C-4:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]CC)    C[5](O[5]C[5,6a])2(CCHH)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]CC){1|H<1>,2|C<3>}    C[5](O[5]C[5,6a])2(CCHH)2{2|C<3>}   1.4481    0.0000    1     1.4481     0.0000    1
358    474     3:4:    2:2:4:4:    C[5,6a]-3:C[5]-4:     O[5]-2:O[5]-2:C-4:C-4:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]CC)    C[5](O[5]C[5,6a])2(CH3)2     O[5](C[5,6a]C[5,6a]C[6a])(C[5]O[5]CC){3|C<3>}    C[5](O[5]C[5,6a])2(CH3)2{2|C<3>}   1.4515    0.0000    1     1.4515     0.0000    1
358    474     3:4:    3:2:1:1:    C[5]-3:C[5]-4:     C[5,6a]-3:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,6a]C[5])(C[5]C[5,6a]HH)    C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(H)2     O[5](C[5]C[5,6a]C[5])(C[5]C[5,6a]HH){4|C<3>}    C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(H)2{1|H<1>,3|C<3>}   1.4396    0.0000    1     1.4396     0.0000    1
358    474     3:4:    3:2:1:1:    N[5]-3:C[5]-4:     C[5]-3:O[5]-2:H-1:H-1:     Y    O[5](N[5]C[6a]C[5])(C[5]C[5]HH)    C[5](C[5]C[5]C)(O[5]N[5])(H)2     O[5](N[5]C[6a]C[5])(C[5]C[5]HH){1|H<1>,4|C<3>}    C[5](C[5]C[5]C)(O[5]N[5])(H)2{1|H<1>,2|C<3>}   1.4444    0.0000    1     1.4444     0.0000    1
358    474     3:4:    3:2:3:3:    C[5,6a]-3:C[5,6]-4:     C[5]-3:O[5]-2:C[6]-3:C[6]-3:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5]C[6]2)    C[5,6](C[5]C[5,6a]O)(O[5]C[5,6a])(C[6]C[6]C)(C[6]C[6]O)     O[5](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5]C[6]2){1|Cl<1>,1|O<1>,1|O<2>,5|C<3>}    C[5,6](C[5]C[5,6a]O)(O[5]C[5,6a])(C[6]C[6]C)(C[6]C[6]O){2|H<1>,3|C<3>}   1.4445    0.0000    1     1.4445     0.0000    1
358    474     3:4:    3:3:2:2:    C[5,6a]-3:C[5]-4:     C[5]-3:C[6a]-3:O[5]-2:O-2:     Y    O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[6a]C[5]O)    C[5](C[5]C[5,6a]O)(C[6a]C[6a]2)(O[5]C[5,6a])(OH)     O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[6a]C[5]O){1|H<1>,1|O<1>,4|C<3>}    C[5](C[5]C[5,6a]O)(C[6a]C[6a]2)(O[5]C[5,6a])(OH){2|H<1>,4|C<3>}   1.4469    0.0000    1     1.4469     0.0000    1
358    474     3:4:    4:2:1:1:    B[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](B[5]B[5]O[5])(C[5]C[5]HH)    C[5](C[5]C[6a]O[5]H)(O[5]B[5])(H)2     O[5](B[5]B[5]O[5])(C[5]C[5]HH){1|C<3>,1|H<1>,2|O<2>}    C[5](C[5]C[6a]O[5]H)(O[5]B[5])(H)2{1|B<3>,2|C<3>}   1.4458    0.0000    1     1.4458     0.0000    1
358    474     3:4:    4:2:1:1:    B[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](B[5]C[5]O[5])(C[5]C[5]HH)    C[5](C[5]O[5]HH)(O[5]B[5])(H)2     O[5](B[5]C[5]O[5])(C[5]C[5]HH){1|Fe<10>,2|C<4>,2|H<1>}    C[5](C[5]O[5]HH)(O[5]B[5])(H)2{1|C<4>}   1.4420    0.0043    4     1.4420     0.0043    4
