346    478     SP2_SP3    Y:S    4:3:    4:4:4:2:    C[4,5]-3_3_3_2:C[5]-2_2_2     C-3_2_0_0:C[4,5]-3_3_3_2:C[4,6]-3_3_2_2:N[5]-3_2     N[5](C[4,5]C[4,5]C[4,6]C)(C[5]C[6a]O[5])    C[4,5](C[4,6]C[6,6a]C[6]O[4])(C[4,5]O[4]O[5]O)(CC[6a]HH)(N[5]C[5])     N[5](C[4,5]C[4,5]C[4,6]C)(C[5]C[6a]O[5]){2|O<2>,4|C<3>}    C[4,5](C[4,6]C[6,6a]C[6]O[4])(C[4,5]O[4]O[5]O)(CC[6a]HH)(N[5]C[5]){1|N<3>,1|O<1>,3|C<3>}   1.4629    0.0000    1     1.4629     0.0000    1
346    478     SP2_SP3    Y:S    4:3:    4:4:4:2:    C[4,5]-3_3_3_2:C[5]-3_2_2     C-3_2_0_0:C[4,5]-3_3_3_2:C[4,6]-3_3_2_2:N[5]-3_2     N[5](C[4,5]C[4,5]C[4,6]C)(C[5]O[5]C)    C[4,5](C[4,6]C[6,6a]C[6]O[4])(C[4,5]O[4]O[5]O)(CC[6a]HH)(N[5]C[5])     N[5](C[4,5]C[4,5]C[4,6]C)(C[5]O[5]C){2|C<3>,2|O<2>}    C[4,5](C[4,6]C[6,6a]C[6]O[4])(C[4,5]O[4]O[5]O)(CC[6a]HH)(N[5]C[5]){1|C<4>,1|N<3>,1|O<1>,2|C<3>}   1.4557    0.0000    1     1.4557     0.0000    1
346    486     SP2_SP3    Y:S    4:3:    4:4:3:2:    C[3,5]-3_3_2_2:C[5]-2_2_2     C[3]-3_3_2_0:C[3]-3_3_3_0:C[5]-3_2_2:N[5]-3_2     N[5](C[3,5]C[3]2C[5])(C[5]C[6a]N[5])    C[3,5](C[3]C[6a]C[3]H)(C[3]C[3]CH)(C[5]N[5]O)(N[5]C[5])     N[5](C[3,5]C[3]2C[5])(C[5]C[6a]N[5]){1|O<1>,2|C<4>,2|H<1>,3|C<3>}    C[3,5](C[3]C[6a]C[3]H)(C[3]C[3]CH)(C[5]N[5]O)(N[5]C[5]){1|C<4>,3|C<3>}   1.4351    0.0000    1     1.4351     0.0000    1
346    542     SP2_SP2    Y:D    3:2:    3:2:1:    N[5]-2_1:N[5]-2_2_0     C[5]-2_2_1:H-2:N[5]-2_2     N[5](N[5]C[5]H)(N[5]C[5])    N[5](C[5]C[6a]C[5])(N[5]N[5])(H)     N[5](N[5]C[5]H)(N[5]C[5]){1|Au<2>,1|C<3>}    N[5](C[5]C[6a]C[5])(N[5]N[5])(H){1|Au<2>,2|C<3>}   1.3022    0.0000    1     1.3022     0.0000    1
346    542     SP2_SP2    Y:D    3:2:    3:2:1:    N[5]-2_2_2:O[5]-2_2     C[5]-2_2_0:N[5]-2_2:O-2     N[5](N[5]C[5]O)(O[5]C[5])    N[5](C[5]C[5]H)(N[5]O[5])(O)     N[5](N[5]C[5]O)(O[5]C[5]){1|C<4>,1|H<1>}    N[5](C[5]C[5]H)(N[5]O[5])(O){1|C<4>}   1.2955    0.0000    1     1.2955     0.0000    1
346    542     SP2_SP2    Y:D    3:2:    3:2:4:    N[5]-3_2_2:O[5]-2_2     C-3_3_2_0:C[5]-3_2_2:N[5]-2_2     N[5](N[5]C[5]C)(O[5]C[5])    N[5](C[5]C[5]S)(N[5]O[5])(CCCH)     N[5](N[5]C[5]C)(O[5]C[5]){1|N<2>,1|S<2>}    N[5](C[5]C[5]S)(N[5]O[5])(CCCH){1|N<2>}   1.3028    0.0005    4     1.3028     0.0005    4
346    542     SP2_SP2    Y:D    3:3:    2:2:3:    N[5]-3_2_2:N[5]-3_2_2     N-2_0_0:N[5]-2_2:N[5]-2_2     N[5](N[5]C[5]C)(N[5]N[5]N)    N[5](N[5]C[5])(N[5]N[5])(NHH)     N[5](N[5]C[5]C)(N[5]N[5]N){1|C<4>}    N[5](N[5]C[5])(N[5]N[5])(NHH){2|C<4>}   1.2966    0.0000    1     1.2966     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    2:2:4:    N[5]-2_2_2:N[5]-3_2_2     C-2_0_0_0:N[5]-2_2:N[5]-2_2     N[5](N[5]C[6a]C[5])(N[5]N[5]C)    N[5](N[5]C[5])(N[5]N[5])(CH3)     N[5](N[5]C[6a]C[5])(N[5]N[5]C){1|S<2>,2|C<3>}    N[5](N[5]C[5])(N[5]N[5])(CH3){1|C<3>,1|S<2>}   1.2844    0.0000    1     1.2844     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    2:2:4:    N[5]-3_2_1:N[5]-3_2_2     C-2_0_0_0:N[5]-2_1:N[5]-2_2     N[5](N[5]C[5]C)(N[5]N[5]C)    N[5](N[5]C[5])(N[5]N[5])(CH3)     N[5](N[5]C[5]C)(N[5]N[5]C){1|Ir<4>}    N[5](N[5]C[5])(N[5]N[5])(CH3){1|Ir<4>,1|C<4>}   1.3014    0.0000    1     1.3014     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    2:2:4:    N[5]-3_2_2:N[5]-3_2_2     C-2_0_0_0:N[5]-2_2:N[5]-2_2     N[5](N[5]C[5]C)(N[5]N[5]C)    N[5](N[5]C[5])(N[5]N[5])(CH3)     N[5](N[5]C[5]C)(N[5]N[5]C){1|N<3>}    N[5](N[5]C[5])(N[5]N[5])(CH3){1|C<4>,1|N<3>}   1.2890    0.0000    1     1.2890     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:1:    N[5]-2_2_0:N[5]-2_2_0     C[5,6a]-2_2_2:H-2:N[5]-2_2     N[5](N[5]C[5,6a]H)2    N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(H)     N[5](N[5]C[5,6a]H)2{2|C<3>}    N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(H){2|C<3>,2|H<1>}   1.3080    0.0014    8     1.3080     0.0014    8
346    542     SP2_SP2    Y:D    3:3:    3:2:1:    N[5]-2_2_0:N[5]-3_2_2     C[5]-2_2_0:H-2:N[5]-2_2     N[5](N[5]C[5]H)(N[5]C[5]N)    N[5](C[5]C[5]H)(N[5]N[5])(H)     N[5](N[5]C[5]H)(N[5]C[5]N){2|H<1>}    N[5](C[5]C[5]H)(N[5]N[5])(H){1|H<1>,1|N<3>}   1.3083    0.0000    1     1.3083     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:1:    N[5]-2_2_2:N[5]-2_2_2     C[5,6a]-2_2_2:N[5]-2_2:O-2     N[5](N[5]C[5,6a]C)(N[5]C[5,6a]O)    N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(O)     N[5](N[5]C[5,6a]C)(N[5]C[5,6a]O){2|C<3>}    N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(O){1|H<1>,3|C<3>}   1.3073    0.0027    4     1.3073     0.0027    4
346    542     SP2_SP2    Y:D    3:3:    3:2:4:    N[5]-2_2_1:N[5]-3_2_2     C-2_0_0_0:C[5]-2_2_1:N[5]-2_2     N[5](N[5]C[5]C[6])(N[5]C[5]C)    N[5](C[5]C[6a]C[5])(N[5]N[5])(CH3)     N[5](N[5]C[5]C[6])(N[5]C[5]C){1|Ru<9>,1|N<3>,2|C<3>}    N[5](C[5]C[6a]C[5])(N[5]N[5])(CH3){1|Ru<9>,3|C<3>}   1.3088    0.0000    1     1.3088     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:4:    N[5]-2_2_1:N[5]-3_2_2     C-2_0_0_0:C[5]-2_2_1:N[5]-2_2     N[5](N[5]C[6a]C[5])(N[5]C[5]C)    N[5](C[5]C[5]C[6])(N[5]N[5])(CH3)     N[5](N[5]C[6a]C[5])(N[5]C[5]C){1|Pd<5>,3|C<3>}    N[5](C[5]C[5]C[6])(N[5]N[5])(CH3){1|Pd<5>,1|N<3>,2|C<3>}   1.3090    0.0000    1     1.3090     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:4:    N[5]-2_2_1:N[5]-3_2_2     C-2_0_0_0:C[5]-2_2_1:N[5]-2_2     N[5](N[5]C[6a]C[5])(N[5]C[5]C)    N[5](C[5]C[6a]C[5])(N[5]N[5])(CH3)     N[5](N[5]C[6a]C[5])(N[5]C[5]C){1|Au<2>,3|C<3>}    N[5](C[5]C[6a]C[5])(N[5]N[5])(CH3){1|Au<2>,3|C<3>}   1.3091    0.0000    1     1.3091     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:4:    N[5]-3_2_1:N[5]-3_2_2     C-2_0_0_0:C[5]-2_2_1:N[5]-2_2     N[5](N[5]C[5]C)2    N[5](C[5]C[5]C[6])(N[5]N[5])(CH3)     N[5](N[5]C[5]C)2{1|Ru<6>,1|C<3>}    N[5](C[5]C[5]C[6])(N[5]N[5])(CH3){1|Ru<6>,1|C<3>,1|C<4>,1|N<3>}   1.3082    0.0000    1     1.3082     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:4:    N[5]-3_2_1:N[5]-3_2_2     C-2_0_0_0:C[5]-3_2_1:N[5]-2_2     N[5](N[5]C[5]C)2    N[5](C[5]C[5]C)(N[5]N[5])(CH3)     N[5](N[5]C[5]C)2{1|Au<2>,1|C<4>}    N[5](C[5]C[5]C)(N[5]N[5])(CH3){1|Au<2>,1|C<4>}   1.3093    0.0000    1     1.3093     0.0000    1
346    542     SP2_SP2    Y:D    3:3:    3:2:4:    N[5]-3_2_1:N[5]-3_2_2     C-3_2_0_0:C[5]-3_2_1:N[5]-2_2     N[5](N[5]C[5]C)2    N[5](C[5]C[5]C[6])(N[5]N[5])(CCHH)     N[5](N[5]C[5]C)2{1|Pd<4>,1|C<4>}    N[5](C[5]C[5]C[6])(N[5]N[5])(CCHH){1|Pd<4>,1|O<2>,3|C<4>}   1.3086    0.0000    1     1.3086     0.0000    1
