643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|Cl<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,1|N<3>,1|S<2>,2|C<3>}   1.7444    0.0000    1     1.7470     0.0052    11
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|Cl<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,2|C<3>,2|N<3>}   1.7482    0.0034    3     1.7470     0.0052    11
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|I<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,2|C<3>,2|N<3>}   1.7367    0.0000    1     1.7470     0.0052    11
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|S<4>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<4>,1|H<1>,1|N<3>,2|C<3>}   1.7523    0.0000    1     1.7470     0.0052    11
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|S<4>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|N<3>,2|C<3>,2|H<1>}   1.7470    0.0052    4     1.7470     0.0052    11
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO){1|C<4>,1|H<1>,2|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|H<1>,1|N<2>,2|N<3>}   1.7379    0.0000    1     1.7386     0.0049    5
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|C<4>,1|H<1>,1|N<2>,1|N<3>}   1.7346    0.0046    2     1.7386     0.0049    5
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|H<1>,1|N<2>,2|N<3>}   1.7430    0.0018    2     1.7386     0.0049    5
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]S[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]S[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|H<1>,1|N<3>,2|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,1|N<3>,1|S<2>,2|C<3>}   1.7648    0.0000    1     1.7648     0.0000    1
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|C<4>,1|H<1>,1|N<2>,1|N<3>}   1.7428    0.0000    1     1.7419     0.0012    2
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|H<1>,1|N<2>,2|N<3>}   1.7410    0.0000    1     1.7419     0.0012    2
643    963     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-1_1_1:C[6a]-1_1_0:S[6]-1_1_1_1     C[6,6a]-1_1_0:N[6]-1_0:O-0:O-0     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|O<2>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,4|C<3>}   1.7482    0.0000    1     1.7482     0.0000    1
643    963     SP2_SP3    Y    3:3:4:    3:2:2:1:    C[6,6a]-1_1_0:C[6a]-1_1_0:S[6]-1_1_1_0     C[6,6a]-1_1_0:N-0_0:O-0:O[6]-0_0     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]O[6]NO)    S[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(NC)(O)     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]O[6]NO){1|C<3>,1|C<4>,4|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(NC)(O){2|C<3>,2|C<4>,2|H<1>}   1.7549    0.0000    1     1.7549     0.0000    1
643    963     SP2_SP3    Y    3:3:4:    3:3:1:1:    C[6,6a,6a]-1_1_1:C[6a]-1_1_0:S[6]-1_1_1_0     C[6,6a]-1_1_0:N[6]-0_0_0:O-0:O-0     C[6,6a](C[6,6a,6a]C[6a,6a]C[6,6a])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a,6a]C[6a])(N[6]S[6]O)(O)2     C[6,6a](C[6,6a,6a]C[6a,6a]C[6,6a])(C[6a]C[6a]H)(S[6]N[6]OO){1|H<1>,1|O<2>,1|S<4>,3|C<3>}    S[6](C[6,6a]C[6,6a,6a]C[6a])(N[6]S[6]O)(O)2{1|H<1>,2|O<1>,3|C<3>}   1.7540    0.0063    6     1.7540     0.0063    6
