286    286     SP3_SP3    Y    4:2:    4:2:    C[5,3x6]-3_3_3_2:S[6,6]-3_3     C[3x6]-3_3_3_2:S[6,6]-3_3     S[6,6](C[5,3x6]N[5,6,6]C[6,6]C[5])(S[6,6]C[3x6])    S[6,6](C[3x6]C[6,6]N[6,6]C)(S[6,6]C[5,3x6])     S[6,6](C[5,3x6]N[5,6,6]C[6,6]C[5])(S[6,6]C[3x6]){1|C<3>,1|H<1>,1|N<3>,1|O<1>,1|O<2>,3|C<4>}    S[6,6](C[3x6]C[6,6]N[6,6]C)(S[6,6]C[5,3x6]){1|C<3>,1|N<3>,1|O<1>,2|C<4>}   2.0710    0.0011    2     2.0710     0.0011    2
286    286     SP3_SP3    Y    4:2:    4:2:    C[5,3x6]-3_3_3_2:S[6,6]-3_3     C[5,3x6]-3_3_3_2:S[6,6]-3_3     S[6,6](C[5,3x6]N[5,6,6]C[6,6]C[5])(S[6,6]C[5,3x6])    S[6,6](C[5,3x6]N[5,6,6]C[6,6]C[5])(S[6,6]C[5,3x6])     S[6,6](C[5,3x6]N[5,6,6]C[6,6]C[5])(S[6,6]C[5,3x6]){1|C<3>,1|N<3>,1|O<1>,2|H<1>,3|C<4>}    S[6,6](C[5,3x6]N[5,6,6]C[6,6]C[5])(S[6,6]C[5,3x6]){1|C<3>,1|N<3>,1|O<1>,2|H<1>,3|C<4>}   2.0750    0.0078    3     2.0750     0.0078    3
286    286     SP3_SP3    Y    4:2:    4:2:    C[5,6,6]-3_3_2_0:S[6]-3_3     C[5,6,6]-3_3_2_0:S[6]-3_3     S[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(S[6]C[5,6,6])    S[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(S[6]C[5,6,6])     S[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(S[6]C[5,6,6]){1|C<3>,1|H<1>,5|C<4>}    S[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(S[6]C[5,6,6]){1|C<3>,1|H<1>,5|C<4>}   2.0187    0.0000    1     2.0187     0.0000    1
286    286     SP3_SP3    Y    4:2:    4:2:    C[5,6]-3_3_3_0:S[6]-3_3     C[6]-3_3_0_0:S[6]-3_3     S[6](C[5,6]C[5,6]C[5]H)(S[6]C[6])    S[6](C[6]C[5,6]HH)(S[6]C[5,6])     S[6](C[5,6]C[5,6]C[5]H)(S[6]C[6]){1|C<4>,1|N<3>,2|O<2>,4|H<1>}    S[6](C[6]C[5,6]HH)(S[6]C[5,6]){1|H<1>,1|O<2>,3|C<4>}   2.0532    0.0000    1     2.0532     0.0000    1
286    286     SP3_SP3    Y    4:2:    4:2:    C[6]-3_3_0_0:S[6]-3_3     C[6]-3_3_0_0:S[6]-3_3     S[6](C[6]C[6]HH)(S[6]C[6])    S[6](C[6]C[6]HH)(S[6]C[6])     S[6](C[6]C[6]HH)(S[6]C[6]){1|C<4>,1|N<3>,3|H<1>}    S[6](C[6]C[6]HH)(S[6]C[6]){1|C<4>,1|N<3>,3|H<1>}   2.0412    0.0000    1     2.0412     0.0000    1
286    286     SP3_SP3    Y    4:2:    4:2:    C[6]-3_3_2_0:S[6]-3_3     C[6]-3_3_0_0:S[6]-3_3     S[6](C[6]C[5,6]N[6a]H)(S[6]C[6])    S[6](C[6]C[5,6]HH)(S[6]C[6])     S[6](C[6]C[5,6]N[6a]H)(S[6]C[6]){1|C<4>,1|O<2>,2|C<3>,3|H<1>}    S[6](C[6]C[5,6]HH)(S[6]C[6]){1|C<4>,1|N<3>,1|O<2>,2|H<1>}   2.0429    0.0014    2     2.0429     0.0014    2
286    362     SP-NON_SP3    Y    6:3:    6:6:6:6:6:2:    C[5x3,5x5,21x6]-3_0_0_0_0_0:C[6]-3_2_0     B[5x3,5x5,20x6]-0_0_0_0_0_0:B[5x3,5x5,20x6]-0_0_0_0_0_0:B[5x3,5x5,20x6]-0_0_0_0_0_0:B[5x3,5x5,20x6]-0_0_0_0_0_0:C[5x3,5x5,21x6]-3_0_0_0_0_0:S[6]-2_0     S[6](C[5x3,5x5,21x6]B[5x3,5x5,20x6]4C[5x3,5x5,21x6])(C[6]C[6]H)    C[5x3,5x5,21x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,21x6]H)2(C[5x3,5x5,21x6]B[5x3,5x5,20x6]4S[6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(S[6]C[6])     S[6](C[5x3,5x5,21x6]B[5x3,5x5,20x6]4C[5x3,5x5,21x6])(C[6]C[6]H){1|C<3>,1|S<2>,4|H<1>,5|B<6>}    C[5x3,5x5,21x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,21x6]H)2(C[5x3,5x5,21x6]B[5x3,5x5,20x6]4S[6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(S[6]C[6]){1|B<6>,1|C<3>,6|H<1>}   1.7826    0.0000    2     1.7826     0.0000    2
286    362     SP-NON_SP3    Y    6:3:    6:6:6:6:6:2:    C[5x3,5x5,21x6]-3_0_0_0_0_0:C[6]-3_2_2     B[5x3,5x5,20x6]-0_0_0_0_0_0:B[5x3,5x5,20x6]-0_0_0_0_0_0:B[5x3,5x5,20x6]-0_0_0_0_0_0:B[5x3,5x5,20x6]-0_0_0_0_0_0:C[5x3,5x5,21x6]-3_0_0_0_0_0:S[6]-2_0     S[6](C[5x3,5x5,21x6]B[5x3,5x5,20x6]4C[5x3,5x5,21x6])(C[6]C[6]C)    C[5x3,5x5,21x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,21x6]H)2(C[5x3,5x5,21x6]B[5x3,5x5,20x6]4S[6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(S[6]C[6])     S[6](C[5x3,5x5,21x6]B[5x3,5x5,20x6]4C[5x3,5x5,21x6])(C[6]C[6]C){1|S<2>,5|B<6>,5|H<1>}    C[5x3,5x5,21x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,21x6]H)2(C[5x3,5x5,21x6]B[5x3,5x5,20x6]4S[6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(S[6]C[6]){1|B<6>,2|C<3>,5|H<1>}   1.7867    0.0000    2     1.7867     0.0000    2
286    466     SP3_SP3    Y    3:4:    2:3:1:1:    C[5,6]-3_2_2:C[6]-3_2_0_0     C[6]-3_3_2:H-3:H-3:S[6]-3_2     S[6](C[5,6]N[5,6]N[5])(C[6]C[6]HH)    C[6](S[6]C[5,6])(C[6]N[6]C)(H)2     S[6](C[5,6]N[5,6]N[5])(C[6]C[6]HH){1|Ru<6>,1|C<3>,1|C<4>,2|N<2>}    C[6](S[6]C[5,6])(C[6]N[6]C)(H)2{2|N<3>}   1.8205    0.0000    1     1.8205     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:3:1:1:    C[5,6]-3_3_2:C[6]-3_2_0_0     C[6]-3_3_2:H-3:H-3:S[6]-3_2     S[6](C[5,6]C[5,6]S[5])(C[6]C[6]HH)    C[6](S[6]C[5,6])(C[6]S[6]C)(H)2     S[6](C[5,6]C[5,6]S[5])(C[6]C[6]HH){2|C<3>,2|S<2>}    C[6](S[6]C[5,6])(C[6]S[6]C)(H)2{1|C<3>,1|S<2>}   1.8388    0.0000    1     1.8388     0.0000    1
