474    960     SP2_SP3    Y    2:2:4:4:    4:2:    C-3_3_0_0:C-3_3_0_0:N[5]-3_2:S[5]-3_2     C[5]-3_3_2_2:N[5]-2_2     C[5](N[5]N[5])(S[5]C[5])(CCHH)2    N[5](C[5]S[5]CC)(N[5]C[5])     C[5](N[5]N[5])(S[5]C[5])(CCHH)2{1|N<2>}    N[5](C[5]S[5]CC)(N[5]C[5]){1|N<2>}   1.4758    0.0000    1     1.4758     0.0000    1
474    960     SP2_SP3    Y    2:3:4:1:    5:4:    C-3_2_0_0:C[5]-3_2_2:H-3:N[5]-5_3     C[5]-3_2_2_0:P[5,5]-3_2_2_2_0     C[5](N[5]P[5,5])(C[5]O[5]O)(CC[6a]HH)(H)    N[5](P[5,5]N[5]O[5]2Cl)(C[5]C[5]CH)     C[5](N[5]P[5,5])(C[5]O[5]O)(CC[6a]HH)(H){1|Cl<1>,1|N<3>,1|O<2>}    N[5](P[5,5]N[5]O[5]2Cl)(C[5]C[5]CH){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4400    0.0000    1     1.4400     0.0000    1
474    960     SP2_SP3    Y    2:3:4:1:    5:4:    C-3_3_3_0:C[5]-3_2_2:H-3:N[5]-5_3     C[5]-3_2_2_0:P[5,5]-2_2_2_2_0     C[5](N[5]P[5,5])(C[5]O[5]O)(CCCH)(H)    N[5](P[5,5]N[5]O[5]2Cl)(C[5]C[5]CH)     C[5](N[5]P[5,5])(C[5]O[5]O)(CCCH)(H){1|Cl<1>,1|N<2>,1|O<2>}    N[5](P[5,5]N[5]O[5]2Cl)(C[5]C[5]CH){1|C<3>,1|C<4>,1|O<1>}   1.4420    0.0000    1     1.4420     0.0000    1
474    960     SP2_SP3    Y    3:2:1:1:    3:4:    C[5]-3_2_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-2_2_2     C[5](C[5]O[5]C)(N[5]C[5])(H)2    N[5](C[5]C[6a]O[5])(C[5]C[5]HH)     C[5](C[5]O[5]C)(N[5]C[5])(H)2{1|C<3>}    N[5](C[5]C[6a]O[5])(C[5]C[5]HH){3|C<3>}   1.4683    0.0000    1     1.4683     0.0000    1
474    960     SP2_SP3    Y    3:2:1:1:    3:4:    C[5]-3_3_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-3_2_2     C[5](C[5]C[5]C)(N[5]C[5])(H)2    N[5](C[5]C[6a]C[5])(C[5]C[5]HH)     C[5](C[5]C[5]C)(N[5]C[5])(H)2{3|C<3>}    N[5](C[5]C[6a]C[5])(C[5]C[5]HH){5|C<3>}   1.4581    0.0000    1     1.4581     0.0000    1
474    960     SP2_SP3    Y    3:2:1:1:    4:2:    C[5]-3_3_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:N[5]-3_2     C[5](C[5]C[5]C)(N[5]N[5])(H)2    N[5](C[5]C[5]HH)(N[5]C[5])     C[5](C[5]C[5]C)(N[5]N[5])(H)2{1|C<3>,1|C<4>}    N[5](C[5]C[5]HH)(N[5]C[5]){1|C<4>,2|C<3>}   1.4861    0.0000    1     1.4861     0.0000    1
474    960     SP2_SP3    Y    3:2:1:1:    4:3:    C[5]-3_2_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-2_2_2     C[5](C[5]N[5]O)(N[5]C[5])(H)2    N[5](C[5]C[5]HH)(C[5]N[5]N)     C[5](C[5]N[5]O)(N[5]C[5])(H)2{1|C<3>,1|N<3>}    N[5](C[5]C[5]HH)(C[5]N[5]N){1|C<3>,1|O<1>}   1.4552    0.0045    4     1.4554     0.0040    5
474    960     SP2_SP3    Y    3:2:1:1:    4:3:    C[5]-3_2_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-2_2_2     C[5](C[5]N[5]O)(N[5]C[5])(H)2    N[5](C[5]C[5]HH)(C[5]N[5]N)     C[5](C[5]N[5]O)(N[5]C[5])(H)2{1|C<4>,1|N<3>}    N[5](C[5]C[5]HH)(C[5]N[5]N){1|C<4>,1|O<1>}   1.4561    0.0000    1     1.4554     0.0040    5
474    960     SP2_SP3    Y    3:2:1:1:    4:3:    C[5]-3_2_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-2_2_2     C[5](C[5]S[5]C)(N[5]C[5])(H)2    N[5](C[5]C[5]HH)(C[5]S[5]N)     C[5](C[5]S[5]C)(N[5]C[5])(H)2{1|N<3>}    N[5](C[5]C[5]HH)(C[5]S[5]N){1|C<3>}   1.4543    0.0039    5     1.4543     0.0039    5
474    960     SP2_SP3    Y    3:2:1:1:    4:3:    C[5]-3_2_2:H-3:H-3:N[5]-3_2     C[5]-2_2_0_0:C[5]-3_2_2     C[5](C[5]O[5]C)(N[5]C[5])(H)2    N[5](C[5]C[5]HH)(C[5]O[5]C)     C[5](C[5]O[5]C)(N[5]C[5])(H)2{1|C<4>}    N[5](C[5]C[5]HH)(C[5]O[5]C){1|C<3>}   1.4627    0.0000    1     1.4627     0.0000    1
