502    542     SP3_SP3    N:O    2:2:3:3:    4:4:4:    N[5]-3_3_3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_3_2_2     P[6](N[6]P[6,6])2(N[5]C[5]2)2    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2     P[6](N[6]P[6,6])2(N[5]C[5]2)2{1|N<2>,2|N<3>,2|O<2>,4|C<4>,8|H<1>}    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2{2|C<4>,2|P<4>,4|H<1>}   1.6484    0.0054    4     1.6484     0.0054    4
502    542     SP3_SP3    N:O    2:3:2:1:    4:4:4:    Cl-3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_2_2_0     P[6](N[6]P[5,6])(N[5]C[5]2)(N[6]P[6])(Cl)    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2     P[6](N[6]P[5,6])(N[5]C[5]2)(N[6]P[6])(Cl){2|Cl<1>,1|N<2>,1|N<3>,1|O<2>,2|C<4>,4|H<1>}    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2{2|P<4>,4|H<1>}   1.6080    0.0000    1     1.6101     0.0030    2
502    542     SP3_SP3    N:O    2:3:2:1:    4:4:4:    Cl-3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_2_2_0     P[6](N[6]P[5,6])(N[5]C[5]2)(N[6]P[6])(Cl)    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2     P[6](N[6]P[5,6])(N[5]C[5]2)(N[6]P[6])(Cl){2|Cl<1>,1|N<2>,2|C<4>,2|O<2>,4|H<1>}    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2{2|P<4>,4|H<1>}   1.6122    0.0000    1     1.6101     0.0030    2
502    542     SP3_SP3    N:O    2:3:2:1:    4:4:4:    Cl-3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_2_2_0     P[6](N[6]P[6,6])(N[5]C[5]2)(N[6]P[6])(Cl)    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2     P[6](N[6]P[6,6])(N[5]C[5]2)(N[6]P[6])(Cl){2|Cl<1>,1|N<2>,1|N<3>,1|O<2>,2|C<4>,4|H<1>}    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2{2|P<4>,4|H<1>}   1.6197    0.0075    3     1.6207     0.0064    4
502    542     SP3_SP3    N:O    2:3:2:1:    4:4:4:    Cl-3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_2_2_0     P[6](N[6]P[6,6])(N[5]C[5]2)(N[6]P[6])(Cl)    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2     P[6](N[6]P[6,6])(N[5]C[5]2)(N[6]P[6])(Cl){2|Cl<1>,1|N<2>,2|C<4>,2|N<3>,4|H<1>}    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2{2|P<4>,4|H<1>}   1.6239    0.0000    1     1.6207     0.0064    4
502    542     SP3_SP3    N:O    2:3:3:2:    4:4:4:    N[5]-3_3_3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_3_2_2     P[6](N[6]P[6,6])(N[5]C[5]2)2(N[6]P[6])    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2     P[6](N[6]P[6,6])(N[5]C[5]2)2(N[6]P[6]){1|N<2>,1|O<2>,3|N<3>,4|C<4>,8|H<1>}    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2{2|C<4>,2|P<4>,4|H<1>}   1.6488    0.0089    8     1.6462     0.0103    10
502    542     SP3_SP3    N:O    2:3:3:2:    4:4:4:    N[5]-3_3_3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_3_2_2     P[6](N[6]P[6,6])(N[5]C[5]2)2(N[6]P[6])    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2     P[6](N[6]P[6,6])(N[5]C[5]2)2(N[6]P[6]){2|Cl<1>,1|N<2>,2|N<3>,4|C<4>,8|H<1>}    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2{2|C<4>,2|P<4>,4|H<1>}   1.6355    0.0106    2     1.6462     0.0103    10
502    542     SP3_SP3    N:O    3:2:2:1:    4:4:4:    Cl-3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_2_2_0     P[6](N[5]C[5]2)(N[6]P[6])2(Cl)    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2     P[6](N[5]C[5]2)(N[6]P[6])2(Cl){1|N<2>,2|C<4>,4|H<1>,4|O<2>}    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2{2|P<4>,4|H<1>}   1.6203    0.0000    1     1.6203     0.0000    1
502    542     SP3_SP3    N:O    3:2:2:2:    4:4:4:    N[5]-3_3_3:N[6]-3_3:N[6]-3_3:O-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_3_2_2     P[6](N[5]C[5]2)(N[6]P[6])2(OC)    N[5](C[5]C[5]HH)2(P[6]N[6]2O)     P[6](N[5]C[5]2)(N[6]P[6])2(OC){2|Cl<1>,1|N<2>,2|C<4>,2|O<2>,4|H<1>}    N[5](C[5]C[5]HH)2(P[6]N[6]2O){2|P<4>,4|H<1>}   1.6183    0.0000    1     1.6183     0.0000    1
502    542     SP3_SP3    N:O    3:3:2:2:    4:4:4:    N[5]-3_3_3:N[5]-3_3_3:N[6]-3_3:N[6]-3_3     C[5]-3_3_0_0:C[5]-3_3_0_0:P[6]-3_3_2_2     P[6](N[5]C[5]2)2(N[6]P[6])2    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2     P[6](N[5]C[5]2)2(N[6]P[6])2{1|N<2>,4|C<4>,4|N<3>,8|H<1>}    N[5](P[6]N[5]N[6]2)(C[5]C[5]HH)2{2|C<4>,2|P<4>,4|H<1>}   1.6523    0.0094    2     1.6523     0.0094    2
