956  996  SP3_SP3  N  4:3:4:  3:4:3:3:  C-3_2_2:C-3_3_3_3:Si[4,5]-3_3_2_2  C[4]-3_2_2:C[5,6a]-3_2_2:N-3_3_2:Si[4,5]-3_2_2_2  599_10570_0  817_4_1  1.7799  0.0000  1  1.7799  0.0000  1  
956  996  SP3_SP3  N  4:4:1:  3:3:4:3:  C-3_3_3_3:H-3:Si[4]-3_3_3_3  C-3_0_0_0:N-3_3_0:N[4]-3_3_3:N[4]-3_3_3  599_10592_0  820_119_1  1.7146  0.0000  2  1.7146  0.0000  2  
956  996  SP3_SP3  N  4:4:4:  3:3:3:1:  Si-3_3_3_3:Si-3_3_3_3:Si[4]-3_2_2_0  Cl-3:N-3_3_3:N[4]-3_3_2:N[4]-3_3_2  599_10596_0  820_83_1  1.6609  0.0000  1  1.6609  0.0000  1  
956  996  SP3_SP3  N  4:4:4:  3:3:3:1:  Si-3_3_3_3:Si-3_3_3_3:Si[4]-3_2_2_0  N-3_3_3:N[4]-3_3_2:N[4]-3_3_2:Se-3  599_10611_0  820_87_1  1.7086  0.0089  2  1.7086  0.0089  2  
956  996  SP3_SP3  N  4:4:4:  3:3:3:2:  C-3_0_0_0:C-3_0_0_0:Si[4]-3_2_2_2  N-3_3_3:N-3_3:N[4]-3_2_2:N[4]-3_2_2  599_10604_0  820_101_1  1.6873  0.0000  1  1.6873  0.0000  1  
956  996  SP3_SP3  N  4:4:4:  3:3:3:2:  C[3x6]-3_3_3_3:Si-3_3_3_3:Si[4]-3_2_2_2  N-3_3_3:N-3_3:N[4]-3_3_2:N[4]-3_3_2  599_3927_0  820_57_1  1.7201  0.0000  1  1.7201  0.0000  1  
956  996  SP3_SP3  N  4:4:4:  3:3:3:2:  Si-3_3_3_3:Si-3_3_3_3:Si[4]-3_3_2_2  N-3_3_3:N[4]-3_3_2:N[4]-3_3_2:O-3_3  599_10607_0  820_84_1  1.6744  0.0000  1  1.6744  0.0000  1  
956  996  SP3_SP3  N  4:4:4:  3:3:3:2:  Si-3_3_3_3:Si-3_3_3_3:Si[4]-3_3_2_2  N-3_3_3:N[4]-3_3_2:N[4]-3_3_2:S-3_0  599_10609_0  820_86_1  1.7018  0.0000  1  1.7018  0.0000  1  
957  957  SP1_SP1  N  3:2:  3:2:  C[6a]-2_2_1:Si-2_1  C[6a]-2_2_1:Si-2_1  787_1282_0  787_1282_0  2.1007  0.0000  1  2.1007  0.0000  1  
957  957  SP1_SP1  N  4:2:  4:2:  Si-3_1:Si-3_3_3_1  Si-3_1:Si-3_3_3_1  787_2167_0  787_2167_0  2.1148  0.0819  2  2.1148  0.0819  2  
