210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[3,5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[3,5]C[5]H)(NN)    C[5](C[3,5]C[3,5]C[3]H)(C[5]C[5]HO)(NN)(H)     N(C[5]C[3,5]C[5]H)(NN)    C[5](C[3,5]C[3,5]C[3]H)(C[5]C[5]HO)(NN)(H){1|C<3>,1|O<2>,3|H<1>}   1.4957    0.0000    1     1.4957     0.0000    1
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5,5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]C[5,5]O[5]H)(C[5]O[5]CC)(NN)(H)     N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]C[5,5]O[5]H)(C[5]O[5]CC)(NN)(H){1|C<4>,1|H<1>,1|O<2>}   1.4771    0.0036    2     1.4771     0.0036    2
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5,5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]C[5]2N[5])(C[5]C[5]HN)(NN)(H)     N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]C[5]2N[5])(C[5]C[5]HN)(NN)(H){1|C<3>,1|H<1>,3|C<4>,3|O<2>}   1.4778    0.0000    1     1.4778     0.0000    1
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5,5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]C[5]2O[5])(C[5]C[5]O[5]H)(NN)(H)     N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]C[5]2O[5])(C[5]C[5]O[5]H)(NN)(H){1|O<1>,2|C<4>,2|O<2>,3|H<1>}   1.4662    0.0000    1     1.4662     0.0000    1
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5,5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]N[5,5]C[5]H)(C[5]C[5]HO)(NN)(H)     N(C[5]C[5,5]C[5]H)(NN)    C[5](C[5,5]N[5,5]C[5]H)(C[5]C[5]HO)(NN)(H){1|Br<1>,2|C<4>,4|H<1>}   1.4581    0.0000    1     1.4581     0.0000    1
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5,6]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5,6]C[5]H)(NN)    C[5](C[5,6]C[5,6]O[6]H)(C[5]O[5]CH)(NN)(H)     N(C[5]C[5,6]C[5]H)(NN)    C[5](C[5,6]C[5,6]O[6]H)(C[5]O[5]CH)(NN)(H){1|H<1>,2|C<4>}   1.4644    0.0000    1     1.4644     0.0000    1
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5]2H)(NN)    C[5](C[5]C[3,5]CH)(C[5]C[3,5]HH)(NN)(H)     N(C[5]C[5]2H)(NN)    C[5](C[5]C[3,5]CH)(C[5]C[3,5]HH)(NN)(H){1|H<1>,1|N<3>,2|C<4>}   1.4977    0.0137    2     1.4977     0.0137    2
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5]2H)(NN)    C[5](C[5]C[5]HH)(C[5]N[5]HH)(NN)(H)     N(C[5]C[5]2H)(NN)    C[5](C[5]C[5]HH)(C[5]N[5]HH)(NN)(H){1|H<1>,2|C<3>}   1.4904    0.0079    2     1.4905     0.0056    3
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5]2H)(NN)    C[5](C[5]C[5]HH)(C[5]N[5]HH)(NN)(H)     N(C[5]C[5]2H)(NN)    C[5](C[5]C[5]HH)(C[5]N[5]HH)(NN)(H){1|H<1>,2|C<4>}   1.4908    0.0000    1     1.4905     0.0056    3
210    474     4:2:    4:4:2:1:    C[5]-4:N-2:     C[5]-4:C[5]-4:N-2:H-1:     N    N(C[5]C[5]2H)(NN)    C[5](C[5]C[5]HO)(C[5]N[5]CH)(NN)(H)     N(C[5]C[5]2H)(NN)    C[5](C[5]C[5]HO)(C[5]N[5]CH)(NN)(H){1|S<4>,2|H<1>}   1.5048    0.0137    2     1.5048     0.0137    2
