643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_24395_1  599_7019_0  1.3577  0.0000  1  1.3577  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_2:N-2  C[6a]-2_2_1  451_14349_1  599_7019_0  1.4253  0.0000  1  1.4253  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_2:N-2  C[6a]-2_2_1  451_15712_1  599_7019_0  1.3631  0.0000  1  1.3631  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_2:N-2  C[6a]-2_2_1  451_19482_1  599_7019_0  1.3577  0.0000  1  1.3577  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-3_2_2:N-2  C[6a]-2_2_1  451_20812_1  599_7019_0  1.3569  0.0000  1  1.3569  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-3_2_2:C[6a]-3_2_2:N-2  C[6a]-2_2_1  451_16742_1  599_7019_0  1.4170  0.0000  1  1.4170  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:3:3:  C[3]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_0:C[3]-2_2_2:C[6a]-2_2_2  451_22581_1  295_1218_1  1.4349  0.0089  6  1.4349  0.0089  6  
643  902  SP2_SP2  N  3:3:3:  3:3:3:  C[3]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2:C[3]-2_2_2:C[6a]-2_2_2  451_22581_2  295_1217_1  1.4455  0.0047  2  1.4455  0.0047  2  
643  902  SP2_SP2  N  3:3:3:  3:3:3:  C[3]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2:C[3]-6_2_2:C[6a]-2_2_2  451_22581_3  295_1219_1  1.4519  0.0033  2  1.4519  0.0033  2  
643  902  SP2_SP2  N  3:3:3:  3:3:3:  C[3]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2:C[3]-8_2_2:C[6a]-2_2_2  451_22581_4  295_1216_1  1.4486  0.0020  2  1.4486  0.0020  2  
643  902  SP2_SP2  N  3:3:3:  3:3:4:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_0:C[3]-3_2_2:C[6a]-2_2_2  451_22581_5  295_1215_1  1.4414  0.0162  6  1.4414  0.0162  6  
643  902  SP2_SP2  N  3:3:3:  3:3:4:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:P[3]-6_3_2_2  451_828_1  295_1552_1  1.4535  0.0024  2  1.4535  0.0024  2  
643  902  SP2_SP2  N  3:3:3:  3:4:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_0:C[6a]-2_2_2:N[3]-3_2  451_809_1  295_1920_1  1.4472  0.0000  1  1.4490  0.0061  5  
643  902  SP2_SP2  N  3:3:3:  3:4:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_0:C[6a]-2_2_2:N[3]-3_2  451_809_2  295_1920_1  1.4494  0.0069  4  1.4490  0.0061  5  
643  902  SP2_SP2  N  3:3:3:  3:4:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2_0:C[6a]-2_2_2:N[3]-3_2  451_13003_1  295_1920_1  1.4426  0.0000  1  1.4426  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:4:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_3_2_2:C[6a]-2_2_2:N[3]-3_2  451_809_3  295_1931_1  1.4433  0.0000  1  1.4433  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_0_0:C[3]-3_2_2:C[6a]-2_2_2  451_22581_6  295_1210_1  1.4327  0.0038  2  1.4327  0.0038  2  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_0_0:C[6a]-2_2_2:N[3]-3_2_0  451_809_4  295_1926_1  1.4435  0.0030  2  1.4435  0.0030  2  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_1_0:C[3]-8_3_2:C[6a]-2_2_2  451_22581_7  295_1877_1  1.4517  0.0000  1  1.4517  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_1:C[3]-3_2_0:C[6a]-2_2_2  451_22581_8  295_1867_1  1.4452  0.0017  2  1.4452  0.0017  2  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_0:C[3]-3_3_2_2:C[6a]-2_2_2  451_22581_9  295_1862_1  1.4559  0.0000  1  1.4559  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[3]-3_3_2_2:C[6a]-2_2_2  451_22581_10  295_1864_1  1.4407  0.0000  1  1.4407  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:Ge[3]-3_3_2_2  451_844_1  295_1453_1  1.4643  0.0004  2  1.4643  0.0004  2  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:P[3]-9_3_2_2  451_828_2  295_1555_1  1.4514  0.0019  2  1.4514  0.0019  2  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:Si[3]-2_2_2_2  451_862_1  295_1560_1  1.4690  0.0000  1  1.4690  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:Si[3]-3_2_2_2  451_862_2  295_1561_1  1.4702  0.0025  2  1.4728  0.0042  4  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_2_2:C[6a]-2_2_2:Si[3]-3_2_2_2  451_862_3  295_1561_1  1.4754  0.0045  2  1.4728  0.0042  4  
643  902  SP2_SP2  N  3:3:3:  3:4:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-3_3_2:C[6a]-2_2_2:P[3]-3_3_2_2  451_828_3  295_1946_1  1.4581  0.0000  1  1.4581  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,5]-2_2_2_2:C[6a]-2_2_2:N[3]-3_2  451_787_1  295_317_1  1.4467  0.0008  2  1.4467  0.0008  2  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-2_2_2_2:C[6a]-2_2_2:N[3]-3_2  451_802_1  295_557_1  1.4517  0.0000  1  1.4517  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-2_2_2_2:C[6a]-2_2_2:O[3]-3_2  451_803_1  295_534_1  1.4918  0.0000  1  1.4918  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-3_2_2_2:C[6a]-2_2_2:N[3]-3_2  451_802_2  295_533_1  1.4475  0.0033  3  1.4455  0.0049  4  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3,6]-3_2_2_2:C[6a]-2_2_2:N[3]-3_2  451_802_2  295_533_2  1.4393  0.0000  1  1.4455  0.0049  4  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_0:C[6a]-2_2_2:N[3]-3_2  451_809_2  295_1473_1  1.4411  0.0000  1  1.4411  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:2:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-2_2_2_1:C[6a]-2_2_2:N[3]-3_2  451_809_5  295_1466_1  1.4502  0.0000  1  1.4502  0.0000  1  
