958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_2_2:H-3_3     H(OC[6])(OC)    O(CC[6]O)(HO)     H(OC[6])(OC)    O(CC[6]O)(HO)   1.4277    0.0000    1     1.4277     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_2_2:H-3_3     H(OC[6])(OC)    O(CC[6a]O)(HO)     H(OC[6])(OC)    O(CC[6a]O)(HO)   1.2037    0.0368    3     1.2037     0.0368    3
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_2_2:H-3_3     H(OC[6a])(OC)    O(CC[6a]O)(HO)     H(OC[6a])(OC)    O(CC[6a]O)(HO)   1.2566    0.1637    3     1.2566     0.1637    3
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_3_2:H-3_3     H(OC)(ON)    O(CCO)(HO)     H(OC)(ON)    O(CCO)(HO)   1.1619    0.0828    2     1.1619     0.0828    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_3_2:H-3_3     H(OC)2    O(CC[4]O)(HO)     H(OC)2    O(CC[4]O)(HO)   1.2499    0.2079    4     1.2499     0.2079    4
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_3_2:H-3_3     H(OC)2    O(CC[6,6]O)(HO)     H(OC)2    O(CC[6,6]O)(HO)   1.2202    0.1537    4     1.2202     0.1537    4
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_3_2:H-3_3     H(OC)2    O(CC[6a]C)(HO)     H(OC)2    O(CC[6a]C)(HO)   1.2219    0.0000    1     1.2219     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_3_2:H-3_3     H(OC[6])(OC)    O(CCO)(HO)     H(OC[6])(OC)    O(CCO)(HO)   1.2312    0.0449    2     1.2312     0.0449    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C-3_3_2:H-3_3     H(OC[6a])(OC)    O(CCO)(HO)     H(OC[6a])(OC)    O(CCO)(HO)   1.4118    0.0000    1     1.4118     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[4]-3_2_2:H-3_3     H(OC[4])2    O(C[4]C[4]2)(HO)     H(OC[4])2    O(C[4]C[4]2)(HO)   1.2421    0.0008    3     1.2421     0.0008    3
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[4]-3_2_2:H-3_3     H(OC[4a])(OC[4])    O(C[4]C[4]2)(HO)     H(OC[4a])(OC[4])    O(C[4]C[4]2)(HO)   1.1432    0.1248    2     1.1432     0.1248    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[4a]-3_2_2:H-3_3     H(OC[4a])(OC[4])    O(C[4a]C[4a]2)(HO)     H(OC[4a])(OC[4])    O(C[4a]C[4a]2)(HO)   1.4103    0.0000    1     1.4103     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[4a]-3_2_2:H-3_3     H(OC[4a])2    O(C[4a]C[4a]2)(HO)     H(OC[4a])2    O(C[4a]C[4a]2)(HO)   1.2308    0.1709    6     1.2308     0.1709    6
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[5]-3_3_2:H-3_3     H(OC[5])(OC[6])    O(C[5]C[5]N[5])(HO)     H(OC[5])(OC[6])    O(C[5]C[5]N[5])(HO)   1.4427    0.0000    1     1.4427     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6,6]-3_3_2:H-3_3     H(OC[6,6])2    O(C[6,6]C[3x6]C[6,6])(HO)     H(OC[6,6])2    O(C[6,6]C[3x6]C[6,6])(HO)   1.1908    0.0067    2     1.1908     0.0067    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[5])(OC[6])    O(C[6]C[6]2)(HO)     H(OC[5])(OC[6])    O(C[6]C[6]2)(HO)   1.0455    0.0000    1     1.0455     0.0000    1
