762    830     3:3:1:    3:    C[5a,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[5a,6a]C[5a,6a]N[5a])(C[6a]C[6a]F)(F)    F(C[6a]C[5a,6a]C[6a])     C[6a](C[5a,6a]C[5a,6a]N[5a])(C[6a]C[6a]F)(F){1|C<4>,1|F<1>,1|N<3>,2|C<3>}    F(C[6a]C[5a,6a]C[6a])   1.3467    0.0000    1     1.3467     0.0000    1
762    830     3:3:1:    3:    C[6,6,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6,6,6a]C[6,6,6a]C[3x6])(C[6a]C[6a]F)(F)    F(C[6a]C[6,6,6a]C[6a])     C[6a](C[6,6,6a]C[6,6,6a]C[3x6])(C[6a]C[6a]F)(F){1|C<3>,1|F<1>,1|H<1>,3|C<4>}    F(C[6a]C[6,6,6a]C[6a])   1.3454    0.0000    1     1.3454     0.0000    1
762    830     3:3:1:    3:    C[6,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]F)(F)    F(C[6a]C[6,6a]C[6a])     C[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]F)(F){1|B<4>,1|C<4>,1|F<1>,2|C<3>}    F(C[6a]C[6,6a]C[6a])   1.3418    0.0000    1     1.3418     0.0000    1
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]2)(C[6]C[6]H)(F)    F(C[6]C[6]2)     C[6](C[6]C[6]2)(C[6]C[6]H)(F){1|Ir<6>,1|F<1>,1|N<3>,2|C<3>}    F(C[6]C[6]2)   1.3490    0.0013    2     1.3490     0.0013    2
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]C)(C[6]N[6]H)(F)    F(C[6]C[6]2)     C[6](C[6]C[6]C)(C[6]N[6]H)(F){1|Zn<6>,1|C<3>,1|H<1>}    F(C[6]C[6]2)   1.3456    0.0000    1     1.3456     0.0000    1
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)(C[6]C[6]P)(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)(C[6]C[6]P)(F){1|Au<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3414    0.0013    2     1.3414     0.0013    2
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Al<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3446    0.0018    13     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Al<5>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3454    0.0000    2     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Au<2>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3424    0.0036    3     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Au<3>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3392    0.0109    2     1.3434     0.0031    109
