490  830  SP-NON_SP3  N  3:1:1:1:  4:  Br-3:C-3_2_2:F-3:F-3  C-2_0_0_0  240_16255_0  465_118_0  1.3213  0.0018  2  1.3213  0.0018  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  Br-3:C[6]-3_2_2:F-3:F-3  C-2_0_0_0  240_34495_0  465_199_0  1.3354  0.0252  2  1.3354  0.0252  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-12_3_2:F-3:F-3:H-3  C-2_0_0_0  240_4845_0  465_131_0  1.3812  0.0000  1  1.3812  0.0000  1  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-12_3_2:F-3:F-3:H-3  C-2_0_0_0  240_15217_0  465_131_0  1.3673  0.0090  4  1.3673  0.0090  4  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_0_0:F-3:F-3:F-3  C-2_0_0_0  240_12510_0  465_130_0  1.2528  0.0142  3  1.2528  0.0142  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_0_0:F-3:H-3:H-3  C-2_0_0_0  240_13652_0  465_138_0  1.3511  0.0000  1  1.3511  0.0000  1  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_2322_0  465_130_0  1.3250  0.0328  51  1.3250  0.0328  51  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_2583_0  465_130_0  1.3268  0.0225  75  1.3268  0.0225  75  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_11976_0  465_130_0  1.3246  0.0124  33  1.3246  0.0124  33  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_12167_0  465_130_0  1.2983  0.0019  3  1.2983  0.0019  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_14868_0  465_130_0  1.3131  0.0239  12  1.3131  0.0239  12  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_14932_0  465_130_0  1.3214  0.0057  3  1.3214  0.0057  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_16672_0  465_130_0  1.3458  0.0122  6  1.3458  0.0122  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_17116_0  465_130_0  1.3297  0.0186  9  1.3297  0.0186  9  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:F-3  C-2_0_0_0  240_17138_0  465_130_0  1.3341  0.0170  12  1.3341  0.0170  12  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:H-3  C-2_0_0_0  240_2582_0  465_131_0  1.3501  0.0021  2  1.3501  0.0021  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:H-3  C-2_0_0_0  240_16096_0  465_131_0  1.3877  0.0096  2  1.3877  0.0096  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:F-3:I-3  C-2_0_0_0  240_2321_0  465_132_0  1.4026  0.0533  2  1.4026  0.0533  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:H-3:H-3  C-2_0_0_0  240_2579_0  465_138_0  1.3894  0.0000  1  1.3894  0.0000  1  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_0:F-3:H-3:H-3  C-2_0_0_0  240_4466_0  465_138_0  1.3313  0.0272  6  1.3313  0.0272  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_1:F-3:F-3:F-3  C-2_0_0_0  240_1467_0  465_130_0  1.3367  0.0161  72  1.3367  0.0161  72  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_1:F-3:F-3:F-3  C-2_0_0_0  240_8870_0  465_130_0  1.3308  0.0119  24  1.3308  0.0119  24  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:Cl-3:F-3:F-3  C-2_0_0_0  240_4527_0  465_240_0  1.3435  0.0101  2  1.3435  0.0101  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:Cl-3:F-3:F-3  C-2_0_0_0  240_15366_0  465_240_0  1.3366  0.0084  8  1.3366  0.0084  8  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:Cl-3:F-3:F-3  C-2_0_0_0  240_16769_0  465_240_0  1.3454  0.0249  26  1.3454  0.0249  26  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_4532_0  465_130_0  1.3305  0.0125  394  1.3305  0.0125  394  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_4669_0  465_130_0  1.3124  0.0301  1539  1.3124  0.0301  1539  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_5638_0  465_130_0  1.3232  0.0132  3  1.3232  0.0132  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_6485_0  465_130_0  1.3237  0.0099  18  1.3237  0.0099  18  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_6540_0  465_130_0  1.3286  0.0127  24  1.3286  0.0127  24  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_6622_0  465_130_0  1.3232  0.0288  51  1.3232  0.0288  51  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_6691_0  465_130_0  1.3288  0.0145  18  1.3288  0.0145  18  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_6809_0  465_130_0  1.3366  0.0149  27  1.3366  0.0149  27  
