490  899  SP-NON_SP3  N  3:1:1:1:  4:  C-3:H-3:H-3:O-6_3_0  C-3_0_0_0  240_51206_0  240_14207_0  1.3338  0.0000  1  1.3338  0.0000  1  
490  899  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_1:C-3:C-3:C-3  C-2_0_0_0  240_4615_0  240_1129_0  1.5259  0.0065  6  1.5259  0.0065  6  
490  899  SP-NON_SP3  N  3:3:3:1:  4:  C-3_0_0:C-3_0_0:C-3:C[6a]-3_2_2  C-2_2_2_0  240_37724_0  240_8957_0  1.5486  0.0000  1  1.5486  0.0000  1  
490  899  SP-NON_SP3  N  3:3:3:1:  4:  C-3_3_2:C-3:C[5a]-3_2_2:C[5a]-3_2_2  C-2_2_2_0  240_28287_0  240_6626_0  1.5452  0.0000  1  1.5452  0.0000  1  
490  899  SP-NON_SP3  N  3:4:1:1:  4:  C-3_0_0_0:C-3:C[6a]-3_2_2:H-3  C-3_2_0_0  240_37596_0  240_9046_0  1.5379  0.0097  2  1.5379  0.0097  2  
490  899  SP-NON_SP3  N  3:4:1:1:  4:  C-3_0_0_0:C-3:H-3:O-6_5_3  C-3_3_0_0  240_50283_0  240_4148_0  1.5115  0.0000  1  1.5115  0.0000  1  
490  899  SP-NON_SP3  N  3:4:4:1:  4:  C-3_0_0_0:C-3_0_0_0:C-3:C[6]-3_2_2  C-3_3_2_0  240_31586_0  240_7573_0  1.5442  0.0000  1  1.5442  0.0000  1  
490  899  SP-NON_SP3  N  4:1:1:1:  4:  C-3:C-3:C-3:P-3_3_3_0  C-3_0_0_0  240_51675_0  240_2270_0  1.5347  0.0113  6  1.5347  0.0113  6  
490  899  SP-NON_SP3  N  4:1:1:1:  4:  C-3:C-3:C-3:P-3_3_3_0  C-3_0_0_0  240_53557_0  240_2270_0  1.5512  0.0157  12  1.5512  0.0157  12  
490  899  SP-NON_SP3  N  4:1:1:1:  4:  C-3:H-3:H-3:Si-3_3_3_2  C-3_0_0_0  240_55803_0  240_17570_0  1.5197  0.0000  1  1.5197  0.0000  1  
490  899  SP-NON_SP3  N  4:1:1:1:  4:  C-3_1_0_0:C-3:H-3:H-3  C-3_0_0_0  240_2760_0  240_2757_0  1.4966  0.1589  5  1.4966  0.1589  5  
490  899  SP-NON_SP3  N  4:3:3:1:  4:  C-3_0_0:C-3_0_0:C-3:Si-3_3_3_2  C-3_2_2_0  240_55605_0  240_17530_0  1.5282  0.0000  1  1.5282  0.0000  1  
490  899  SP-NON_SP3  N  4:4:1:1:  4:  C-3_0_0_0:C-3:C[6]-8_3_3_3:H-3  C-3_3_0_0  240_32601_0  240_7603_0  1.5779  0.0000  1  1.5779  0.0000  1  
490  899  SP-NON_SP3  N  4:4:1:1:  4:  C-3_0_0_0:C-3:H-3:P-6_3_3_3  C-3_3_0_0  240_51589_0  240_4394_0  1.5501  0.0000  1  1.5501  0.0000  1  
490  899  SP-NON_SP3  N  4:4:2:1:  4:  C-3_0_0_0:C-3_0_0_0:C-3:O-3_2  C-3_3_2_0  240_13461_0  240_2119_0  1.4881  0.0000  1  1.4881  0.0000  1  
490  899  SP-NON_SP3  N  4:4:4:1:  4:  C-3_0_0_0:C-3_0_0_0:C-3:Si-3_3_3_2  C-3_3_3_0  240_56114_0  240_17530_0  1.5582  0.0000  1  1.5582  0.0000  1  
490  899  SP-NON_SP3  N  4:4:4:1:  4:  C-3_0_0_0:C-3_0_0_0:C-3:Si-3_3_3_3  C-3_3_3_0  240_55624_0  240_17530_0  1.5144  0.0000  1  1.5144  0.0000  1  
490  899  SP-NON_SP3  N  4:4:4:1:  4:  C-3_0_0_0:C-3_0_0_0:C-3_3_3_2:C-3  C-3_3_3_0  240_9422_0  240_1129_0  1.5147  0.0000  1  1.5147  0.0000  1  
490  900  SP-NON_SP3  N  2:1:1:1:  4:2:  Cl-3_0:Cl-3:Cl-3:H-3  C-0_0_0_0:H-3_0  240_41896_0  458_244_0  1.7902  0.0000  1  1.7902  0.0000  1  
490  900  SP-NON_SP3  N  2:1:1:1:  4:2:  Cl-3_0:Cl-3:H-3:H-3  C-0_0_0_0:Cl-3_0  240_41894_0  458_260_0  1.6051  0.0000  1  1.6051  0.0000  1  
490  900  SP-NON_SP3  N  2:1:1:1:  4:4:  Cl-3_3:Cl-3:Cl-3:H-3  C-0_0_0_0:C-0_0_0_0  240_41892_0  458_245_0  1.3204  0.0000  1  1.3204  0.0000  1  
490  901  SP1_SP3  N  1:1:1:1:  4:  C-3:C-3:C-3:N-3  C-1_0_0_0  240_658_0  599_392_0  1.5329  0.0000  1  1.5329  0.0000  1  
490  901  SP1_SP3  N  1:1:1:1:  4:  H-3:H-3:H-3:N-3  C-1_0_0_0  240_42197_0  599_3211_0  1.4169  0.1455  4  1.4169  0.1455  4  
490  901  SP1_SP3  N  4:1:1:1:  4:  C-3_0_0_0:H-3:H-3:N-3  C-3_1_0_0  240_13004_0  599_743_0  1.3055  0.0000  1  1.3055  0.0000  1  
490  901  SP1_SP3  N  4:1:1:1:  4:  C-3_1_0_0:H-3:H-3:N-3  C-3_1_0_0  240_13814_0  599_743_0  1.4455  0.0657  13  1.4455  0.0657  13  
490  901  SP1_SP3  N  4:3:1:1:  4:  C-3_2_0_0:C-3_2_2:H-3:N-3  C-3_2_1_0  240_10333_0  599_526_0  1.5083  0.0420  2  1.5083  0.0420  2  
490  901  SP1_SP3  N  4:4:1:1:  4:  C-3_0_0_0:C-3_3_0_0:H-3:N-3  C-3_3_1_0  240_3056_0  599_526_0  1.4785  0.0000  1  1.4785  0.0000  1  
490  901  SP1_SP3  N  4:4:1:1:  4:  C-3_0_0_0:C-3_3_0_0:H-3:N-3  C-3_3_1_0  240_14257_0  599_526_0  1.5337  0.0463  7  1.5337  0.0463  7  
490  902  SP2_SP3  N  3:1:1:1:  3:2:4:  C[3]-3_2_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-3_2_2:O[3]-2_2  240_18660_0  295_1741_0  1.5030  0.0000  1  1.5030  0.0000  1  
490  902  SP2_SP3  N  3:1:1:1:  4:2:4:  C[3]-3_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-2_2_2_1:N[3]-3_2  240_18589_0  295_1469_1  1.4678  0.0010  2  1.4678  0.0010  2  
490  902  SP2_SP3  N  3:1:1:1:  4:3:4:  Br-3:C[3]-3_3_2:H-3:H-3  C-2_0_0_0:C[3]-3_2_0:C[3]-3_2_2_0  240_18309_0  295_1060_0  1.4664  0.0000  1  1.4664  0.0000  1  
490  902  SP2_SP3  N  3:1:1:1:  4:3:4:  C[3]-3_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-2_2_2_2:C[3]-3_2_2  240_18325_0  295_1282_1  1.4741  0.0044  3  1.4741  0.0044  3  
