895    902     SP-NON_SP2    Y    4:3:    4:2:4:    C[3,6]-2_2_2_0:C[3]-3_3_0     C-3_3_3_2:C[3,6]-2_2_2_0:P[3]-3_2     P[3](C[3,6]C[3]N[6]2)(C[3]C[3,6]C)    C[3](C[3,6]N[6]2P[3])(P[3]C[3,6])(CC3)     P[3](C[3,6]C[3]N[6]2)(C[3]C[3,6]C){4|C<3>}    C[3](C[3,6]N[6]2P[3])(P[3]C[3,6])(CC3){4|C<3>}   1.6551    0.0000    1     1.6551     0.0000    1
896    962     SP3_SPD5    Y    8:2:2:4:1:    8:5:    C-5_0_0_0:Nb[3x3,5,6,6]-5_3_3_3_3_2_2_2:O-5:O[3]-8_5:O[3]-8_5     Nb[3x3,5,6,6]-5_3_3_3_3_2_2_2:S[3,3]-8_3_3_3_2     S[3,3](Nb[3x3,5,6,6]P[5,6,6]C[3,5]N[3]N[6]2O[3]2)(O[3]Nb[3x3,5,6,6])2(CF3)(O)    O[3](Nb[3x3,5,6,6]P[5,6,6]C[3,5]S[3,3]N[3]N[6]2O[3])(S[3,3]Nb[3x3,5,6,6]O[3]CO)     S[3,3](Nb[3x3,5,6,6]P[5,6,6]C[3,5]N[3]N[6]2O[3]2)(O[3]Nb[3x3,5,6,6])2(CF3)(O){1|H<1>,2|C<4>,7|C<3>}    O[3](Nb[3x3,5,6,6]P[5,6,6]C[3,5]S[3,3]N[3]N[6]2O[3])(S[3,3]Nb[3x3,5,6,6]O[3]CO){1|H<1>,2|C<4>,7|C<3>}   1.4739    0.0127    2     1.4739     0.0127    2
897    930     SP2_SP3    N    5:5:3:    3:3:1:    C-3_2_2:C[6x4]-8_3_0_0_0:C[6x4]-8_3_0_0_0     N-2_2_0:O-2:O[3x4]-5_5_2     O[3x4](C[6x4]C[3x4]H[3x4]2H)2(CNO)    C(O[3x4]C[6x4]2)(NHN)(O)     O[3x4](C[6x4]C[3x4]H[3x4]2H)2(CNO){6|H<1>}    C(O[3x4]C[6x4]2)(NHN)(O)   1.3336    0.0000    1     1.3336     0.0000    1
897    951     SP-NON_SP3    N    2:2:1:    3:    H-3:H[4]-3_3:H[4]-3_3     O[4]-0_0_0     O[4](H[4]O[4])2(H)    H(O[4]H[4]2)     O[4](H[4]O[4])2(H)    H(O[4]H[4]2)   0.8548    0.0000    1     0.8548     0.0000    1
897    951     SP-NON_SP3    N    5:5:1:    3:    H-3:In[4,6]-3_3_2_2_0:In[4,6]-3_3_2_2_0     O[4]-5_5_0     O[4](In[4,6]N[6]2O[4]Cl)2(H)    H(O[4]In[4,6]2)     O[4](In[4,6]N[6]2O[4]Cl)2(H){1|H<1>,8|C<3>}    H(O[4]In[4,6]2)   0.7307    0.0000    1     0.7307     0.0000    1
897    951     SP-NON_SP3    N    5:5:1:    3:    H-3:In[4,6]-3_3_3_2_0:In[4,6]-3_3_3_2_0     O[4]-5_5_0     O[4](In[4,6]N[6]O[4]O[6]I)2(H)    H(O[4]In[4,6]2)     O[4](In[4,6]N[6]O[4]O[6]I)2(H){2|C<3>,3|H<1>,4|C<4>}    H(O[4]In[4,6]2)   0.7154    0.0000    1     0.7154     0.0000    1
898    898     SP1_SP1    Y    2:2:    2:2:    C[4]-1_1:C[4]-1_1     C[4]-1_1:C[4]-1_1     C[4](C[4]C[4])2    C[4](C[4]C[4])2     C[4](C[4]C[4])2    C[4](C[4]C[4])2   1.3741    0.0000    1     1.3741     0.0000    1
898    898     SP1_SP1    Y    3:2:    3:2:    C[4,4]-2_1_1:C[4]-2_1     C[4,4]-2_1_1:C[4]-2_1     C[4](C[4,4]C[4,4]C[4])(C[4]C[4,4])    C[4](C[4,4]C[4,4]C[4])(C[4]C[4,4])     C[4](C[4,4]C[4,4]C[4])(C[4]C[4,4]){1|C<2>}    C[4](C[4,4]C[4,4]C[4])(C[4]C[4,4]){1|C<2>}   1.5450    0.0000    1     1.5450     0.0000    1
898    898     SP1_SP1    Y    5:2:    5:2:    C[3,3,4,4]-5_1_1_1_1:C[4]-5_1     C[3,3,4,4]-5_1_1_1_1:C[4]-5_1     C[4](C[3,3,4,4]C[3,3,4,4]C[3]2C[4])(C[4]C[3,3,4,4])    C[4](C[3,3,4,4]C[3,3,4,4]C[3]2C[4])(C[4]C[3,3,4,4])     C[4](C[3,3,4,4]C[3,3,4,4]C[3]2C[4])(C[4]C[3,3,4,4]){1|C<2>}    C[4](C[3,3,4,4]C[3,3,4,4]C[3]2C[4])(C[4]C[3,3,4,4]){1|C<2>}   1.5347    0.0000    1     1.5347     0.0000    1
898    902     SP1_SP2    Y    3:2:    3:2:2:    C[3,4]-2_1_1:O[4]-2_1     C[3,4]-2_2_1:C[3]-2_2:C[4]-2_2     C[4](C[3,4]C[3,4]C[3])(O[4]C[3,4])    C[3,4](C[3,4]C[3]O[4])(C[3]C[3,4])(C[4]O[4])     C[4](C[3,4]C[3,4]C[3])(O[4]C[3,4])    C[3,4](C[3,4]C[3]O[4])(C[3]C[3,4])(C[4]O[4])   1.3733    0.0000    1     1.3733     0.0000    1
