490    502     4:3:1:1:    4:4:4:4:    P[6,6]-4:C[6a]-3:H-1:H-1:     C[3x6]-4:C[3x6]-4:C-4:C-4:     N    C(P[6,6]C[3x6]2C)(C[6a]C[6a]2)(H)2    P[6,6](C[3x6]C[6,6]O[6,6]C)2(CC[6a]HH)2     C(P[6,6]C[3x6]2C)(C[6a]C[6a]2)(H)2    P[6,6](C[3x6]C[6,6]O[6,6]C)2(CC[6a]HH)2{2|C<4>,4|H<1>}   1.8168    0.0000    1     1.8168     0.0000    1
490    502     4:3:2:1:    2:2:4:1:    P[6]-4:C-3:O-2:H-1:     O[6]-2:O[6]-2:C-4:O-1:     N    C(P[6]O[6]2O)(COO)(OH)(H)    P[6](O[6]C[6])2(CCHO)(O)     C(P[6]O[6]2O)(COO)(OH)(H)    P[6](O[6]C[6])2(CCHO)(O){1|C<4>,2|C<3>,2|H<1>}   1.8205    0.0000    1     1.8205     0.0000    1
490    502     4:4:1:1:    3:2:2:4:    P[6]-4:C-4:H-1:H-1:     C[6a]-3:N[6]-2:N[6]-2:C-4:     N    C(P[6]C[6a]N[6]2)(CH3)(H)2    P[6](C[6a]C[6a]2)(N[6]P[6])2(CCHH)     C(P[6]C[6a]N[6]2)(CH3)(H)2    P[6](C[6a]C[6a]2)(N[6]P[6])2(CCHH){1|N<2>,2|C<4>,2|H<1>,4|C<3>}   1.8009    0.0031    3     1.8009     0.0031    3
490    502     4:4:4:1:    3:2:4:4:    P[6]-4:C-4:C-4:H-1:     C[6,6a]-3:S[6]-2:C-4:C-4:     N    C(P[6]C[6,6a]S[6]C)(CH3)2(H)    P[6](C[6,6a]C[6,6a,6a]C[6a])(S[6]P[6])(CCCH)2     C(P[6]C[6,6a]S[6]C)(CH3)2(H)    P[6](C[6,6a]C[6,6a,6a]C[6a])(S[6]P[6])(CCCH)2{1|H<1>,2|S<1>,3|C<3>}   1.8749    0.0000    1     1.8749     0.0000    1
490    502     4:4:4:1:    4:2:4:4:    P[6]-4:C-4:C-4:H-1:     B[6]-4:N[6]-2:C-4:C-4:     N    C(P[6]B[6]N[6]C)(CH3)2(H)    P[6](B[6]C[6,6a]C[6a]2)(N[6]P[6])(CCCH)2     C(P[6]B[6]N[6]C)(CH3)2(H)    P[6](B[6]C[6,6a]C[6a]2)(N[6]P[6])(CCCH)2{2|C<4>,6|C<3>}   1.8572    0.0000    1     1.8572     0.0000    1
490    502     4:4:4:2:    2:2:4:1:    P[6]-4:C-4:C-4:O-2:     O[6]-2:O[6]-2:C-4:O-1:     N    C(P[6]O[6]2O)(CH3)2(OH)    P[6](O[6]C[6])2(CCCO)(O)     C(P[6]O[6]2O)(CH3)2(OH)    P[6](O[6]C[6])2(CCCO)(O){1|C<4>,4|H<1>}   1.8291    0.0000    1     1.8291     0.0000    1
490    502     4:4:4:4:    4:3:4:1:    P[6]-4:C-4:C-4:C-4:     C[6]-4:P[6]-3:C-4:S-1:     N    C(P[6]C[6]P[6]S)(CH3)3    P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(S)     C(P[6]C[6]P[6]S)(CH3)3    P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(S){1|C<4>,1|P<4>,2|H<1>}   1.8686    0.0000    1     1.8686     0.0000    1
490    502     4:4:4:4:    4:3:4:1:    P[6]-4:C-4:C-4:C-4:     C[6]-4:P[6]-3:C-4:Se-1:     N    C(P[6]C[6]P[6]Se)(CH3)3    P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(Se)     C(P[6]C[6]P[6]Se)(CH3)3    P[6](C[6]P[6]HH)(P[6]C[6]C)(CC3)(Se){1|C<4>,1|P<4>,2|H<1>}   1.8730    0.0017    2     1.8730     0.0017    2
490    502     4:4:4:4:    4:4:4:4:    P[6]-4:C-4:C-4:C-4:     B[6]-4:C[6]-4:C-4:C-4:     N    C(P[6]B[6]C[6]C)(CH3)3    P[6](B[6]C[6a]2C[6])(C[6]C[6]HH)(CC3)2     C(P[6]B[6]C[6]C)(CH3)3    P[6](B[6]C[6a]2C[6])(C[6]C[6]HH)(CC3)2{1|C<4>,2|H<1>,5|C<3>}   1.9128    0.0000    1     1.9128     0.0000    1
490    542     3:1:1:1:    2:2:4:    N[5]-3:H-1:H-1:H-1:     N[5]-2:N[5]-2:C-4:     N    C(N[5]N[5]2)(H)3    N[5](N[5]C[5])(N[5]N[5])(CH3)     C(N[5]N[5]2)(H)3    N[5](N[5]C[5])(N[5]N[5])(CH3){1|C<3>,1|S<2>}   1.4594    0.0000    1     1.4626     0.0067    4
