863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[5a]-3_2_2:O-3  665_6556_0  746_64_1  1.4706  0.0000  2  1.4706  0.0000  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_51_1  1.4857  0.0038  2  1.4857  0.0038  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_55_2  1.4869  0.0000  1  1.4846  0.0077  8  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_55_1  1.4866  0.0000  1  1.4846  0.0077  8  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_55_3  1.4774  0.0053  2  1.4846  0.0077  8  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_55_4  1.4870  0.0092  4  1.4846  0.0077  8  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_57_1  1.4755  0.0000  1  1.4755  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_58_1  1.4770  0.0000  1  1.4770  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_60_1  1.4880  0.0180  2  1.4880  0.0180  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_66_1  1.4882  0.0000  1  1.4810  0.0102  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,5a]-3_2_2:C[6a]-3_2_2:O-3  665_6557_0  746_66_2  1.4738  0.0000  1  1.4810  0.0102  2  
