818  976  SP2_SP2  Y  2:2:1:  4:3:  N[5]-3_2:O-2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_28033_4  688_2567_1  1.3636  0.0000  1  1.3636  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  N[5]-3_2:O[5]-3_2:S-2  C[5]-2_2_0:C[5]-3_2_2_0  417_28039_1  688_2568_1  1.3524  0.0000  1  1.3524  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-2_2:O[5]-3_2  C[5,5]-2_2_2_2:C[5]-2_2_2  417_31297_1  688_795_1  1.3254  0.0000  1  1.3254  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-2_2:O[5]-3_2  C[5]-2_2_0_0:C[5]-2_2_2  417_31397_3  688_2345_1  1.3382  0.0000  1  1.3382  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-2_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_31397_1  688_2264_1  1.3232  0.0065  3  1.3232  0.0065  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-2_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_2  417_31397_2  688_2227_1  1.3207  0.0000  1  1.3207  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_2_2_0:C[5]-2_2_2  417_31304_1  688_611_1  1.3329  0.0000  1  1.3329  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_2_2_0:C[5]-2_2_2  417_31304_2  688_766_1  1.3380  0.0031  2  1.3380  0.0031  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_3_2_0:C[5]-2_2_2  417_31304_2  688_611_2  1.3383  0.0068  2  1.3394  0.0034  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_3_2_0:C[5]-2_2_2  417_31304_3  688_611_3  1.3401  0.0021  3  1.3394  0.0034  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_3_2_0:C[5]-2_2_2  417_31304_3  688_611_4  1.3393  0.0000  1  1.3394  0.0034  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_3_2_0:C[5]-2_2_2  417_31304_4  688_667_1  1.3484  0.0061  2  1.3484  0.0061  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_3_3_2:C[5]-2_2_2  417_31297_2  688_855_1  1.3426  0.0000  1  1.3426  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,5]-3_3_3_2:C[5]-2_2_2  417_31304_1  688_566_1  1.3272  0.0000  1  1.3272  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_2_2_2:C[5]-2_2_2  417_31319_1  688_968_1  1.3198  0.0000  1  1.3216  0.0025  2  
