818    846     SP2_SP2    N    3:3:3:    4:3:3:    C[4]-3_2_2:C[5,6a]-2_2_2:C[5,6a]-2_2_2     C[4,5]-3_2_2_2:C[4]-3_2_2:C[5]-2_2_2     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4,5]C[4])    C[4](C[4,5]C[5,6a]2C[4,5])(C[4]C[4,5]C[5])(C[5]C[5,6a]2)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4,5]C[4]){1|C<4>,2|H<1>,7|C<3>}    C[4](C[4,5]C[5,6a]2C[4,5])(C[4]C[4,5]C[5])(C[5]C[5,6a]2){12|C<3>}   1.3565    0.0005    2     1.3565     0.0005    2
818    846     SP2_SP2    N    3:3:3:    4:3:3:    C[4]-3_2_2:C[5,6a]-2_2_2:C[5,6a]-2_2_2     C[4]-3_2_2_0:C[4]-3_2_2:C[5]-2_2_2     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2)    C[4](C[4]C[4,5]C[6a]H)(C[5]C[5,6a]2)(C[4]C[4,5]C)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2){1|C<4>,3|H<1>,6|C<3>}    C[4](C[4]C[4,5]C[6a]H)(C[5]C[5,6a]2)(C[4]C[4,5]C){8|C<3>}   1.3546    0.0000    1     1.3546     0.0000    1
818    846     SP2_SP2    N    3:3:3:    4:3:3:    C[4]-3_2_2:C[5,6a]-2_2_2:C[5,6a]-2_2_2     C[4]-3_2_2_0:C[4]-3_2_2:C[5]-2_2_2     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2)    C[4](C[4]C[6a]C[4]H)(C[4]C[4]C[5])(C[5]C[5,6a]2)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2){1|C<4>,3|H<1>,6|C<3>}    C[4](C[4]C[6a]C[4]H)(C[4]C[4]C[5])(C[5]C[5,6a]2){1|H<1>,9|C<3>}   1.3486    0.0000    1     1.3486     0.0000    1
818    846     SP2_SP2    N    3:4:3:    3:3:2:    C[4]-3_2_0:C[5]-3_3_3_2:N[5]-3_2_2     C[5]-3_2_2:P[4]-2_2_0:P[4]-2_2     C[5](N[5]C[6a]C[5])(C[5]C[5]CC)(C[4]P[4]2)    C[4](C[5]C[5]N[5])(P[4]C[4]P)(P[4]C[4])     C[5](N[5]C[6a]C[5])(C[5]C[5]CC)(C[4]P[4]2){1|P<2>,2|C<4>,2|H<1>,3|C<3>}    C[4](C[5]C[5]N[5])(P[4]C[4]P)(P[4]C[4]){2|C<3>,4|C<4>}   1.3678    0.0050    2     1.3678     0.0050    2
818    846     SP2_SP2    N    3:4:3:    3:4:2:    C[4]-3_2_0:C[5]-3_3_3_2:N[5]-3_2_2     C[5]-3_2_2:P[4]-2_2_2_2:P[4]-2_2     C[5](N[5]C[6a]C[5])(C[5]C[5]CC)(C[4]P[4]2)    C[4](C[5]C[5]N[5])(P[4]C[4]OO)(P[4]C[4])     C[5](N[5]C[6a]C[5])(C[5]C[5]CC)(C[4]P[4]2){2|C<4>,2|H<1>,2|O<1>,3|C<3>}    C[4](C[5]C[5]N[5])(P[4]C[4]OO)(P[4]C[4]){2|C<3>,4|C<4>}   1.3984    0.0000    1     1.3984     0.0000    1
818    846     SP2_SP2    N    4:3:3:    3:2:2:    C[4]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2     C[5]-3_2_2:S[4]-2_0:S[4]-2_0     C[5](C[5]C[5]HH)(C[4]S[4]2)(C[5]C[5]N)    C[4](C[5]C[5]2)(S[4]Ga[4])2     C[5](C[5]C[5]HH)(C[4]S[4]2)(C[5]C[5]N){1|Ga<4>,4|H<1>}    C[4](C[5]C[5]2)(S[4]Ga[4])2{1|N<3>,1|S<2>,1|S<3>,2|C<4>,2|H<1>}   1.3977    0.0000    1     1.3835     0.0201    2
818    846     SP2_SP2    N    4:3:3:    3:2:2:    C[4]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2     C[5]-3_2_2:S[4]-2_0:S[4]-2_0     C[5](C[5]C[5]HH)(C[4]S[4]2)(C[5]C[5]N)    C[4](C[5]C[5]2)(S[4]Ga[4])2     C[5](C[5]C[5]HH)(C[4]S[4]2)(C[5]C[5]N){1|Ga<4>,4|H<1>}    C[4](C[5]C[5]2)(S[4]Ga[4])2{1|N<3>,2|C<4>,2|H<1>,2|S<2>}   1.3693    0.0000    1     1.3835     0.0201    2
818    846     SP2_SP2    N    4:3:3:    3:4:3:    C[4]-3_2_2:C[5]-3_2_0_0:N[5]-3_3_2     C[4]-2_2_2:C[4]-3_2_2_0:C[5]-3_2_2     C[5](C[5]C[5]HH)(C[4]C[4]2)(N[5]C[5]S)    C[4](C[5]C[5]N[5])(C[4]O[4]CH)(C[4]O[4]O)     C[5](C[5]C[5]HH)(C[4]C[4]2)(N[5]C[5]S){1|C<4>,1|O<1>,1|O<2>,5|H<1>}    C[4](C[5]C[5]N[5])(C[4]O[4]CH)(C[4]O[4]O){1|S<4>,2|C<4>,2|H<1>}   1.3393    0.0000    1     1.3393     0.0000    1
818    846     SP2_SP2    N    4:4:3:    3:4:3:    C[4]-3_2_2:C[5,6]-3_2_2_2:C[5]-3_2_0_0     C[4]-3_2_2:C[4]-3_3_3_2:C[5]-3_3_2     C[5](C[5,6]C[5]C[6]2)(C[5]O[5]HH)(C[4]C[4]2)    C[4](C[5]C[5,6]C[5])(C[4]C[4,5]CC)(C[4]C[4,5]C)     C[5](C[5,6]C[5]C[6]2)(C[5]O[5]HH)(C[4]C[4]2){1|N<3>,1|O<1>,2|C<3>,3|C<4>,3|H<1>}    C[4](C[5]C[5,6]C[5])(C[4]C[4,5]CC)(C[4]C[4,5]C){1|O<2>,2|C<3>,2|H<1>,3|C<4>}   1.3363    0.0000    1     1.3363     0.0000    1
818    846     SP2_SP2    Y    3:3:1:    4:3:3:    Cl-2:C[4,5]-3_2_2:C[5,6a]-2_2_2     C[4,5]-2_2_2:C[4,5]-3_2_2_2:C[5]-2_2_0     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]2)(Cl)    C[4,5](C[4,5]C[5,6a]C[5,6]C[4])(C[4,5]C[5,6a]C[4])(C[5]C[5,6a]Cl)     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]2)(Cl){1|C<4>,1|H<1>,4|C<3>}    C[4,5](C[4,5]C[5,6a]C[5,6]C[4])(C[4,5]C[5,6a]C[4])(C[5]C[5,6a]Cl){2|C<4>,6|C<3>}   1.3415    0.0076    2     1.3415     0.0076    2
