818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]C[5a]F)(C[5a]N[5a]H)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[5a]F)(C[5a]N[5a]H)(F){1|C<3>,1|H<1>}    F(C[5a]C[5a]2)   1.3428    0.0050    4     1.3428     0.0050    4
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]C[6a]N[5a])(C[5a]C[5a]F)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[6a]N[5a])(C[5a]C[5a]F)(F){1|H<1>,3|C<3>}    F(C[5a]C[5a]2)   1.3439    0.0023    3     1.3439     0.0023    3
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]Br)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]Br)(F){3|C<3>}    F(C[5a]C[5a]2)   1.3925    0.0000    1     1.3925     0.0000    1
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F){3|C<3>}    F(C[5a]C[5a]2)   1.3446    0.0000    1     1.3446     0.0000    1
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]H)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]H)(F){3|C<3>}    F(C[5a]C[5a]2)   1.3527    0.0000    1     1.3527     0.0000    1
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]N[5a]C)(C[5a]N[5a]H)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]N[5a]C)(C[5a]N[5a]H)(F){1|C<4>}    F(C[5a]C[5a]2)   1.3558    0.0000    1     1.3558     0.0000    1
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]N[5a]C[5])(C[5a]C[5a]F)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]N[5a]C[5])(C[5a]C[5a]F)(F){1|C<3>,1|N<3>,2|H<1>}    F(C[5a]C[5a]2)   1.3369    0.0034    2     1.3369     0.0034    2
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F){1|C<3>,1|O<2>,2|H<1>}    F(C[5a]C[5a]2)   1.3394    0.0045    2     1.3384     0.0027    5
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F){1|H<1>,1|O<2>,2|C<3>}    F(C[5a]C[5a]2)   1.3378    0.0017    3     1.3384     0.0027    5
818    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-3:N[5a]-3:F-1:     C[5a]-3:     C[5a](C[5a]C[5a]H)(N[5a]C[5a]H)(F)    F(C[5a]C[5a]N[5a])     C[5a](C[5a]C[5a]H)(N[5a]C[5a]H)(F){1|C<3>,1|C<4>}    F(C[5a]C[5a]N[5a])   1.3410    0.0011    2     1.3410     0.0011    2
818    830     SP-NON_SP2    N    3:3:1:    3:    N[5a]-3:C[5a]-3:F-1:     C[5a]-3:     C[5a](N[5a]C[5a]C[5])(C[5a]N[5a]H)(F)    F(C[5a]C[5a]N[5a])     C[5a](N[5a]C[5a]C[5])(C[5a]N[5a]H)(F){1|C<4>,1|O<2>,2|H<1>}    F(C[5a]C[5a]N[5a])   1.3280    0.0000    1     1.3280     0.0000    1
818    846     SP2_SP2    N    3:3:2:    3:3:3:    C[4a]-3:C[5]-3:S[5]-2:     C[5]-3:C[4a]-3:C[4a]-3:     C[5](C[4a]C[4a]2)(C[5]S[5]H)(S[5]C[5])    C[4a](C[5]C[5]S[5])(C[4a]C[4a]O)2     C[5](C[4a]C[4a]2)(C[5]S[5]H)(S[5]C[5]){1|O<1>,1|O<2>,2|C<3>}    C[4a](C[5]C[5]S[5])(C[4a]C[4a]O)2{1|C<3>,1|H<1>,1|O<1>,1|S<2>}   1.4299    0.0000    1     1.4299     0.0000    1
818    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4a]-3:C[5]-3:C[5]-3:     C[4a]-3:C[4a]-3:C[5]-3:     C[5](C[4a]C[4a]2)(C[5]C[5]C)(C[5]C[5]H)    C[4a](C[4a]C[4a]O)2(C[5]C[5]2)     C[5](C[4a]C[4a]2)(C[5]C[5]C)(C[5]C[5]H){1|C<4>,2|C<3>,2|O<1>}    C[4a](C[4a]C[4a]O)2(C[5]C[5]2){1|H<1>,4|C<3>}   1.4159    0.0000    1     1.4159     0.0000    1
818    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4a]-3:C[5a]-3:N[5a]-3:     C[5a]-3:C[4a]-3:C[4a]-3:     C[5a](C[4a]C[4a]2)(C[5a]C[5a]H)(N[5a]C[5a]C)    C[4a](C[5a]C[5a]N[5a])(C[4a]C[4a]O)2     C[5a](C[4a]C[4a]2)(C[5a]C[5a]H)(N[5a]C[5a]C){1|H<1>,2|C<3>,2|O<1>}    C[4a](C[5a]C[5a]N[5a])(C[4a]C[4a]O)2{1|C<4>,1|H<1>,3|C<3>}   1.3934    0.0040    4     1.3934     0.0040    4
