762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|Cl<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,2|C<3>,2|N<3>}   1.7482    0.0034    3     1.7470     0.0052    11
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|I<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,2|C<3>,2|N<3>}   1.7367    0.0000    1     1.7470     0.0052    11
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|S<4>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<4>,1|H<1>,1|N<3>,2|C<3>}   1.7523    0.0000    1     1.7470     0.0052    11
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|S<4>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|N<3>,2|C<3>,2|H<1>}   1.7470    0.0052    4     1.7470     0.0052    11
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO){1|C<4>,1|H<1>,2|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|H<1>,1|N<2>,2|N<3>}   1.7379    0.0000    1     1.7379     0.0053    4
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|C<4>,1|H<1>,1|N<2>,1|N<3>}   1.7346    0.0046    2     1.7379     0.0053    4
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]N[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|H<1>,1|N<2>,2|N<3>}   1.7443    0.0000    1     1.7379     0.0053    4
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]C[6a]S[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]S[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|H<1>,1|N<3>,2|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,1|N<3>,1|S<2>,2|C<3>}   1.7648    0.0000    1     1.7648     0.0000    1
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|C<4>,1|H<1>,1|N<2>,1|N<3>}   1.7428    0.0000    1     1.7419     0.0012    2
762    967     3:3:4:    3:2:1:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:N[6]-2:O-1:O-1:     Y    C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]N[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<3>,1|H<1>,1|N<2>,2|N<3>}   1.7410    0.0000    1     1.7419     0.0012    2
762    967     3:3:4:    3:2:2:1:    C[6,6a]-3:C[6a]-3:S[6]-4:     C[6,6a]-3:O[6]-2:N-2:O-1:     Y    C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]O[6]NO)    S[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(NC)(O)     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]O[6]NO){1|C<3>,1|C<4>,4|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(O[6]C[6])(NC)(O){2|C<3>,2|C<4>,2|H<1>}   1.7549    0.0000    1     1.7549     0.0000    1
762    967     3:3:4:    3:2:2:1:    C[6a]-3:C[6a]-3:S[6]-4:     C[6a]-3:N[6]-2:N[6]-2:O-1:     N    C[6a](C[6a]C[6a]H)2(S[6]N[6]2O)    S[6](C[6a]C[6a]2)(N[6]C[6])2(O)     C[6a](C[6a]C[6a]H)2(S[6]N[6]2O){2|H<1>,3|C<3>}    S[6](C[6a]C[6a]2)(N[6]C[6])2(O){1|N<2>,2|H<1>,4|C<3>}   1.7508    0.0000    1     1.7508     0.0000    1
